Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”,Name: “Table 1 of 1 on page 3 of 9”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,,
,,,,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,,,,,,
,,,,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,,,,,,
,,,,Reported Fires by Locality,Reported Fires by Locality,Reported Fires by Locality,,,,,,
,,,,(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),,,,,,
,,,,,,,,,,,,Inj/Death
,,,,,,,,Civ,FS,FS,Total,
County/City,#,%,RT Avg,"%
    ",Loss Tot,Loss/Inc,Civ Inj,,,,,Per 1k
,,,,,,,,Fatal,Inj,Fatal,Inj/Death,
,,,,,,,,,,,,Inc.
Accomack County,337,0.8%,9:02,21.7%,"$5,944,760","$17,640",4,2,0,0,6,18
Albemarle County,349,0.8%,9:41,20.1%,"$10,998,471","$31,514",3,5,2,0,10,29
Alexandria,228,0.5%,4:13,89.9%,"$1,506,925","$6,609",14,0,1,0,15,66
Alleghany County,152,0.4%,7:14,46.1%,"$2,228,740","$14,663",1,0,2,0,3,20
Amelia County,44,0.1%,13:44,6.8%,"$1,761,600","$40,036",0,0,0,0,0,0
Amherst County,265,0.6%,13:00,7.6%,"$1,997,860","$7,539",9,0,3,0,12,45
Appomattox County,68,0.2%,11:46,8.8%,"$1,581,425","$23,256",0,0,2,0,2,29
Arlington County,294,0.7%,5:54,66.4%,"$11,648,317","$39,620",4,1,9,0,14,48
Augusta County,766,1.8%,10:27,17.3%,"$8,807,506","$11,498",8,5,10,0,23,30
Bedford,183,0.4%,10:47,15.3%,"$2,365,100","$12,924",0,0,0,0,0,0
Bedford County,313,0.7%,12:08,17.3%,"$4,111,701","$13,136",1,3,0,0,4,13
Bland County,57,0.1%,18:17,10.5%,"$565,700","$9,925",0,0,1,0,1,18
Botetourt County,147,0.3%,13:23,13.6%,"$611,350","$4,159",0,2,1,0,3,20
Bristol,237,0.6%,4:09,81.4%,"$2,351,645","$9,923",17,1,26,0,44,186
Brunswick County,147,0.3%,12:15,10.9%,"$2,071,350","$14,091",0,0,0,0,0,0
Buchanan County,78,0.2%,17:50,9.0%,"$2,724,545","$34,930",3,2,0,0,5,64
Buckingham County,90,0.2%,13:44,12.2%,"$423,500","$4,706",0,1,0,0,1,11
Buena Vista,77,0.2%,6:19,44.2%,"$962,850","$12,505",1,1,1,0,3,39
Campbell County,416,1.0%,11:11,17.8%,"$2,298,270","$5,525",0,3,0,0,3,7
Caroline County,98,0.2%,12:46,6.1%,"$1,693,350","$17,279",0,0,2,0,2,20
Carroll County,165,0.4%,12:20,5.5%,"$2,581,650","$15,646",1,0,2,1,4,24
Charles City County,48,0.1%,15:04,4.2%,"$1,298,810","$27,059",0,1,0,0,1,21
Charlotte County,68,0.2%,12:29,7.4%,"$2,061,235","$30,312",0,1,1,0,2,29
Charlottesville,370,0.9%,4:55,75.1%,"$4,534,017","$12,254",29,2,9,0,40,108
Chesapeake,"1,482",3.4%,6:15,49.3%,"$27,607,978","$18,629",112,6,25,0,143,96
Chesterfield County,"1,571",3.6%,7:55,18.5%,"$28,002,405","$17,825",110,12,25,0,147,94
Clarke County,139,0.3%,11:09,13.7%,"$1,919,780","$13,811",3,0,2,0,5,36
Colonial Heights,155,0.4%,10:10,50.3%,"$1,358,685","$8,766",9,2,6,0,17,110
Covington,101,0.2%,6:06,40.6%,"$1,088,854","$10,781",7,1,7,0,15,149
Craig County,34,0.1%,7:51,41.2%,"$236,850","$6,966",0,0,0,0,0,0
Culpeper County,193,0.4%,12:39,8.3%,"$6,368,852","$32,999",2,1,1,0,4,21
Cumberland County,21,0.0%,10:14,38.1%,"$506,250","$24,107",0,0,0,0,0,0
Danville,723,1.7%,4:48,79.9%,"$6,323,114","$8,746",45,2,10,0,57,79
Dickenson County,117,0.3%,19:20,4.3%,"$2,892,720","$24,724",2,1,10,0,13,111
Dinwiddie County,115,0.3%,12:53,17.4%,"$1,701,490","$14,796",1,1,1,0,3,26
Emporia,48,0.1%,6:56,39.6%,"$830,500","$17,302",0,0,0,0,0,0
,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,3,,,,,,,
