Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”,Name: “Table 1 of 1 on page 6 of 9”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,
,,,,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,,,,,,
,,,,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,,,,,,
,,,,Reported Fires by Locality,Reported Fires by Locality,Reported Fires by Locality,,,,,,
,,,,(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),,,,,,
,,,,,,,,,,,,Inj/Death
,,,,,,,,Civ,FS,FS,Total,
County/City,#,%,RT Avg,"%
    ",Loss Tot,Loss/Inc,Civ Inj,,,,,Per 1k
,,,,,,,,Fatal,Inj,Fatal,Inj/Death,
,,,,,,,,,,,,Inc.
Salem,117,0.3%,10:54,59.8%,"$1,202,208","$10,275",7,1,6,0,14,120
Scott County,172,0.4%,13:53,18.0%,"$3,680,300","$21,397",2,1,1,0,4,23
Shenandoah County,253,0.6%,12:34,18.2%,"$1,964,210","$7,764",2,7,0,0,9,36
Smyth County,220,0.5%,10:46,19.1%,"$3,378,470","$15,357",1,1,0,0,2,9
Southampton County,102,0.2%,9:51,13.7%,"$1,847,650","$18,114",3,7,3,0,13,127
Spotsylvania County,658,1.5%,8:13,26.7%,"$137,217,579","$208,537",28,3,16,0,47,71
Stafford County,246,0.6%,7:43,39.0%,"$3,898,426","$15,847",5,0,2,0,7,28
Staunton,205,0.5%,4:19,77.0%,"$1,172,231","$5,718",6,1,5,0,12,59
Suffolk,"1,006",2.3%,5:23,63.6%,"$11,600,775","$11,532",39,4,26,0,69,69
Surry County,31,0.1%,13:26,10.0%,"$796,850","$25,705",0,1,2,0,3,97
Sussex County,83,0.2%,7:47,39.8%,"$1,860,600","$22,417",1,2,2,0,5,60
Tazewell County,187,0.4%,8:49,28.3%,"$2,905,660","$15,538",12,5,5,0,22,118
Virginia Beach,"2,357",5.5%,7:40,29.6%,"$60,609,930","$25,715",222,24,70,0,316,134
Warren County,95,0.2%,9:18,30.5%,"$1,367,190","$14,391",5,3,4,0,12,126
Washington County,273,0.6%,12:13,7.7%,"$5,477,100","$20,063",7,7,4,0,18,66
Waynesboro,197,0.5%,3:39,90.8%,"$1,838,668","$9,333",10,3,4,0,17,86
Westmoreland County,110,0.3%,9:27,20.9%,"$1,919,240","$17,448",1,0,2,0,3,27
Williamsburg,59,0.1%,4:26,78.0%,"$309,675","$5,249",6,0,2,0,8,136
Winchester,223,0.5%,3:19,92.4%,"$1,433,965","$6,430",18,0,9,0,27,121
Wise County,162,0.4%,9:41,34.0%,"$2,906,055","$17,939",8,4,3,0,15,93
Wythe County,255,0.6%,9:44,22.4%,"$3,973,380","$15,582",12,1,7,0,20,78
York County,325,0.8%,4:47,69.5%,"$4,640,438","$14,278",29,0,11,0,40,123
Total,"43,072",100.0%,7:57,47.0%,"$995,269,784","$23,107","1,917",341,842,2,"3,102",72
Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,6,,,,,,,
