Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”,Name: “Table 1 of 1 on page 4 of 9”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,,,,,,,
,,,,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,,,,,,
,,,,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,,,,,,
,,,,Reported Fires by Locality,Reported Fires by Locality,Reported Fires by Locality,,,,,,
,,,,(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),(Jan 2000-Sep 2008 Combined),,,,,,
,,,,,,,,,,,,Inj/Death
,,,,,,,,Civ,FS,FS,Total,
County/City,#,%,RT Avg,"%
    ",Loss Tot,Loss/Inc,Civ Inj,,,,,Per 1k
,,,,,,,,Fatal,Inj,Fatal,Inj/Death,
,,,,,,,,,,,,Inc.
Essex County,45,0.1%,11:36,15.6%,"$1,750,500","$38,900",2,7,1,0,10,222
Fairfax,106,0.2%,8:39,81.1%,"$3,326,110","$31,378",4,0,0,0,4,38
Fairfax County,"3,623",8.4%,10:43,69.1%,"$134,750,299","$37,193",132,24,62,0,218,60
Fauquier County,450,1.0%,11:12,18.3%,"$10,365,125","$23,034",5,1,5,0,11,24
Floyd County,126,0.3%,15:27,6.3%,"$30,500",$242,0,2,0,0,2,16
Fluvanna County,20,0.0%,8:21,40.0%,$0,$0,0,0,0,0,0,0
Franklin,151,0.4%,5:46,55.0%,"$1,495,310","$9,903",2,2,1,0,5,33
Franklin County,443,1.0%,10:54,28.0%,"$7,996,310","$18,050",10,5,6,0,21,47
Frederick County,651,1.5%,9:47,26.7%,"$3,367,186","$5,172",8,1,11,0,20,31
Fredericksburg,116,0.3%,4:25,81.0%,"$1,666,799","$14,369",4,1,2,0,7,60
Galax,180,0.4%,10:46,8.9%,"$1,013,550","$5,631",0,0,1,0,1,6
Giles County,79,0.2%,8:43,27.8%,"$1,981,427","$25,081",2,2,0,0,4,51
Gloucester County,312,0.7%,7:49,31.8%,"$14,033,707","$44,980",15,2,7,0,24,77
Goochland County,163,0.4%,17:06,7.4%,"$1,089,656","$6,685",5,2,0,0,7,43
Grayson County,137,0.3%,15:41,7.4%,"$24,040,050","$175,475",0,0,0,0,0,0
Greene County,71,0.2%,11:35,19.7%,"$7,950",$112,1,0,0,0,1,14
Halifax County,290,0.7%,8:11,43.1%,"$5,121,128","$17,659",1,1,0,0,2,7
Hampton,891,2.1%,4:17,80.0%,"$10,095,269","$11,330",47,2,13,0,62,70
Hanover County,464,1.1%,10:11,16.6%,"$7,072,697","$15,243",7,0,13,0,20,43
Harrisonburg,27,0.1%,4:58,66.7%,"$93,205","$3,452",0,0,0,0,0,0
Henrico County,"1,900",4.4%,5:52,47.8%,"$34,214,671","$18,008",124,8,43,0,175,92
Henry County,424,1.0%,10:54,20.3%,"$10,709,150","$25,257",7,9,5,0,21,50
Hopewell,363,0.8%,4:33,76.6%,"$2,477,960","$6,826",26,2,4,0,32,88
Isle of Wight County,181,0.4%,7:26,37.4%,"$3,062,237","$16,918",4,2,6,0,12,66
James City County,424,1.0%,6:08,50.5%,"$10,807,821","$25,490",18,3,12,0,33,78
King and Queen County,30,0.1%,8:56,14.8%,$370,$12,0,0,0,0,0,0
King George County,150,0.3%,11:14,18.0%,"$3,055,380","$20,369",5,2,4,0,11,73
King William County,25,0.1%,12:10,4.0%,"$474,000","$18,960",1,0,0,0,1,40
Lancaster County,21,0.0%,7:09,33.3%,"$571,000","$27,190",0,0,0,0,0,0
Lee County,226,0.5%,12:18,7.1%,"$8,383,300","$37,094",3,7,0,0,10,44
Lexington,45,0.1%,7:43,33.3%,"$1,816,774","$40,373",0,0,0,0,0,0
Loudoun County,610,1.4%,7:39,37.1%,"$20,432,953","$33,497",32,0,25,0,57,93
Louisa County,203,0.5%,11:56,11.4%,"$6,041,550","$29,761",1,1,0,0,2,10
Lunenburg County,64,0.1%,8:35,48.4%,"$1,526,475","$23,851",1,2,0,0,3,47
Lynchburg,725,1.7%,3:55,88.4%,"$5,413,160","$7,466",30,4,22,0,56,77
Madison County,116,0.3%,6:55,51.7%,$0,$0,0,0,0,0,0,0
Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,4,,,,,,,
