Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”,Name: “Table 1 of 1 on page 2 of 9”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,
,,,,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,Virginia Residential Building Fires,,,,
,,,,,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,In 1-or-2 Family Dwellings,,,,,
,,,,REPORTED FIRES PER YEAR,REPORTED FIRES PER YEAR,REPORTED FIRES PER YEAR,REPORTED FIRES PER YEAR,REPORTED FIRES PER YEAR,,,,
,,,,,,,,Civ,,FS,Total,Inj/Death
Year,#,%,RT Avg,"%
    ",Loss Tot,Loss/Inc,Civ Inj,,FS Inj,,,
,,,,,,,,Death,,Death,Inj/Death,Per 1k Inc.
2000,"3,777",8.8%,7:55,56.3%,"$48,155,163","$12,750",194,26,107,0,327,87
2001,"3,741",8.7%,7:52,56.9%,"$47,998,062","$12,830",190,18,81,0,289,77
2002,"4,718",11.0%,7:49,51.5%,"$76,796,666","$16,277",249,24,112,0,385,82
2003,"5,081",11.8%,7:48,49.3%,"$204,634,885","$40,275",243,37,111,0,391,77
2004,"5,070",11.8%,8:33,42.4%,"$87,499,919","$17,258",234,71,96,1,402,79
2005,"5,169",12.0%,8:02,42.5%,"$107,836,293","$20,862",201,31,83,0,315,61
2006,"5,362",12.4%,7:55,43.3%,"$190,120,899","$35,457",202,40,80,0,322,60
2007,"5,888",13.7%,8:00,42.2%,"$139,928,586","$23,765",245,58,91,1,395,67
2008,"4,266",9.9%,7:31,44.4%,"$92,299,311","$21,636",159,36,81,0,276,65
Total,"43,072",100.0%,7:57,47.0%,"$995,269,784","$23,107","1,917",341,842,2,"3,102",72
Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,Source: Virginia Fire Incident Reporting System,2,,,,,,
