Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,,
,,,"All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties"
,,,Insurable Crops,Total Acres,Total Acres,Percent Insured,Insured Acres
,,,Apples,"15,000","15,000",67%,"10,041"
,,,Barley,"70,000","70,000",36%,"25,161"
,,,"Beans, Fresh Market",,"5,100",63%,"3,237"
,,,"Beans, Processing",,NP,-----,"1,349"
,,,Cabbage,,"1,600",16%,259
,,,Corn - APH,"470,000","470,000",25%,"118,856"
,,,Corn - CRC,,-----,38%,"177,443"
,,,Corn - GRP,,-----,0%,0
,,,Cotton - APH,"105,000","105,000",65%,"68,140"
,2001,2001,Cotton - CRC,,-----,11%,"11,642"
,,,Grain Sorghum - APH,,"7,000",12%,863
Virginia,Virginia,Virginia,Grain Sorghum - CRC,,-----,6%,387
,,,Oats,,NP,-----,382
,,,Peaches,,"1,260",83%,"1,045"
,State,State,,,,,
,,,Peanuts - APH,"75,000","75,000",79%,"59,467"
,,,Peanuts - GRP,,-----,0%,0
,Crop,Crop,Potatoes,,"6,500",44%,"2,859"
,,,Soybeans - APH,"500,000","500,000",32%,"161,946"
Insurance,Insurance,Insurance,Soybeans - CRC,,-----,32%,"162,194"
,,,Soybeans - GRP,,-----,0%,0
,,,"Sweet Corn, Fresh Market",,"3,400",7%,223
,Profile,Profile,"Tobacco, Burley",,"7,700",59%,"4,534"
,,,"Tobacco, Fire-Cured",,"1,200",76%,908
,,,"Tobacco, Flue-Cured","20,500","20,500",83%,"16,924"
,,,"Tobacco, Sun-Cured",,100,1%,1
,,,"Tomatoes, Fresh Market",,"4,000",55%,"2,210"
,,,"Tomatoes, Processing",,NP,-----,60
,,,Wheat - APH,"200,000","200,000",28%,"55,404"
,,,Wheat - CRC,,-----,22%,"43,939"
,,,,,NP = Not Published,,
,,,Adjusted Gross Revenue,Liability,$,"217,965",
,,,Clams,Liability,"$19,936,645",,
,,,Nursery,Liability,"$36,216,730",,
Raleigh Regional Office,Raleigh Regional Office,Raleigh Regional Office,Crop Pilot Programs,,,,
"Contact: Larry Atkinson, Director","Contact: Larry Atkinson, Director","Contact: Larry Atkinson, Director",Adjusted Gross Revenue,Eastern Virginia,Eastern Virginia,,
"Address: 4407 Bland Rd, Ste 160","Address: 4407 Bland Rd, Ste 160","Address: 4407 Bland Rd, Ste 160","Beans, Fresh Market","Accomack, Northampton","Accomack, Northampton",,
,"Raleigh, NC 27609","Raleigh, NC 27609",Cabbage,Carroll,Carroll,,
Phone:,(919) 875-4880,(919) 875-4880,Clams,"Accomack, Northampton","Accomack, Northampton",,
Fax:,(919) 875-4915,(919) 875-4915,,,,,
E-Mail:,,,,,,,
larry.atkinson@rm.fcic.usda.gov,larry.atkinson@rm.fcic.usda.gov,larry.atkinson@rm.fcic.usda.gov,,,,,
Eastern Regional,Eastern Regional,Eastern Regional,♦ 2002 Priorities:,,,,
Compliance Office,Compliance Office,Compliance Office,,,,,
Contact:,"Johnnie Perdue, Director","Johnnie Perdue, Director",,,,,
"Address: 4407 Bland Rd, Ste 280","Address: 4407 Bland Rd, Ste 280","Address: 4407 Bland Rd, Ste 280",,,,,
,"Raleigh, NC",27609,,,,,
Phone:,(919) 875-4930,(919) 875-4930,,,,,
Fax:,(919) 875-4928,(919) 875-4928,,,,,
E-Mail:,,,,,,,
johnnie.perdue@rm.fcic.usda.gov,johnnie.perdue@rm.fcic.usda.gov,johnnie.perdue@rm.fcic.usda.gov,,,,,
"Data current as of February 26, 2002","Data current as of February 26, 2002","Data current as of February 26, 2002",,,,,
,,,Risk Management Agency/USDA,Risk Management Agency/USDA,Risk Management Agency/USDA,,
