,,,"All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties","All Insurance Plans Available in Virginia State, Selected Counties"
,,,Insurable Crops,Total Acres,Total Acres,Percent Insured,Insured Acres
,,,Apples,"15,000","15,000",67%,"10,041"
,,,Barley,"70,000","70,000",36%,"25,161"
,,,"Beans, Fresh Market",,"5,100",63%,"3,237"
,,,"Beans, Processing",,NP,-----,"1,349"
,,,Cabbage,,"1,600",16%,259
,,,Corn - APH,"470,000","470,000",25%,"118,856"
,,,Corn - CRC,,-----,38%,"177,443"
,,,Corn - GRP,,-----,0%,0
,,,Cotton - APH,"105,000","105,000",65%,"68,140"
,2001,2001,Cotton - CRC,,-----,11%,"11,642"
,,,Grain Sorghum - APH,,"7,000",12%,863
Virginia,Virginia,Virginia,Grain Sorghum - CRC,,-----,6%,387
,,,Oats,,NP,-----,382
,,,Peaches,,"1,260",83%,"1,045"
,State,State,,,,,
,,,Peanuts - APH,"75,000","75,000",79%,"59,467"
,,,Peanuts - GRP,,-----,0%,0
,Crop,Crop,Potatoes,,"6,500",44%,"2,859"
,,,Soybeans - APH,"500,000","500,000",32%,"161,946"
Insurance,Insurance,Insurance,Soybeans - CRC,,-----,32%,"162,194"
,,,Soybeans - GRP,,-----,0%,0
,,,"Sweet Corn, Fresh Market",,"3,400",7%,223
,Profile,Profile,"Tobacco, Burley",,"7,700",59%,"4,534"
,,,"Tobacco, Fire-Cured",,"1,200",76%,908
,,,"Tobacco, Flue-Cured","20,500","20,500",83%,"16,924"
,,,"Tobacco, Sun-Cured",,100,1%,1
,,,"Tomatoes, Fresh Market",,"4,000",55%,"2,210"
,,,"Tomatoes, Processing",,NP,-----,60
,,,Wheat - APH,"200,000","200,000",28%,"55,404"
,,,Wheat - CRC,,-----,22%,"43,939"
,,,,,NP = Not Published,,
,,,Adjusted Gross Revenue,Liability,$,"217,965",
,,,Clams,Liability,"$19,936,645",,
,,,Nursery,Liability,"$36,216,730",,
Raleigh Regional Office,Raleigh Regional Office,Raleigh Regional Office,Crop Pilot Programs,,,,
"Contact: Larry Atkinson, Director","Contact: Larry Atkinson, Director","Contact: Larry Atkinson, Director",Adjusted Gross Revenue,Eastern Virginia,Eastern Virginia,,
"Address: 4407 Bland Rd, Ste 160","Address: 4407 Bland Rd, Ste 160","Address: 4407 Bland Rd, Ste 160","Beans, Fresh Market","Accomack, Northampton","Accomack, Northampton",,
,"Raleigh, NC 27609","Raleigh, NC 27609",Cabbage,Carroll,Carroll,,
Phone:,(919) 875-4880,(919) 875-4880,Clams,"Accomack, Northampton","Accomack, Northampton",,
Fax:,(919) 875-4915,(919) 875-4915,,,,,
E-Mail:,,,,,,,
larry.atkinson@rm.fcic.usda.gov,larry.atkinson@rm.fcic.usda.gov,larry.atkinson@rm.fcic.usda.gov,,,,,
Eastern Regional,Eastern Regional,Eastern Regional,♦ 2002 Priorities:,,,,
Compliance Office,Compliance Office,Compliance Office,,,,,
Contact:,"Johnnie Perdue, Director","Johnnie Perdue, Director",,,,,
"Address: 4407 Bland Rd, Ste 280","Address: 4407 Bland Rd, Ste 280","Address: 4407 Bland Rd, Ste 280",,,,,
,"Raleigh, NC",27609,,,,,
Phone:,(919) 875-4930,(919) 875-4930,,,,,
Fax:,(919) 875-4928,(919) 875-4928,,,,,
E-Mail:,,,,,,,
johnnie.perdue@rm.fcic.usda.gov,johnnie.perdue@rm.fcic.usda.gov,johnnie.perdue@rm.fcic.usda.gov,,,,,
"Data current as of February 26, 2002","Data current as of February 26, 2002","Data current as of February 26, 2002",,,,,
,,,Risk Management Agency/USDA,Risk Management Agency/USDA,Risk Management Agency/USDA,,
,Virginia State – 2001 Profile,Virginia State – 2001 Profile,Virginia State – 2001 Profile,Virginia State – 2001 Profile,,
,USDA/Risk Management Agency,USDA/Risk Management Agency,USDA/Risk Management Agency,USDA/Risk Management Agency,USDA/Risk Management Agency,
,Policies,,,,,
,Earning,Net Acres,,Gross,,
Year,Premium,Insured,Liability,Premium,Losses,Loss Ratio
1988,"7,196","316,983","116,840,537","5,178,577","8,160,478",1.58
1989,"7,451","363,681","136,008,880","6,314,457","6,355,094",1.01
1990,"7,229","364,258","143,561,440","6,445,553","5,960,002",0.92
1991,"6,561","322,124","139,495,723","6,689,665","4,683,118",0.70
1992,"5,854","291,634","129,803,003","6,876,111","2,992,815",0.44
1993,"5,258","275,052","128,000,128","6,699,773","24,542,139",3.66
1994,"6,267","443,667","143,408,060","8,135,142","5,043,643",0.62
1995,"18,852","1,094,285","209,944,022","11,422,363","16,112,346",1.41
1996,"12,691","920,080","224,366,812","12,428,529","9,811,007",0.79
1997,"10,169","788,006","222,348,079","12,813,189","18,680,342",1.46
1998,"9,350","794,951","238,045,453","14,174,112","26,812,433",1.89
1999,"14,276","937,854","263,420,945","18,195,503","28,316,725",1.56
2000,"10,095","941,947","257,713,375","17,983,674","12,193,048",0.68
2001,"9,526","930,533","281,491,827","19,887,953","13,335,751",0.67
TOTAL,"130,775","8,785,055","2,634,448,284","153,244,601","182,998,941",1.19
,,Risk Management Agency/USDA,Risk Management Agency/USDA,Risk Management Agency/USDA,,
