Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”,Name: “Table 1 of 1 on page 97 of 127”
Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97,Table: 97
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2011,Report Period: 2011,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
16905,Nickelsville Fire,Nickelsville Fire,,,,,,,,,,,
Count,8,4,8,7,10,9,5,5,5,4,2,3,70
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,1,0,0,0,2,0,3
16906,Weber City Fire,Weber City Fire,,,,,,,,,,,
Count,0,0,0,0,0,0,1,0,0,0,0,1,2
Exposures,0,0,0,0,0,0,0,0,0,0,0,1,1
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
16907,Ft. Blackmore Fire,Ft. Blackmore Fire,,,,,,,,,,,
Count,5,3,2,1,2,8,3,4,2,2,2,0,34
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,0,0,0,0,0,0,1,1,0,3
17109,TOMS BROOK,,,,,,,,,,,,
Count,34,33,20,20,13,17,20,23,16,16,26,23,261
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,5,6,2,4,2,1,8,5,18,18,1,7,77
Page 97 of 127,Page 97 of 127,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 08 08:47:02 EST 2012,Thu Mar 08 08:47:02 EST 2012
