REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
6 - Richmond/FBurg,23224, 07/07/2011,Rio Lindo Restaurante,11596,3106 Broad Rock Blvd,Richmond,VA
7 - Hampton,23669-2886, 07/21/2011,7 Eleven Store 2516 25102 H,35548,989 N King St,Hampton,VA
7 - Hampton,23664, 07/21/2011,Wall & Stanley LLC,58186,1 Ivory Gull Cres,Hampton,VA
7 - Hampton,23669, 07/21/2011,Megamart,66757,3832 Keoughtan Rd,Hampton,VA
7 - Hampton,23188-1985, 07/21/2011,Oceans & Ale,65358,5601 Richmond Rd Ste 1,Williamsburg,VA
7 - Hampton,23188-1917, 07/21/2011,TGI Fridays,42594,5509 Richmond Rd,Williamsburg,VA
4 - Alexandria,22101-3706, 08/16/2011,CVS Pharmacy # 1397,62866,1452 Chain Bridge Rd,McLean,VA
4 - Alexandria,22182-2248, 08/16/2011,Shiraz Market,62419,8486 Tyco Rd Ste G,Vienna,VA
4 - Alexandria,22182-2737, 08/16/2011,Chef Geoffs Tysons,58388,8045 Leesburg Pike,Vienna,VA
4 - Alexandria,22102, 08/16/2011,Nm Cafe,50105,2255 International Dr,McLean,VA
4 - Alexandria,22102-3810, 08/16/2011,Taste Of Saigon,73307,8201 Greensboro Dr,McLean,VA
4 - Alexandria,20117, 08/16/2011,Market Salamander,29049,200 W Washington St,Middleburg,VA
4 - Alexandria,20117, 08/16/2011,Home Farm Store,66027,1 E Washington St,Middleburg,VA
6 - Richmond/FBurg,23113-4208, 08/16/2011,Diamond Billiards LLC,50025,13184 Midlothian Tpke,Midlothian,VA
6 - Richmond/FBurg,23233-1111, 08/16/2011,Short Pump Pour House,65497,3438 Pump Rd,Richmond,VA
6 - Richmond/FBurg,23294-3717, 08/16/2011,TGI Fridays 1889,59103,7023 W Broad St,Richmond,VA
4 - Alexandria,22314, 08/17/2011,Super Store,25696,1204 S Washington St,Alexandria,VA
4 - Alexandria,22314, 08/17/2011,a La Lucia,29067,315 Madison St,Alexandria,VA
4 - Alexandria,22314-1510, 08/17/2011,Giant Food Store # 750,7775,530 First St,Alexandria,VA
4 - Alexandria,22314-1166, 08/17/2011,Marina Tower Valet,62162,501 Slater Ln,Alexandria,VA
4 - Alexandria,22305-2604, 08/17/2011,7 Eleven Store 2554 10765 A,51188,3412 Mount Vernon Ave,Alexandria,VA
