Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”,Name: “Table 1 of 1 on page 1 of 84”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,,,,,,,,
,,,,5.0,5.0,LIST OF PREPARERS,LIST OF PREPARERS,,,,,,
This,document,was,prepared,by,the,Federal,Highway,Administration,of,the,U.S.,Department,of
"Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers","Transportation and the Virginia Department of Transportation, with assistance from consulting engineers"
"and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell","and planners from Parsons Brinckerhoff Quade & Douglas, Inc.; Coastal Carolina Research, Inc.; Cordell"
"and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and","and Crumley; Harris Miller Miller & Hanson Inc., Intermodal Engineering; Landmark Design Group; and"
"Michael Baker Jr., Inc.","Michael Baker Jr., Inc.","Michael Baker Jr., Inc.",,,,,,,,,,,
Virginia Department of Transportation,Virginia Department of Transportation,Virginia Department of Transportation,Virginia Department of Transportation,Virginia Department of Transportation,Virginia Department of Transportation,,,,,,,,
Name,Name,,Experience,Experience,Experience,,,,Responsibility,Responsibility,Responsibility,Responsibility,
"James O. Clarke,","James O. Clarke,","James O. Clarke,",Masters of Urban and Regional Planning,Masters of Urban and Regional Planning,Masters of Urban and Regional Planning,Masters of Urban and Regional Planning,Masters of Urban and Regional Planning,,Project Manager and EIS,Project Manager and EIS,Project Manager and EIS,Project Manager and EIS,
AICP,AICP,,"(MURP), B.A. in History. 15 years experience","(MURP), B.A. in History. 15 years experience","(MURP), B.A. in History. 15 years experience","(MURP), B.A. in History. 15 years experience","(MURP), B.A. in History. 15 years experience",,review,review,,,
,,,in environmental and planning studies.,in environmental and planning studies.,in environmental and planning studies.,in environmental and planning studies.,in environmental and planning studies.,,,,,,
Christopher Collins,Christopher Collins,Christopher Collins,M.S. and B.S. Biology;,M.S. and B.S. Biology;,M.S. and B.S. Biology;,M.S. and B.S. Biology;,12 years in,,EIS review,EIS review,EIS review,,
,,,environmental studies,environmental studies,environmental studies,environmental studies,,,,,,,
"Amy Wells, E.I.T.","Amy Wells, E.I.T.","Amy Wells, E.I.T.","B.S. Civil Engineering, 7 years experience in","B.S. Civil Engineering, 7 years experience in","B.S. Civil Engineering, 7 years experience in","B.S. Civil Engineering, 7 years experience in","B.S. Civil Engineering, 7 years experience in",,"Preliminary engineering,","Preliminary engineering,","Preliminary engineering,","Preliminary engineering,",
,,,preliminary engineering and location studies,preliminary engineering and location studies,preliminary engineering and location studies,preliminary engineering and location studies,preliminary engineering and location studies,,alternative development,alternative development,alternative development,alternative development,
