Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,,,,Page 9
1.1.3,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,Grants for State Assessments and Related Activities,,,,,,,
1.1.3.1,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,Percentages of Funds Used for Standards and Assessment Development and Other Purposes,
For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY,For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities) during SY
"2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).","2010-11, estimate what percentage of the funds your State used for the following (round to the nearest ten percent).",
,,,,,,,,,,,,,Percentage (rounded to,Percentage (rounded to
,,,,,,Purpose,,,,,,,the nearest ten percent),the nearest ten percent)
To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,To pay the costs of the development of the State assessments and standards required,,,
