Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”,Name: “Table 1 of 1 on page 50 of 80”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,,,,,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,,,,,,,,,Page 48,Page 48,Page 48
1.6.2,1.6.2,Student Demographic Data,Student Demographic Data,Student Demographic Data,Student Demographic Data,Student Demographic Data,,,,,,,,,,,,,,,,
1.6.2.1,1.6.2.1,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,Number of ALL LEP Students in the State,,,,,,,,,,,,,,
"In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition","In the table below, provide the unduplicated number of ALL LEP students in the State who meet the LEP definition",,,
under Section 9101(25).,under Section 9101(25).,under Section 9101(25).,under Section 9101(25).,under Section 9101(25).,,,,,,,,,,,,,,,,,,
,●,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,Include newly enrolled (recent arrivals to the,U.S.) and continually enrolled,U.S.) and continually enrolled,U.S.) and continually enrolled,U.S.) and continually enrolled,U.S.) and continually enrolled,U.S.) and continually enrolled,"LEP students,","LEP students,","LEP students,",whether or not they,whether or not they,whether or not they,whether or not they,whether or not they
,,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,receive services in a Title III language instruction educational program,,,,,,,,,,
,●,Do not,include,Former LEP students (as defined,Former LEP students (as defined,Former LEP students (as defined,Former LEP students (as defined,Former LEP students (as defined,Former LEP students (as defined,in,Section,200.20(f)(2),200.20(f)(2),of,the,Title I,regulation) and monitored,regulation) and monitored,regulation) and monitored,regulation) and monitored,regulation) and monitored,regulation) and monitored
,,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,Former LEP students (as defined under Section 3121(a)(4) of Title III) in the ALL LEP student count in this table.,
Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,Number of ALL LEP students in the State,,,,,,,,,,,"97,033","97,033",,,
Comments:,Comments:,Comments:,,,,,,,,,,,,,,,,,,,,
1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,1.6.2.2 Number of LEP Students Who Received Title III Language Instruction Educational Program Services,,
"In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language","In the table below, provide the unduplicated number of LEP students who received services in Title III language",,,
instructional education programs.,instructional education programs.,instructional education programs.,instructional education programs.,instructional education programs.,instructional education programs.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#
