Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”,Name: “Table 1 of 1 on page 57 of 80”
Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57,Table: 57
,,,,,,,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,,,,,,Page 55
1.6.4,Title III Subgrantees,Title III Subgrantees,Title III Subgrantees,Title III Subgrantees,,,,,,,,,,,,,
This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,This section collects data on the performance of Title III subgrantees.,,,,,,,
1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,1.6.4.1 Title III Subgrantee Performance,,,,,,,,,,,
"In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave","In the table below, report the number of Title III subgrantees meeting the criteria described in the table. Do not leave"
"items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not","items blank. If there are zero subgrantees who met the condition described, put a zero in the number (#) column. Do not"
double count subgrantees by category.,double count subgrantees by category.,double count subgrantees by category.,double count subgrantees by category.,double count subgrantees by category.,double count subgrantees by category.,,,,,,,,,,,,
Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,Note: Do not include number of subgrants made under Section 3114(d)(1) from funds reserved for education programs,
