Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”,Name: “Table 1 of 1 on page 48 of 80”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,Page 46,Page 46
FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,FAQs on poverty quartiles and metrics used to determine poverty,,,,,,
a.,"What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the","What is a ""high-poverty school""? Section 1111(h)(1)(C)(viii) defines ""high-poverty"" schools as schools in the"
,top quartile of poverty in the State.,top quartile of poverty in the State.,top quartile of poverty in the State.,top quartile of poverty in the State.,top quartile of poverty in the State.,,,,,,,,,
b.,What,is,a,"""low-poverty","school""?",Section,1111(h)(1)(C)(viii),defines,"""low-poverty""",schools,as,schools,in,the
,bottom quartile of poverty in the State.,bottom quartile of poverty in the State.,bottom quartile of poverty in the State.,bottom quartile of poverty in the State.,bottom quartile of poverty in the State.,bottom quartile of poverty in the State.,,,,,,,,
c.,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest,How are the poverty quartiles determined? Separately rank order elementary and secondary schools from highest
,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest,to lowest on your percentage poverty measure. Divide the list into four equal groups. Schools in the first (highest
