Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”
Table: 71,Table: 71,Table: 71,Table: 71,Table: 71,Table: 71
,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,,,Page 68
1.10.1 Category 1 Child Count,1.10.1 Category 1 Child Count,,,,
"In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21","In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21","In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21","In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21","In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21","In the table below, enter the unduplicated statewide number by age/grade of eligible migrant children age 3 through 21"
"who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of","who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of","who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of","who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of","who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of","who, within 3 years of making a qualifying move, resided in your State for one or more days during the reporting period of"
"September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have","September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have","September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have","September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have","September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have","September 1, 2010 through August 31, 2011. This figure includes all eligible migrant children who may or may not have"
participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period,participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period,participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period,participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period,participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period,participated in MEP services. Count a child who moved from one age/grade level to another during the reporting period
only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count,only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count,only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count,only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count,only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count,only once in the highest age/grade that he/she attained during the reporting period. The unduplicated statewide total count
is calculated automatically.,is calculated automatically.,,,,
Do not include:,Do not include:,,,,
●,Children age birth through 2 years,Children age birth through 2 years,,,
●,Children served,by the MEP (under the continuation of,services authority),after their period of,eligibility has
,expired when other services are not available to meet their needs,expired when other services are not available to meet their needs,,,
●,Previously eligible secondary-school children who are receiving credit accrual services (under the continuation,Previously eligible secondary-school children who are receiving credit accrual services (under the continuation,Previously eligible secondary-school children who are receiving credit accrual services (under the continuation,Previously eligible secondary-school children who are receiving credit accrual services (under the continuation,Previously eligible secondary-school children who are receiving credit accrual services (under the continuation
,of services authority).,,,,
,,,12-Month Count of Eligible Migrant Children Who Can Be Counted for,12-Month Count of Eligible Migrant Children Who Can Be Counted for,12-Month Count of Eligible Migrant Children Who Can Be Counted for
,Age/Grade,,Funding Purposes,Funding Purposes,
Age 3 through 5 (not Kindergarten),Age 3 through 5 (not Kindergarten),92,,,
,K,76,,,
,1,94,,,
,2,66,,,
,3,71,,,
,4,66,,,
,5,58,,,
,6,40,,,
,7,34,,,
,8,30,,,
,9,26,,,
,10,29,,,
,11,19,,,
,12,14,,,
,Ungraded,,,,
,Out-of-school,183,,,
,Total,898,,,
Comments: Virginia has no migrant students under the classification of ungraded.,Comments: Virginia has no migrant students under the classification of ungraded.,Comments: Virginia has no migrant students under the classification of ungraded.,Comments: Virginia has no migrant students under the classification of ungraded.,,
