Name: “Table 1 of 1 on page 33 of 80”,Name: “Table 1 of 1 on page 33 of 80”,Name: “Table 1 of 1 on page 33 of 80”,Name: “Table 1 of 1 on page 33 of 80”
Table: 33,Table: 33,Table: 33,Table: 33
,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,,Page 32
1.4.5,1.4.5,Districts That Received Title I Funds Identified for Improvement,
1.4.5.1,1.4.5.1,List of Districts That Received Title I Funds and Were Identified for Improvement,
"In the following table, provide a list of districts that received Title I funds and were identified for improvement or corrective","In the following table, provide a list of districts that received Title I funds and were identified for improvement or corrective","In the following table, provide a list of districts that received Title I funds and were identified for improvement or corrective","In the following table, provide a list of districts that received Title I funds and were identified for improvement or corrective"
"action under Section 1116 for the SY 2011-12 based on the data from SY 2010-11. For each district on the list, provide","action under Section 1116 for the SY 2011-12 based on the data from SY 2010-11. For each district on the list, provide","action under Section 1116 for the SY 2011-12 based on the data from SY 2010-11. For each district on the list, provide","action under Section 1116 for the SY 2011-12 based on the data from SY 2010-11. For each district on the list, provide"
the following:,the following:,,
,●,District Name,
,●,District NCES ID Code,
,●,Whether the district met the proficiency target in reading/language arts as outlined in the State's Accountability Plan,Whether the district met the proficiency target in reading/language arts as outlined in the State's Accountability Plan
,●,Whether the district met the participation rate target for the reading/language arts assessment,
,●,Whether the district met the proficiency target in mathematics as outlined in the State'ts Accountability Plan,Whether the district met the proficiency target in mathematics as outlined in the State'ts Accountability Plan
,●,Whether the school met the participation rate target for the mathematics assessment,
,●,Whether the district met the other academic indicator for elementary/middle schools (if applicable) as outlined in,Whether the district met the other academic indicator for elementary/middle schools (if applicable) as outlined in
,,the State's Accountability Plan,
,●,Whether the district met the graduation rate for high schools (if applicable) as outlined in the State's Accountability,Whether the district met the graduation rate for high schools (if applicable) as outlined in the State's Accountability
,,Plan,
,●,Improvement status for SY 2011-12 (Use one of the following improvement status designations: Improvement,Improvement status for SY 2011-12 (Use one of the following improvement status designations: Improvement
,,2,
,,or Corrective Action,)
,●,"Whether the district is a district that received Title I funds. Indicate ""Yes"" if the district received Title I funds and ""No""","Whether the district is a district that received Title I funds. Indicate ""Yes"" if the district received Title I funds and ""No"""
,,if the district did not receive Title I funds. (This column must be completed by States that choose to list all,if the district did not receive Title I funds. (This column must be completed by States that choose to list all
,,districts or all districts in improvement. This column is optional for States that list only districts in improvement,districts or all districts in improvement. This column is optional for States that list only districts in improvement
,,that receive Title I funds.),
See attached for blank template that can be used to enter district data.,See attached for blank template that can be used to enter district data.,See attached for blank template that can be used to enter district data.,
Download template: Question 1.4.5.1 (Get MS Excel Viewer).,Download template: Question 1.4.5.1 (Get MS Excel Viewer).,Download template: Question 1.4.5.1 (Get MS Excel Viewer).,
2,The district improvement statuses are defined in LEA and School Improvement Non-Regulatory Guidance. This,The district improvement statuses are defined in LEA and School Improvement Non-Regulatory Guidance. This,The district improvement statuses are defined in LEA and School Improvement Non-Regulatory Guidance. This
,document may be found on the Department's Web page at,document may be found on the Department's Web page at,
,http://www.ed.gov/policy/elsec/guid/schoolimprovementguid.doc.,http://www.ed.gov/policy/elsec/guid/schoolimprovementguid.doc.,
