RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED,OTHER
120,"YUCHANG TRADING NJ, INC.",45754,875 Industrial Hwy Unit 6,Cinnaminson,NJ,08077,QUALIFICATIONS,1,Y,OUT OF STATE,INITIAL HEARING,3/8/2007,7/24/2007,9/4/2007,,,,,Y,,REVOKED
125,EURO CAFÉ,44366,"Washington National Airport, Terminal A Room 8",Washington,DC,20001,APPLICATION OBJECTIONS: QUALIFICATIONS,1,N,ALEXANDRIA,INITIAL HEARING,4/6/2007,9/14/2007,10/29/2007,,,,,,,APPLICATION-LICENSE GRANTED
1023,COSI CAFÉ,44905,Terminal B/C,Arlington,VA,20001,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/21/2008,,06/05/08,25," $ 2,000.00 ",,,,,
596,LOMBARDY RESTAURANT,73029,14892 Lee Hwy,Amissville,VA,20106,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/25/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
982,MAYHUGH'S 4,42687,14630 Lee Hwy,Amissville,VA,20106,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,3/22/2008,,05/15/08,25," $ 2,000.00 ",,,,,
39,"J CAMBIER IMPORTS, INC.",40519,8964 Mike Garcia Dr,Manassas,VA,20109,FAILED TO FILE REQUIRED WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2006,,10/16/2007,10," $ 1,000.00 ",,,,,
1054,RED LOBSTER 647,57250,7505 Broken Branch Ln,Manassas,VA,20109,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2008,,06/18/08,25," $ 2,000.00 ",,,,,
411,"POTOMAC SELECTIONS, INC.",20131,7547 Gary Rd,Manassas,VA,201090401,SOLD WINE W/O OBTAINING APPROVAL FROM BOARD,1,N,ALEXANDRIA,INITIAL HEARING,12/14/2006,6/26/2007,8/8/2007,10," $ 1,000.00 ",,,,,
328,T G I FRIDAYS,57646,7401 Sudley Rd,Manassas,VA,201092614,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/31/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
500,SHARP SHOOTERS,42163,7753 Sudley Rd,Manassas,VA,201092813,FAILED TO KEEP RECORDS AT PLACE OF BUSINESS; NOT LEGITIMATE OWNER;MISREPRESENTED A MATERIAL FACT IN THE APPLICATION; QUALIFICATIONS; FAILED TO MAINTAIN FOOD TO BEVERAGE RATIO QUALIIFICATION,6,Y,ALEXANDRIA,BOARD APPEAL HEARING,2/5/2007,7/19/2007,12/17/2007,,,,,Y,,REVOKED
419,MI RANCHITO RESTAURANT,41118,8090 Sudley Rd,Manassas,VA,201093401,"APPLICATION OBJECTIONS: APPLICANT IS NOT A PERSON OF GOOD MORAL CHARACTER/APPLICANT HAS MAINTAINED A NOISY, LEWD, DISORDERLY ESTABLISHMENT.",2,N,ALEXANDRIA,BOARD APPEAL HEARING,5/17/2006,7/24/2007,7/25/2007,,,,,,,APPLICATION-LICENSE GRANTED
462,"EL PARAISO RESTAURANT, III",17267,10444 - 10446 Dumfries Rd,Manassas,VA,20110,SOLD TO UAB; FAILED TO HAVE A DESIGNATED MGR. PRESENT,2,N,ALEXANDRIA,CONSENT SETTLEMENT,5/25/2007,,8/13/2007,25," $ 2,500.00 ",,,,,
60,MI BARRIO RESTAURANT (MB),29535,9203 Prescott Ave,Manassas,VA,20110,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,12/31/2006,7/5/2007,8/15/2007,7, $ 500.00 ,,,,,
766,DELI  Y  GROCERY LATINA,27997,9752 Center St,Manassas,VA,20110,ALLOWED CONSUMPTION UPON LICENSED PREMISES; FAILED TO KEEP DESIGNATED MGR'S NAME POSTED; FAILED TO KEEP ACCURATE RECORDS; FAILED TO COMPLY WITH CONDITION OF THE LICENSE; FAILED TO HAVE A DESIGNATED MGR. PRESENT & IN CHARGE,4,Y,ALEXANDRIA,INITIAL HEARING,8/30/2007,2/8/2008,03/19/08,7," $ 1,500.00 ",,,,,
809,7 ELEVEN STORE 2581 22299,31675,9407 Grant Ave,Manassas,VA,20110,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/10/2007,3/20/2008,03/26/08,," $ 4,000.00 ",3,,,,
867,SUPERMARKET FIESTA,5378,9100 Mathis Ave,Manassas,VA,20110,FAILED TO HAVE DESIGNATED MGR. PRESENT; FAILED TO COMPLETE ACCURATE & SEPARATE RECORDS AT THE PLACE OF BUSINESS; NOT THE LEGITIMATE OWNER; PLACE DOES NOT CONFORM TO REQUIREMENTS OF GOVERNING BODY,4,Y,ALEXANDRIA,INITIAL HEARING,10/18/2007,2/26/2008,04/10/08,10," $ 2,000.00 ",,,,,
883,EL MEXICANO,11016,9636 Grant Ave,Manassas,VA,20110,"KEPT UNAUTHORIZED AB FOR SALE; FAILED TO KEEP COMPLETE, ACCURATE & SEPARATE RECORDS AT THE PLACE OF BUSINESS",2,N,ALEXANDRIA,CONSENT SETTLEMENT,12/19/2007,,04/16/08,7," $ 1,000.00 ",,,,,
1029,LAS BRUJAS DE CACHICHE,26890,8909 Centreville Rd,Manassas,VA,20110,RETAILER RECEIVED UNAUTHORIZED PROPERTY FROM WHOLESALER,1,N,ALEXANDRIA,BOARD APPEAL HEARING,6/10/2008,2/26/2008,06/12/08,7, $ 500.00 ,3,,,,
1082,VIDEO MEXICO LINDO MARKET,14539,8084 Sudley Rd,Manassas,VA,20110,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2008,,06/30/08,25," $ 2,000.00 ",,,,,
660,LA PLAZA MARKET,42943,9792 Center St,Manassas,VA,201104168,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/7/2007,12/28/2007,2/4/2008,25," $ 2,000.00 ",,,,,
189,IN & OUT MART,18890,9103 Mathis Ave,Manassas,VA,201105219,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/18/2007,,7/9/2007,25," $ 2,000.00 ",,,,,
548,PUPUSERIA MAXWELL'S A DELI,70497,9043 - 9045 Liberia Ave,Manassas,VA,201105312,FAILED TO HAVE A DESIGNATED MGR. PRESENT; AREA SO ILLUMINATED; FAILED TO OBLITERATE THE MB STAMPS,3,Y,ALEXANDRIA,INITIAL HEARING,7/24/2007,12/3/2007,1/11/2008,10," $ 2,750.00 ",,,,,
48,KC'S RESTAURANT ,71559,9550 Center St,Manassas,VA,201105520,"FAILED TO REPORT TO THE BOARD CHANGES IN THE OFFICERS, DIRECTORS, ETC.",1,N,ALEXANDRIA,INITIAL HEARING,4/25/2007,9/7/2007,10/19/2007,7," $ 1,000.00 ",,,,,
281,APEX MART,42643,99 Manassas Dr,Manassas Park,VA,20111,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2007,,9/17/2007,25," $ 2,000.00 ",,,,,
761,CASABLANCA RESTAURANT,38143,7911 Centreville Rd,Manassas,VA,20111,ILLUMINATED; FAILED TO OBLITERATE MB STAMPS; PREPARED MB ORDER IN ADVANCE,3,Y,ALEXANDRIA,BOARD APPEAL HEARING,7/13/2007,12/3/2007,03/19/08,," $ 4,500.00 ",2,,,,
675,TAQUERIA EL MICHOACANO,40129,7422 Old Centreville Rd,Manassas,VA,201111642,PURCHASED AB FOR RESALE FROM A PERSON OTHER THAN WHOLESALER; ADVERTISED ABOUT OR CONCERNING HAPPY HOUR CONTRARY TO THE RULES AND REGS. ,2,N,ALEXANDRIA,OFFER IN COMPROMISE,7/24/2007,1/29/2008,2/14/2008,," $ 1,000.00 ",,,,,
1,ANTHONY'S RESTAURANT,72981,7234 Centreville Rd,Manassas,VA,201111741,ADVERTISED HAPPY HOUR CONTRARY TO RULES & REGS,1,Y,ALEXANDRIA,INITIAL HEARING,3/15/2007,7/5/2007,8/15/2007,15," $ 2,500.00 ",3,,,,
549,CONFETTY'S,17123,8279 Shoppers Sq,Manassas,VA,201112176,PLACE DOES NOT CONFORM TO REQUIREMENTS OF GOVERNING BODY,1,Y,ALEXANDRIA,INITIAL HEARING,6/9/2007,11/28/2007,1/11/2008,30," $ 3,000.00 ",7,,,,
