Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”,Name: “Table 1 of 1 on page 2 of 3”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,
,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,
"Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005",,,,,,
,,,,,,,,,,Average,
,,,,,,,,,,Annual,
FIPS,Location,Population,2000,2001,2002,2003,2004,2005,Total,"Rate/100,000",Rank
109,Louisa County,"25,627",0,0,1,0,0,0,1,0.65,87
111,Lunenburg County,"13,146",1,0,1,0,0,2,4,5.07,7
113,Madison County,"12,520",0,1,1,0,0,1,3,3.99,12
115,Mathews County,"9,207",0,0,0,0,0,0,0,,
117,Mecklenburg County,"32,380",1,1,0,1,2,0,5,2.57,29
119,Middlesex County,"9,932",0,1,0,0,0,0,1,1.68,52
121,Montgomery County,"83,629",0,2,0,1,1,4,8,1.59,57
125,Nelson County,"14,445",0,0,1,0,0,0,1,1.15,70
127,New Kent County,"13,462",0,0,0,0,0,0,0,,
131,Northampton County,"13,093",0,0,2,0,0,3,5,6.36,4
133,Northumberland County,"12,259",0,0,0,0,0,0,0,,
135,Nottoway County,"15,725",0,1,1,0,1,1,4,4.24,11
137,Orange County,"25,881",0,1,0,1,1,0,3,1.93,46
139,Page County,"23,177",1,1,0,0,1,0,3,2.16,39
141,Patrick County,"19,407",0,0,0,0,1,0,1,0.86,81
143,Pittsylvania County,"61,745",1,2,1,1,2,1,8,2.16,38
145,Powhatan County,"22,377",0,0,1,0,0,1,2,1.49,61
147,Prince Edward County,"19,720",1,0,0,0,3,0,4,3.38,18
149,Prince George County,"33,047",1,0,0,0,0,1,2,1.01,76
153,Prince William County,"280,813",1,2,0,1,1,0,5,0.30,104
155,Pulaski County,"35,127",0,2,1,1,3,1,8,3.80,14
157,Rappahannock County,"6,983",0,0,0,0,0,0,0,,
159,Richmond County,"8,809",0,0,0,0,0,0,0,,
161,Roanoke County,"85,778",0,0,0,1,2,0,3,0.58,90
163,Rockbridge County,"20,808",3,0,0,0,0,0,3,2.40,34
165,Rockingham County,"67,725",1,1,3,0,5,0,10,2.46,32
167,Russell County,"30,308",0,0,0,1,0,0,1,0.55,94
169,Scott County,"23,403",1,0,2,1,1,0,5,3.56,17
171,Shenandoah County,"35,075",1,1,0,0,1,1,4,1.90,47
173,Smyth County,"33,081",0,0,0,0,0,1,1,0.50,97
175,Southampton County,"17,482",0,0,2,1,0,1,4,3.81,13
177,Spotsylvania County,"90,395",1,2,0,0,0,0,3,0.55,93
179,Stafford County,"92,446",1,0,0,1,0,0,2,0.36,103
181,Surry County,"6,829",0,0,1,0,0,0,1,2.44,33
183,Sussex County,"12,504",0,1,0,0,0,1,2,2.67,26
185,Tazewell County,"44,598",0,1,0,4,2,3,10,3.74,15
187,Warren County,"31,584",0,0,0,1,2,1,4,2.11,40
191,Washington County,"51,103",0,0,2,0,3,0,5,1.63,56
193,Westmoreland County,"16,718",0,0,0,0,0,1,1,1.00,77
195,Wise County,"40,123",2,2,0,0,0,0,4,1.66,53
197,Wythe County,"27,599",0,0,0,0,1,0,1,0.60,88
199,York County,"56,297",0,0,0,0,0,0,0,,
510,Alexandria,"128,283",1,0,0,0,1,1,3,0.39,101
515,Bedford,"6,299",0,0,0,0,0,0,0,,
520,Bristol,"17,367",0,0,0,0,0,0,0,,
530,Buena Vista,"6,349",0,0,0,0,0,1,1,2.63,27
540,Charlottesville,"45,049",2,1,0,0,0,0,3,1.11,72
550,Chesapeake,"199,184",0,0,0,0,1,1,2,0.17,105
570,Colonial Heights,"16,897",0,1,0,0,0,0,1,0.99,78
580,Covington,"6,303",0,0,0,0,0,0,0,,
590,Danville,"48,411",2,0,0,1,1,0,4,1.38,69
595,Emporia,"5,665",0,0,0,0,0,0,0,,
600,Fairfax,"21,498",0,0,0,0,0,0,0,,
610,Falls Church,"10,377",0,0,0,0,0,0,0,,
620,Franklin,"8,346",0,0,0,0,0,0,0,,
630,Fredericksburg,"19,279",1,0,1,0,0,0,2,1.73,51
640,Galax,"6,837",0,0,0,0,0,0,0,,
650,Hampton,"146,437",1,1,0,1,2,0,5,0.57,91
660,Harrisonburg,"40,468",0,0,0,0,0,1,1,0.41,100
670,Hopewell,"22,354",1,0,0,0,1,0,2,1.49,60
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,,2,,,,,,4/13/2007
