,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,
"Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005",,,,,,
,,,,,,,,,,Average,
,,,,,,,,,,Annual,
FIPS,Location,Population,2000,2001,2002,2003,2004,2005,Total,"Rate/100,000",Rank
001,Accomack County,"38,305",2,3,0,0,0,1,6,2.61,28
003,Albemarle County,"79,236",0,0,0,2,1,1,4,0.84,82
005,Alleghany County,"17,215",0,0,0,0,0,0,0,,
007,Amelia County,"11,400",1,0,0,0,0,0,1,1.46,62
009,Amherst County,"31,894",0,0,0,0,1,0,1,0.52,95
011,Appomattox County,"13,705",0,0,0,0,0,0,0,,
013,Arlington County,"189,453",0,0,0,1,0,0,1,0.09,107
015,Augusta County,"65,615",0,4,0,1,1,2,8,2.03,44
017,Bath County,"5,048",0,0,0,0,0,0,0,,
019,Bedford County,"60,371",0,1,2,1,0,0,4,1.10,73
021,Bland County,"6,871",0,0,0,0,0,0,0,,
023,Botetourt County,"30,496",0,0,0,3,0,0,3,1.64,54
025,Brunswick County,"18,419",0,2,1,0,0,0,3,2.71,24
027,Buchanan County,"26,978",0,1,1,1,3,1,7,4.32,9
029,Buckingham County,"15,623",1,0,0,2,0,0,3,3.20,19
031,Campbell County,"51,078",1,0,1,0,2,1,5,1.63,55
033,Caroline County,"22,121",2,0,0,1,0,0,3,2.26,35
035,Carroll County,"29,245",1,0,2,0,1,1,5,2.85,23
036,Charles City County,"6,926",3,0,0,2,0,0,5,12.03,2
037,Charlotte County,"12,472",2,0,0,0,0,0,2,2.67,25
041,Chesterfield County,"259,903",1,1,2,3,3,2,12,0.77,83
043,Clarke County,"12,652",0,0,0,0,0,0,0,,
045,Craig County,"5,091",0,0,0,0,0,0,0,,
047,Culpeper County,"34,262",0,0,0,0,1,0,1,0.49,98
049,Cumberland County,"9,017",0,0,0,0,0,0,0,,
051,Dickenson County,"16,395",0,0,0,1,1,0,2,2.03,43
053,Dinwiddie County,"24,533",0,0,0,0,0,1,1,0.68,85
057,Essex County,"9,989",0,1,1,0,6,0,8,13.35,1
059,Fairfax County,"969,749",3,1,6,5,6,5,26,0.45,99
061,Fauquier County,"55,139",0,0,0,1,1,1,3,0.91,80
063,Floyd County,"13,874",3,0,0,1,0,0,4,4.81,8
065,Fluvanna County,"20,047",2,0,1,0,0,0,3,2.49,27
067,Franklin County,"47,286",0,1,0,0,1,1,3,1.06,74
069,Frederick County,"59,209",0,0,0,0,1,1,2,0.56,92
071,Giles County,"16,657",0,0,1,0,0,1,2,2.00,45
073,Gloucester County,"34,780",0,0,0,0,3,0,3,1.44,65
075,Goochland County,"16,863",0,0,0,1,2,0,3,2.97,20
077,Grayson County,"17,917",1,0,0,1,0,0,2,1.86,48
079,Greene County,"15,244",0,0,0,0,0,0,0,,
081,Greensville County,"11,560",1,0,0,0,0,0,1,1.44,63
083,Halifax County,"37,355",2,1,1,1,3,0,8,3.57,16
085,Hanover County,"86,320",1,0,0,1,0,0,2,0.39,102
087,Henrico County,"262,300",1,0,2,2,1,2,8,0.51,96
089,Henry County,"57,930",1,0,1,0,2,0,4,1.15,71
091,Highland County,"2,536",0,0,0,0,0,0,0,,
093,Isle of Wight County,"29,728",2,2,0,0,0,0,4,2.24,36
095,James City County,"48,102",1,0,0,1,0,0,2,0.69,84
097,King and Queen County,"6,630",0,0,0,0,0,0,0,,
099,King George County,"16,803",0,0,0,0,0,0,0,,
101,King William County,"13,146",0,0,5,0,0,0,5,6.34,6
103,Lancaster County,"11,567",0,0,3,0,0,0,3,4.32,10
105,Lee County,"23,589",3,2,0,2,0,2,9,6.36,5
107,Loudoun County,"169,599",0,1,0,0,0,0,1,0.10,106
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,,1,,,,,,4/13/2007
,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,
"Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005",,,,,,
,,,,,,,,,,Average,
,,,,,,,,,,Annual,
FIPS,Location,Population,2000,2001,2002,2003,2004,2005,Total,"Rate/100,000",Rank
109,Louisa County,"25,627",0,0,1,0,0,0,1,0.65,87
111,Lunenburg County,"13,146",1,0,1,0,0,2,4,5.07,7
113,Madison County,"12,520",0,1,1,0,0,1,3,3.99,12
115,Mathews County,"9,207",0,0,0,0,0,0,0,,
117,Mecklenburg County,"32,380",1,1,0,1,2,0,5,2.57,29
119,Middlesex County,"9,932",0,1,0,0,0,0,1,1.68,52
121,Montgomery County,"83,629",0,2,0,1,1,4,8,1.59,57
125,Nelson County,"14,445",0,0,1,0,0,0,1,1.15,70
127,New Kent County,"13,462",0,0,0,0,0,0,0,,
131,Northampton County,"13,093",0,0,2,0,0,3,5,6.36,4
133,Northumberland County,"12,259",0,0,0,0,0,0,0,,
135,Nottoway County,"15,725",0,1,1,0,1,1,4,4.24,11
