,,,,
,,,EVENTNAME,CAMPYLOBACT
,,,,
,,,,
,AGEGROUP,,,
DISTRICT,00-04 YRS,05-09 YRS  ,10-14 YRS,15-19 YRS
----------------,+-----------,------------,----------,-----------
ALEXANDRIA,|          0,1,0,0
ALLEGHANY,|          1,1,0,1
ARLINGTON,|          2,0,2,0
CENTRAL SHENAND,|          7,3,2,5
CENTRAL VIRGINI,|          5,3,3,4
CHESAPEAKE,|          1,1,0,1
CHESTERFIELD,|          1,1,1,3
CRATER,|          1,0,0,1
CUMBERLAND PLAT,|          3,1,1,0
EASTERN SHORE,|          1,0,0,0
FAIRFAX,|          3,3,2,1
HAMPTON,|          1,0,0,0
HANOVER,|          3,0,1,0
HENRICO,|          1,0,4,1
LENOWISCO,|          7,0,3,1
LORD FAIRFAX,|          8,2,3,2
LOUDOUN,|          1,0,0,1
MOUNT ROGERS,|          4,1,1,0
NEW RIVER,|          0,0,1,2
NORFOLK,|          4,2,0,0
PENINSULA,|          0,1,0,0
PIEDMONT,|          1,2,0,1
PITTSYL/DANVILL,|          1,0,0,0
PORTSMOUTH,|          1,0,0,0
PRINCE WILLIAM,|          3,1,0,0
RAPPAHAN/RAPIDA,|          1,0,1,0
RAPPAHANNOCK,|          1,0,3,0
RICHMOND CITY,|          2,1,0,0
ROANOKE CITY,|          0,0,1,0
SOUTHSIDE,|          0,0,0,0
THOMAS JEFFERSO,|          3,2,0,0
THREE RIVERS,|          1,0,1,2
VIRGINIA BEACH,|          9,0,0,3
WEST PIEDMONT,|          1,0,0,0
WEST TIDEWATER,|          0,1,0,0
----------------,+-----------,------------,----------,-----------
Total,|         78,27,30,29
,,,,
,,,,
,,,EVENTNAME,Err:509
,AGEGROUP,,,
DISTRICT,00-04 YRS,05-09 YRS  ,10-14 YRS,15-19 YRS
----------------,+-----------,------------,----------,-----------
ALEXANDRIA,|          1,0,0,0
ALLEGHANY,|          1,0,0,0
ARLINGTON,|          1,0,0,0
CENTRAL SHENAND,|          1,1,0,1
CENTRAL VIRGINI,|          0,0,0,0
CHESAPEAKE,|          0,1,0,0
CHESTERFIELD,|          1,2,0,0
CRATER,|          0,0,0,0
CUMBERLAND PLAT,|          0,0,0,0
EASTERN SHORE,|          0,0,0,0
FAIRFAX,|          3,0,0,1
HAMPTON,|          0,0,0,0
HANOVER,|          1,0,0,0
HENRICO,|          0,0,0,0
LENOWISCO,|          1,0,0,0
LORD FAIRFAX,|          1,0,0,0
LOUDOUN,|          2,0,0,0
MOUNT ROGERS,|          3,1,1,1
NEW RIVER,|          1,0,0,0
NORFOLK,|          0,0,0,1
PENINSULA,|          1,0,0,0
PIEDMONT,|          0,0,0,0
PITTSYL/DANVILL,|          0,0,0,0
PORTSMOUTH,|          0,0,0,0
PRINCE WILLIAM,|          6,0,2,0
RAPPAHAN/RAPIDA,|          0,0,0,0
RAPPAHANNOCK,|          0,0,0,0
RICHMOND CITY,|          0,1,1,0
ROANOKE CITY,|          2,0,0,0
SOUTHSIDE,|          0,0,0,0
THOMAS JEFFERSO,|          0,0,0,0
THREE RIVERS,|          0,0,0,0
VIRGINIA BEACH,|          1,0,0,0
WEST PIEDMONT,|          0,0,2,0
