RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,
460,COSI CAFÉ AND BAR,61982,RONALD REGAN NATL AIRPORT,ARLINGTON,VA,20001,"FAILURE TO HAVE DESIGNATED MANAGER ON DUTY; FAILURE TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS",2,Y,ALEXANDRIA,OFFER IN COMPROMISE,11/4/2011,Y,11/14/2011,,,2/15/2012,," $ 1,500.00 ",,,,,,,
52,BACKYARD GRILL,52680,7421 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,5/31/2011,N,6/7/2011,,,7/22/2011,," $ 1,500.00 ",,,,,SERVER TO ATTEND RSVP,,
81,CHINA JADE RESTAURANT,14462,8357 SUDLEY RD,MANASSAS,VA,20109,"LICENSEE FAILED TO SUBMIT TO THE BOARD A COMPLETE AND ACCURATE ANNUAL REVIEW REPORT FOR THE YEAR ENDING JANUARY 31, 2011",1,N,ALEXANDRIA,INITIAL HEARING,1/31/2011,N,4/29/2011,6/23/2011,6/30/2011,8/3/2011,7, $ 500.00 ,,,,,,,
103,CHIPOTLE MEXICAN GRILL,51842,7311 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,5/31/2011,Y,6/7/2011,,,9/7/2011,," $ 3,000.00 ",,,,,,,
224,RACE WAY 6788,38870,7402 SUDLEY ROAD,MANASSAS,VA,20109,QUALIFICATIONS ,1,N,ALEXANDRIA,APPEAL HEARING,3/31/2011,N,4/27/2011,6/24/2011,7/2/2011,11/17/2011,,,,,,,CONTINUED FOR 3 MOS.,,
326,FLOWER GALLERY,59379,8351 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,10/14/2011,N,11/9/2011,,,12/16/2011,25,,,,,,TO START 1-3-12,,
334,7 ELEVEN STORE 2554-30486 B,66564,8002 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/14/2011,N,11/14/2011,,,12/21/2011,," $ 2,000.00 ",,,,,,,
509,RACE WAY 6788,38870,7402 SUDLEY ROAD,MANASSAS,VA,20109,QUALIFICATIONS,1,N,ALEXANDRIA,APPEAL HEARING,3/31/2011,Y,4/27/2011,6/24/2011,7/21/2011,3/26/2012,,,,,Y,,,,
526,AFTER LIFE 360,53599,"8090 SUDLEY RD, SUITE 8092",MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/6/2012,N,2/13/2012,,,4/5/2012,," $ 2,000.00 ",,,,,,,
592,SUMO JAPANESE STEAKHOUSE,61488,8359 SUDLEY ROAD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/14/2012,N,4/23/2012,,,5/24/2012,," $ 2,000.00 ",,,,,,,
