Name: “Table 1 of 1 on page 1 of 1”,Name: “Table 1 of 1 on page 1 of 1”,Name: “Table 1 of 1 on page 1 of 1”,Name: “Table 1 of 1 on page 1 of 1”,Name: “Table 1 of 1 on page 1 of 1”,Name: “Table 1 of 1 on page 1 of 1”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,
Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs
,"""Fighting Fires with Facts""","""Fighting Fires with Facts""","""Fighting Fires with Facts""",,
"During our 3-day Fourth of July celebration, nearly one-","During our 3-day Fourth of July celebration, nearly one-","During our 3-day Fourth of July celebration, nearly one-","During our 3-day Fourth of July celebration, nearly one-","During our 3-day Fourth of July celebration, nearly one-","During our 3-day Fourth of July celebration, nearly one-"
fourth (1/4) of all fires involving fireworks will occur; and,fourth (1/4) of all fires involving fireworks will occur; and,fourth (1/4) of all fires involving fireworks will occur; and,fourth (1/4) of all fires involving fireworks will occur; and,fourth (1/4) of all fires involving fireworks will occur; and,fourth (1/4) of all fires involving fireworks will occur; and
those fires will account for one-half (1/2) of the dollar,those fires will account for one-half (1/2) of the dollar,those fires will account for one-half (1/2) of the dollar,those fires will account for one-half (1/2) of the dollar,those fires will account for one-half (1/2) of the dollar,those fires will account for one-half (1/2) of the dollar
,,loss. 1,loss. 1,,
"Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008","Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008","Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008","Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008","Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008","Fires Ignited By 4th of July Holiday Fireworks Summary, Virginia, 2004-2008"
,,,Total Dollar,,
Year,Total,Percent,,Total Injuries,Total Deaths
,,,Loss,,
2004,3,4%,"$5,400",0,0
2005,22,26%,"$22,575",1,0
2006,9,11%,"$42,250",0,0
2007,35,42%,"$9,703",0,0
2008,15,18%,"$178,013",0,0
Grand Total,84,100%,"$257,941",1,0
"Fires Ignited By Fireworks Summary, Virginia, 2004-2008","Fires Ignited By Fireworks Summary, Virginia, 2004-2008","Fires Ignited By Fireworks Summary, Virginia, 2004-2008","Fires Ignited By Fireworks Summary, Virginia, 2004-2008",,
