Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,
Summary By Incident Type,Summary By Incident Type,Summary By Incident Type,,,,,,,,
Report Period:,1/1/07 - 12/31/07,,,,,,,,,
Calls By Incident Type,Calls By Incident Type,,Percent Of,Mutual Aid,Mutual Aid,Mutual Aid,Other Aid,Invalid Aid,,Total
,,Frequency,Total Calls,None,Given,Received,Given,Flag,Exposures,Incidents
FIRES,,,,,,,,,,
,"Building Fires (110-118, 120-123). . . . . . . . . . . . . . . . .",10376,1.71%,7616,4766,2740,19,1,356,15498
,Vehicle Fires (130-138). . . . . . . . . . . . . . . . . . . . . . . . .,5139,0.85%,4685,550,446,8,0,224,5913
,"Others Fires (100, 140-173). . . . . . . . . . . . . . . . . . . . .",18539,3.06%,16972,2459,1524,43,0,135,21133
Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,34054,5.62%,29273,7775,4710,70,1,715,42544
"Overpressure Ruptures, Explosion, Overheat (200-251). . . . .","Overpressure Ruptures, Explosion, Overheat (200-251). . . . .",1513,0.25%,1375,118,133,5,0,6,1637
RESCUE CALLS,,,,,,,,,,
,Emergency Medical Treatment (300-323). . . . . . . .,375362,61.92%,361879,13757,13088,394,1,21,389140
,All Others (331-381). . . . . . . . . . . . . . . . . . . . . . . . .,5797,0.96%,5463,546,315,19,0,0,6343
Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,381159,62.87%,367342,14303,13403,413,1,21,395483
Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,32588,5.38%,30696,1758,1854,37,1,5,34352
