Table 7. Carbon intensity of the energy supply by state (2000 - 2010),,,,,,,,,,,,,
kilograms of energy-related carbon dioxide per million Btu,,,,,,,,,,,,,
,,,,,,,,,,,,Change,
,,,,,,,,,,,,2000 to 2010,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Percent,Absolute
Alabama,57.9,57.6,57.3,57.0,56.3,57.2,57.5,58.1,55.9,51.3,53.9,-6.9%,-4.0
Alaska,59.7,59.0,59.4,59.4,60.3,60.2,61.3,60.9,60.6,60.1,60.4,1.1%,0.6
Arizona,55.0,56.0,54.8,55.8,56.2,57.0,57.9,56.9,56.0,54.6,55.0,0.1%,0.1
Arkansas,56.8,56.3,54.4,54.6,55.1,55.4,55.2,54.8,55.6,54.3,55.5,-2.3%,-1.3
California,52.8,54.0,53.9,53.4,53.6,53.0,53.1,54.1,54.2,53.7,52.9,0.2%,0.1
Colorado,69.1,68.8,69.4,68.4,68.9,68.5,68.6,67.5,66.5,65.8,66.5,-3.7%,-2.6
Connecticut,49.9,51.8,50.9,50.8,50.4,51.4,49.4,49.3,49.6,47.2,47.2,-5.5%,-2.8
Delaware,69.6,68.3,67.5,69.1,69.4,69.9,69.5,70.0,69.1,65.2,64.0,-8.1%,-5.6
District of Columbia,61.0,62.1,61.3,60.7,61.2,61.6,60.1,59.6,59.2,59.0,59.2,-3.0%,-1.8
Florida,63.3,63.8,62.7,63.1,63.3,63.5,62.2,62.3,60.0,58.6,59.9,-5.5%,-3.5
Georgia,59.6,59.5,58.6,59.7,59.7,61.3,61.2,61.5,61.3,59.1,58.9,-1.2%,-0.7
Hawaii,68.6,71.2,72.0,71.3,71.4,71.0,71.3,71.4,70.0,69.8,69.5,1.2%,0.8
Idaho,39.2,43.9,41.8,42.9,43.2,42.2,39.3,42.4,40.6,39.5,41.2,5.1%,2.0
Illinois,53.4,52.6,52.4,52.2,53.4,53.7,53.5,53.5,53.0,51.8,52.0,-2.5%,-1.4
Indiana,77.6,78.0,77.4,77.1,77.5,77.4,78.1,77.6,76.8,75.5,75.1,-3.2%,-2.5
Iowa,66.3,67.3,66.1,66.3,64.6,63.4,62.7,62.0,60.3,56.6,56.2,-15.1%,-10.0
Kansas,64.8,63.7,65.1,65.0,63.9,65.7,64.9,64.6,64.0,63.0,62.2,-4.0%,-2.6
