Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,,,,,,,
Tally,Tally,,,,,,,,,,,,,,,,,
Selected Coded Field:,Selected Coded Field:,Incident Type,Incident Type,Incident Type,,,,,,,,,,,,,,
Report Period:,Report Period:,1/1/08 - 12/31/08,1/1/08 - 12/31/08,,,,,,,,,,,,,,,
COD,DESCRIPTOR,FREQ,FREQ %,EXPs,CIV,CIV,CIV,CIV,FF,FF DTH,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
E,,,,,DTHS,DTHS %,INJS,INJS %,DTHS,%,INJS,INJS %,,LOSS %,,LOSS %,,LOSS %
,"Structure fire, other",,,,,,,,,,,,,,,,,
110,(conversion only),238,4.20%,9,2,4.26%,16,6.56%,0,0.00%,5,4.81%,"6,441,345",6.77%,0,0.00%,"6,441,345",5.29%
,Building fires,,,,,,,,,,,,,,,,,
111,,"2,872",50.63%,107,44,93.62%,176,72.13%,0,0.00%,95,91.35%,"86,868,452",91.36%,"26,010,363",97.14%,"112,878,815",92.63%
,"Cooking fire, confined to",,,,,,,,,,,,,,,,,
113,container,"1,139",20.08%,2,0,0.00%,34,13.93%,0,0.00%,3,2.88%,"211,229",0.22%,"188,654",0.70%,"399,883",0.33%
,"Chimney or flue fire,",,,,,,,,,,,,,,,,,
114,confined to chimney or,973,17.15%,1,0,0.00%,1,0.41%,0,0.00%,1,0.96%,"94,978",0.10%,"19,671",0.07%,"114,649",0.09%
,flue,,,,,,,,,,,,,,,,,
,Incinerator overload or,,,,,,,,,,,,,,,,,
115,"malfunction, fire",16,0.28%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,100,0.00%,100,0.00%,200,0.00%
,confined,,,,,,,,,,,,,,,,,
,Fuel burner/boiler,,,,,,,,,,,,,,,,,
116,"malfunction, fire",133,2.34%,0,0,0.00%,2,0.82%,0,0.00%,0,0.00%,"41,414",0.04%,"41,197",0.15%,"82,611",0.07%
,confined,,,,,,,,,,,,,,,,,
,"Trash or rubbish fire,",,,,,,,,,,,,,,,,,
118,contained,123,2.17%,1,0,0.00%,2,0.82%,0,0.00%,0,0.00%,"26,554",0.03%,"19,409",0.07%,"45,963",0.04%
,Fire in mobile prop.,,,,,,,,,,,,,,,,,
120,"used as a fixed struc.,",10,0.18%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"75,250",0.08%,"51,000",0.19%,"126,250",0.10%
,other,,,,,,,,,,,,,,,,,
,Fire in mobile home,,,,,,,,,,,,,,,,,
121,used as fixed residence,159,2.80%,5,1,2.13%,13,5.33%,0,0.00%,0,0.00%,"1,305,251",1.37%,"410,801",1.53%,"1,716,052",1.41%
,"Fire in motor home,",,,,,,,,,,,,,,,,,
122,"camper, recreational",3,0.05%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"6,000",0.01%,"3,000",0.01%,"9,000",0.01%
,vehicle,,,,,,,,,,,,,,,,,
,"Fire in portable building,",,,,,,,,,,,,,,,,,
123,fixed location,6,0.11%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"10,000",0.01%,"31,200",0.12%,"41,200",0.03%
Totals,,"5,672",100.00%,125,47,100.00%,244,100.00%,0,100.00%,104,100.00%,"95,080,573 100.00%","95,080,573 100.00%","26,775,395",100.00%,"121,855,968",100.00%
Mutual Aid Given Incidents,Mutual Aid Given Incidents,770,,,,,,,,,,,,,,,,
,Page 2 of 2,,,,,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,,,,,4/9/09 9:25:22 AM,4/9/09 9:25:22 AM,
