Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,,,,,,
Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,,,,,,,,,,,,
,State: VA,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,Report Period: From 01/01/2012 to 12/31/2012,,,,,,,,,,
CODE,Category,FREQ,FREQ,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,%,,%,,%,,%,,%,,%,,%
01,"Incendiary, Suspicious",336,4.78 %,7,18.92 %,18,6.08 %,0,0.00 %,18,10.11 %,"10,233,447",9.96 %,"3,004,513",8.57 %,"13,237,960",9.60 %
02,Children Playing,14,0.20 %,0,0.00 %,3,1.01 %,0,0.00 %,0,0.00 %,"159,500",0.16 %,"60,000",0.17 %,"219,500",0.16 %
03,Smoking,157,2.24 %,4,10.81 %,21,7.09 %,0,0.00 %,10,5.62 %,"5,177,414",5.04 %,"1,973,754",5.63 %,"7,151,168",5.19 %
04,Heating,"1,055",15.02 %,2,5.41 %,19,6.42 %,0,0.00 %,7,3.93 %,"3,643,265",3.55 %,"1,132,113",3.23 %,"4,775,378",3.46 %
05,Cooking,"2,655",37.80 %,1,2.70 %,112,37.84 %,0,0.00 %,12,6.74 %,"5,654,148",5.50 %,"2,362,473",6.74 %,"8,016,621",5.82 %
06,Electrical Distribution,303,4.31 %,1,2.70 %,15,5.07 %,0,0.00 %,36,20.22 %,"5,551,221",5.40 %,"1,856,687",5.30 %,"7,407,908",5.37 %
07,"Appliances, AC",315,4.49 %,0,0.00 %,24,8.11 %,0,0.00 %,15,8.43 %,"7,165,914",6.97 %,"1,960,795",5.59 %,"9,126,709",6.62 %
08,"Open Flame, Ember,",324,4.61 %,4,10.81 %,15,5.07 %,0,0.00 %,4,2.25 %,"4,863,791",4.73 %,"1,595,184",4.55 %,"6,458,975",4.69 %
09,"Other Heat, Flame,",194,2.76 %,2,5.41 %,9,3.04 %,0,0.00 %,7,3.93 %,"5,094,318",4.96 %,"1,823,002",5.20 %,"6,917,320",5.02 %
10,Other Equipment,51,0.73 %,2,5.41 %,4,1.35 %,0,0.00 %,0,0.00 %,"833,871",0.81 %,"290,950",0.83 %,"1,124,821",0.82 %
11,Natural,123,1.75 %,0,0.00 %,3,1.01 %,0,0.00 %,5,2.81 %,"5,873,400",5.72 %,"1,415,101",4.04 %,"7,288,501",5.29 %
12,Exposure,67,0.95 %,1,2.70 %,4,1.35 %,0,0.00 %,8,4.49 %,"7,095,137",6.90 %,"1,925,784",5.49 %,"9,020,921",6.55 %
13,Unknown,"1,429",20.35 %,13,35.14 %,49,16.55 %,0,0.00 %,56,31.46 %,"41,423,792",40.31 %,"15,655,665",44.66 %,"57,079,457",41.41 %
,,,,,,,100.00,,,,100.00 %,,100.00,,100.00 %,,100.00 %
,Totals:,"7,023",100.00 %,37,100.00 %,296,,0,0.00 %,178,,"102,769,218",,"35,056,021",,"137,825,239",
,,,,,,,%,,,,,,%,,,,
,Page 2 of 2,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:40:54 EDT 2013,Thu Mar 14 07:40:54 EDT 2013,Thu Mar 14 07:40:54 EDT 2013
