Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”,Name: “Table 1 of 1 on page 1 of 78”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,
Report Parameters:,Report Parameters:,,,,,
Report Period:,2005,Version: Both,Status: All,Released: All,Sort by:,FDID
Report Filters:,No Filters Applied,,,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)"
Activity:,Show only FDIDs with Activity,,,,,
State:,VA,,,,,
Report FDIDs:,All,,,,,
Page 1 of 78,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,6/7/06 7:53:51 AM
