Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”,Name: “Table 1 of 1 on page 6 of 78”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,
Report Period:,Report Period:,2005,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
00702,MANNBORO VOL. FIRE DEPT.,MANNBORO VOL. FIRE DEPT.,MANNBORO VOL. FIRE DEPT.,,,,,,,,,,
Count,6,3,4,4,7,2,6,4,5,7,12,9,69
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,1,2,2,0,0,0,0,4,0,1,0,11
00703,JETERSVILLE VOL. FIRE DEPT.,JETERSVILLE VOL. FIRE DEPT.,JETERSVILLE VOL. FIRE DEPT.,,,,,,,,,,
Count,3,0,0,0,0,0,0,0,0,0,0,0,3
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
00704,MATTOAX VOL. FIRE DEPT.,MATTOAX VOL. FIRE DEPT.,,,,,,,,,,,
Count,14,9,6,4,10,3,9,8,5,9,7,10,94
Exposures,0,0,1,0,0,0,0,0,0,0,0,0,1
Aid Given,2,2,2,6,2,3,8,1,3,1,1,1,32
00901,AMHERST VOL. FIRE DEPT.,AMHERST VOL. FIRE DEPT.,,,,,,,,,,,
Count,16,11,15,8,15,9,7,7,11,11,11,19,140
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,17,10,9,7,0,3,8,0,5,10,8,17,94
00902,MONELISON VOLUNTEER FIRE,MONELISON VOLUNTEER FIRE,MONELISON VOLUNTEER FIRE,,,,,,,,,,
Count,33,30,28,24,21,23,30,19,28,27,26,32,321
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,9,5,7,2,2,7,3,3,4,3,5,10,60
00903,Pedlar Fire & Rescue,Pedlar Fire & Rescue,,,,,,,,,,,
Count,2,0,2,2,0,5,0,0,0,0,0,0,11
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,21,8,9,5,2,6,0,0,0,0,0,0,51
Page 6 of 78,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,,6/7/06 7:53:52 AM
