"Table 7. Low birthweight live births, by race and Hispanic origin of mother, and state: United States, 2000-2002, 2003-2005, and 2008-2010",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
(Data are based on birth certificates),,,,,,,,,,,,
,,,,,,,Not Hispanic or Latina,,,,,
,,,,,,,,,,,,
,,,,,,        White,,,,      Black or,,
,,         All races,,,,,,,,African American,,
,,,,,,,,,,,,
State,2000-2002,2003-2005,2007-2009,2008-2010,2000-2002,2003-2005,2007-2009,2008-2010,2000-2002,2003-2005,2007-2009,2008-2010
,,,,,,,,,,,,
,,,,,"Percent of live births weighing less than 2,500 grams1",,,,,,,
,,,,,,,,,,,,
United States..................,7.69,8.07,8.19,8.16,6.75,7.18,7.23,7.18,13.19,13.77,13.74,13.62
,,,,,,,,,,,,
  Alabama.....................,9.75,10.35,10.44,10.40,7.77,8.46,8.39,8.40,14.10,15.02,15.50,15.41
  Alaska......................,5.71,6.02,5.84,5.84,4.84,5.34,5.22,4.99,10.70,11.74,12.09,12.58
  Arizona.....................,6.91,7.05,7.08,7.08,6.78,7.01,6.92,6.80,13.16,12.38,12.48,11.86
  Arkansas....................,8.64,9.04,9.10,8.99,7.48,7.83,7.88,7.72,13.81,14.86,14.89,14.73
  California..................,6.29,6.71,6.83,6.80,5.86,6.30,6.36,6.28,11.66,12.46,11.92,11.95
  Colorado....................,8.60,9.04,8.90,8.81,8.24,8.81,8.56,8.47,14.59,15.20,14.39,14.00
  Connecticut.................,7.52,7.74,8.05,8.02,6.48,6.60,6.91,6.81,12.28,12.88,12.59,12.69
  Delaware....................,9.29,9.31,8.80,8.68,7.80,7.62,7.04,7.06,14.08,14.32,13.27,13.12
  District of Columbia........,11.85,11.06,10.62,10.33,6.35,6.28,6.67,6.72,14.60,13.96,13.79,13.33
  Florida.....................,8.18,8.59,8.72,8.73,6.98,7.38,7.40,7.33,12.58,13.28,13.47,13.51
,,,,,,,,,,,,
  Georgia.....................,8.79,9.27,9.51,9.57,6.92,7.44,7.53,7.67,12.98,13.81,13.88,13.72
  Hawaii......................,7.98,8.23,8.17,8.29,6.17,6.42,6.30,6.53,11.01,11.44,11.23,11.57
  Idaho.......................,6.41,6.65,6.51,6.59,6.29,6.60,6.28,6.29,*,*7.03,*7.93,*9.13
  Illinois....................,8.04,8.40,8.41,8.34,6.74,7.22,7.24,7.15,14.04,14.70,14.16,13.90
  Indiana.....................,7.54,8.10,8.40,8.24,6.95,7.54,7.73,7.57,12.89,13.46,14.01,13.76
  Iowa........................,6.39,6.92,6.74,6.78,6.19,6.72,6.48,6.48,11.77,12.22,12.06,12.01
  Kansas......................,6.96,7.28,7.18,7.19,6.66,6.97,6.78,6.70,12.37,13.42,12.83,12.82
  Kentucky....................,8.38,8.86,9.13,9.06,7.84,8.50,8.66,8.65,13.84,13.52,14.77,14.04
  Louisiana...................,10.40,11.02,10.90,10.73,7.56,8.12,8.22,8.00,14.44,15.33,15.19,15.05
  Maine.......................,6.12,6.58,6.44,6.43,6.13,6.57,6.36,6.42,*9.47,8.47,7.71,6.55
,,,,,,,,,,,,
  Maryland....................,8.88,9.17,9.15,9.05,6.79,7.19,7.12,7.08,13.00,13.13,13.00,12.72
  Massachusetts...............,7.26,7.77,7.81,7.76,6.56,7.15,7.21,7.11,11.54,11.82,10.91,10.89
  Michigan....................,7.94,8.28,8.44,8.45,6.55,7.00,7.17,7.08,14.24,14.43,13.96,14.06
  Minnesota...................,6.23,6.43,6.53,6.44,5.80,5.93,5.97,5.83,10.54,10.71,10.56,10.38
  Mississippi.................,10.82,11.62,12.11,12.05,7.97,8.67,8.91,8.74,14.48,15.60,16.29,16.41
  Missouri....................,7.74,8.12,8.03,8.15,6.79,7.18,7.04,7.15,13.27,13.90,13.64,13.67
  Montana.....................,6.65,7.02,7.21,7.31,6.60,6.81,7.07,7.28,*,*15.58,*,*
  Nebraska....................,6.88,6.97,7.06,7.09,6.52,6.76,6.51,6.58,13.07,12.16,13.12,13.30
  Nevada......................,7.44,8.11,8.12,8.13,7.19,7.78,7.87,7.88,13.40,13.98,13.83,13.72
  New Hampshire...............,6.40,6.65,6.56,6.76,6.24,6.59,6.48,6.62,10.58,10.85,8.44,9.51
,,,,,,,,,,,,
  New Jersey..................,7.89,8.19,8.41,8.33,6.59,7.11,7.36,7.25,13.20,13.48,13.19,12.93
  New Mexico..................,7.99,8.38,8.52,8.50,7.89,8.33,8.25,8.38,13.88,15.01,14.68,14.27
  New York....................,7.76,8.11,8.18,8.21,6.48,6.82,6.88,6.85,12.02,12.78,12.75,12.82
  North Carolina..............,8.90,9.07,9.12,9.07,7.49,7.73,7.64,7.64,13.83,14.33,14.43,14.23
  North Dakota................,6.28,6.49,6.49,6.62,6.13,6.37,6.31,6.22,*9.02,*9.43,*5.12,*8.55
  Ohio........................,8.07,8.51,8.64,8.58,7.08,7.53,7.48,7.43,13.45,13.83,14.19,14.06
  Oklahoma....................,7.75,7.92,8.28,8.35,7.35,7.63,7.92,7.98,13.57,13.62,14.71,14.53
  Oregon......................,5.65,6.09,6.13,6.21,5.44,6.02,5.95,5.99,10.32,11.16,10.21,10.51
  Pennsylvania................,7.93,8.20,8.36,8.33,6.78,7.06,7.14,7.15,13.79,13.67,13.55,13.43
  Rhode Island................,7.47,8.12,7.98,7.87,6.75,7.39,7.26,7.03,12.32,11.22,10.83,11.06
,,,,,,,,,,,,
  South Carolina..............,9.74,10.15,10.00,9.92,7.40,7.82,7.80,7.74,14.29,15.19,14.80,14.69
  South Dakota................,6.58,6.71,6.43,6.38,6.37,6.62,6.18,6.23,*11.51,*7.27,11.00,10.83
  Tennessee...................,9.20,9.35,9.27,9.13,7.95,8.26,8.18,8.06,14.23,14.51,14.11,13.89
  Texas.......................,7.54,8.07,8.44,8.45,6.81,7.43,7.73,7.67,12.82,13.91,14.17,14.03
