Residential Structure Fire Causes,Residential Structure Fire Causes,,Created by: Dwight Crews (VA)
Report Parameters:,,,
Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,,
State: VA,Version: All,Status: All,Released: All
Report Filters:,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)"
Report FDIDs*: All,,,
,,*Data from deactivated fire depts within the list was not included in the report.,*Data from deactivated fire depts within the list was not included in the report.
Page 1 of 2,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,Fri Mar 11 20:10:32 EST 2011
Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,,,,,,,,,,,,
,State: VA,Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,Report Period: From 01/01/2010 to 12/31/2010,,,,,,,,,,
CODE,Category,FREQ,FREQ,CIV,CIV,CIV,CIV,FF,FF,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,%,DTHS,DTHS,INJS,INJS,DTHS,DTHS,INJS,INJS,,LOSS,,LOSS,,LOSS
,,,,,%,,%,,%,,%,,%,,%,,%
01,"Incendiary, Suspicious",359,4.53 %,4,6.90 %,30,8.06 %,0,0.00 %,12,7.41 %,"10,340,660",9.32 %,"2,509,019",7.05 %,"12,849,679",8.77 %
02,Children Playing,22,0.28 %,1,1.72 %,8,2.15 %,0,0.00 %,1,0.62 %,"912,902",0.82 %,"249,250",0.70 %,"1,162,152",0.79 %
03,Smoking,171,2.16 %,3,5.17 %,26,6.99 %,0,0.00 %,15,9.26 %,"4,121,746",3.71 %,"944,821",2.65 %,"5,066,567",3.46 %
04,Heating,"1,360",17.15 %,0,0.00 %,18,4.84 %,0,0.00 %,7,4.32 %,"3,818,184",3.44 %,"1,281,149",3.60 %,"5,099,333",3.48 %
05,Cooking,"2,581",32.54 %,4,6.90 %,115,30.91 %,0,0.00 %,8,4.94 %,"3,784,138",3.41 %,"1,542,759",4.33 %,"5,326,897",3.63 %
06,Electrical Distribution,116,1.46 %,1,1.72 %,15,4.03 %,0,0.00 %,5,3.09 %,"2,962,957",2.67 %,"1,152,753",3.24 %,"4,115,710",2.81 %
07,"Appliances, AC",200,2.52 %,6,10.34 %,17,4.57 %,0,0.00 %,9,5.56 %,"4,009,226",3.61 %,"943,317",2.65 %,"4,952,543",3.38 %
08,"Open Flame, Ember,",364,4.59 %,6,10.34 %,13,3.49 %,0,0.00 %,6,3.70 %,"7,578,080",6.83 %,"2,674,226",7.51 %,"10,252,306",6.99 %
09,"Other Heat, Flame,",248,3.13 %,0,0.00 %,12,3.23 %,0,0.00 %,9,5.56 %,"4,204,897",3.79 %,"1,184,883",3.33 %,"5,389,780",3.68 %
10,Other Equipment,53,0.67 %,0,0.00 %,2,0.54 %,0,0.00 %,0,0.00 %,"465,650",0.42 %,"176,200",0.49 %,"641,850",0.44 %
11,Natural,119,1.50 %,0,0.00 %,1,0.27 %,0,0.00 %,6,3.70 %,"4,285,339",3.86 %,"1,227,746",3.45 %,"5,513,085",3.76 %
12,Exposure,111,1.40 %,1,1.72 %,9,2.42 %,0,0.00 %,3,1.85 %,"8,184,435",7.37 %,"3,440,252",9.66 %,"11,624,687",7.93 %
13,Unknown,"2,228",28.09 %,32,55.17 %,106,28.49 %,0,0.00 %,81,50.00 %,"56,315,770",50.74 %,"18,280,792",51.34 %,"74,596,562",50.89 %
,,,,,,,100.00,,,,100.00 %,,100.00,,100.00 %,,100.00 %
,Totals:,"7,932",100.00 %,58,100.00 %,372,,0,0.00 %,162,,"110,983,984",,"35,607,167",,"146,591,151",
,,,,,,,%,,,,,,%,,,,
,Page 2 of 2,,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Fri Mar 11 20:10:33 EST 2011,Fri Mar 11 20:10:33 EST 2011,Fri Mar 11 20:10:33 EST 2011
