RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
321,COSI CAFÉ AND BAR,61982,"RONALD REGAN WASHINGTON NATIONAL AIRPORT, RM. 57,   TERMINAL C",ARLINGTON,VA,20001,FAILED TO KEEP ACCURATE RECORDS; KEPT UNAUTHORIZED ABS.,2,N,ALEXANDRIA,CONSENT SETTLEMENT,11/4/2010,,11/30/10,," $ 1,000.00 ",,,,,
155,NATIONAL AIRPORT GRILL,47354,TERMINAL B RM 40B/C,WASHINGTON,DC,20001,KEPT AB NOT AUTHORIZED TO SELL ON PREMISES,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/20/2010,,08/30/10,, $ 500.00 ,,,,,
14,QUATTRO GOOMBAS WINERY,53035,22860 JAMES MONROE HWY,ALDIE,VA,20105,FAILED TO FILE TAX & ACTIVITY REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,11/17/2009,6/7/2010,7/13/2010,7, $ 500.00 ,,,,,
322,90 GRANDOS RESTAURANT SPORTS BAR & CLUB,63125,8509 RIXLEW LANE,MANASSAS,VA,20109,ADVERTISED HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/27/2010,,11/30/10,, $ 500.00 ,,,,,
116,T G I FRIDAYS,57646,7401 SUDLEY ROAD,MANASSAS,VA,20109,ADVERTISED HAPPY HOUR,1,N,ALEXANDRIA,OFFER IN COMPROMISE,5/24/2010,,08/18/10,, $ 500.00 ,,,,,
599,HARD TIMES CAFÉ & CUE,53579,7753 SUDLEY RD,MANASSAS,VA,20109,UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,10/28/2010,2/25/2011,03/30/11,25," $ 2,000.00 ",,,,,
528,THE PHILADELPHIA TAVERN,57358,9413 MAIN STREET,MANASSAS,VA,20110,CORP. OFFICER INTOXICATED WHILE ON LICENSED PREMISES,1,N,ALEXANDRIA,OFFER IN COMPROMISE,9/30/2010,,02/03/11,," $ 2,000.00 ",,,,,
653,LIANAS RESTAURANT,40059,9780 ZIMBO AVE,MANASSAS,VA,20110,ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT,1,N,ALEXANDRIA,INITIAL HEARING,10/31/2010,3/22/2011,05/04/11,7, $ 500.00 ,,,,,
80,OLD TOWN MARKET,63715,9413 BATTLE ST,MANASSAS,VA,20110,FAILED TO QUALIFY AS GROCERY STORE,1,N,ALEXANDRIA,INITIAL HEARING,4/22/2010,6/30/2010,08/03/10,,,,,,,APPLICATION - LICENSE DENIED
753,DON JULIO RESTAURANT,54886,9007 CENTREVILLE RD,MANASSAS,VA,20110,LICENSEE KEPT/ALLOWED AB NOT AUTHORIZED TO SELL;FAILED TO COMPLY WITH A CONDITION OF LICENSE: NO EMGLISH SPEAKING PERSON IN CHARGE; LICENSEE KEPT  ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL AND KEEP,3,N,ALEXANDRIA,INITIAL HEARING,3/7/2011,5/12/2011,06/15/11,10," $ 3,000.00 ",,,,,
156,CLARKES GRILL & SPORTS EMPORIUM,58662,9103 ANDREW DR,MANASSAS PARK,VA,20111,ALLOWED CONSUMPTION OF AB OTHER THAN IN DINING AREA,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/3/2010,,08/30/10,, $ 500.00 ,,,,,
226,FELICITA RESTAURANT  & NIGHT CLUB,54640,8279 SHOPPERS SQ,MANASSAS,VA,20111,CEASES TO QUALIFY AS A RESTAURANT- GROSS RECEIPTS LESS THAT 45% of MB SALES,1,N,ALEXANDRIA,INITIAL HEARING,4/20/2010,9/1/2010,10/08/10,,,,,,,APPLICATION - GRANTED
251,GREEN TOMATOE MEXICAN RESTAURANT,47195,8265 SHOPPERS SQ,MANASSAS,VA,20111,FAILED TO HAVE DESIGNATED MANAGER ON DUTY,1,N,ALEXANDRIA,INITIAL HEARING,6/7/2010,9/16/2010,10/22/10,7, $ 500.00 ,,,,,
360,LA LAGUNA RESTAURANT,46928,"7557 CENTREVILLE ROAD, SUITE 102",MANASSAS,VA,20111,FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,APPEAL HEARING,5/11/2010,9/24/2010,12/15/10,,,,,,,CONTINUED FOR 6 MOS./ REHEARING GRANTED
782,LA LAGUNA RESTAURANT,46928,"7557 CENTREVILLE ROAD, SUITE 102",MANASSAS,VA,20111,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,APPEAL HEARING,12/31/2009,9/24/2010,06/30/11,,"$1,000 ",,12,,,
44,CVS PHARMACY 1733,47856,6360 HOADLY RD,MANASSAS,VA,20112,UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/21/2010,,07/23/10,," $ 2,000.00 ",,,,,
17,LA ALMITA DELI & MARKET,42665,8406 W MAIN ST,MARSHALL,VA,20115,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,6/8/2010,,7/15/2010,," $ 2,000.00 ",,,,,
201,MD GENERAL STORE,61762,8343 WEST MAIN STREET,MARSHALL,VA,20115,UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,9/10/2010,,09/30/10,25,,,,,,
168,WDI,46901,1708 HALFWAY RD,MIDDLEBURG,VA,20117,FAILED TO REMIT TAXES COLLECTED FROM RETAILERS,1,N,STAUNTON,INITIAL HEARING,9/16/2009,7/29/2010,09/08/10,,,,,,Y,DISMISSED
70,HIDDEN HORSE TAVERN,52822,7 SW WASHINGTON ST,MIDDLEBURG,VA,20118,NOT LEGITIMATE OWNER,1,N,ALEXANDRIA,INITIAL HEARING,10/12/2009,6/30/2010,08/02/10,,,,,Y,,REVOKED
337,CARRABBAS ITALIAN GRILL 9704,57133,5805 TRINITY PARKWAY,CENTREVILLE,VA,20120,FAILED TO TIMELY SUBMIT MBAR,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2010,,12/02/10,, $ 500.00 ,,,,,
783,BLUEWATER GRILLE,44767,5127 WESTFIELDS BOULEVARD,CENTREVILLE,VA,20120,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,APPEAL HEARING,12/31/2010,3/23/2011,06/30/11,,"$3,000 ",,12,,,
412,FAST EDDIES CENTREVILLE,30809,14114 LEE HIGHWAY,CENTREVILLE,VA,20120,MEETING PLACE OR RENDEZVOUS FOR DRUNKS & HABITUAL LAW VIOLATORS ,1,Y,ALEXANDRIA,APPEAL HEARING,5/11/2008,3/5/2009,01/10/11,,,,,,,
