Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”,Name: “Table 1 of 1 on page 21 of 32”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,
,,,Fire Prevention & Control Plan,Fire Prevention & Control Plan,Fire Prevention & Control Plan,,,,
,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,,
"Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012","Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012","Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012","Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012","Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012","Figure 8. Residential Structure Fires By Fire Cause, Virginia, 2012",,,,
,Children Playing,,,,,,,,
,Other Equipment,,,,,,,,
,Exposure,,,,,,,,
,Natural,,,,,,,,
,Smoking,,,,,,,,
,"Other Heat, Flame, Spark",,,,,,,,
,Electrical Distribution,,,,,,,,
,"Appliances, Air Conditioning",,,,,,,,
Fire Cause,,,,,,,,,
,"Open Flame, Ember, Torch",,,,,,,,
,"Incendiary, Suspicious",,,,,,,,
,Heating,,,,,,,,
,Unknown Cause,,,,,,,,
,Cooking,,,,,,,,
,,0,500,"1,000","1,500","2,000","2,500","3,000","3,000"
,,,,Number of Incidents,Number of Incidents,,,,
"Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012","Table 12. Residential Structure Fires Caused By Cooking, Virginia, 2007-2012",,
,,Total,,,,,,,
,,Residential,,,,,,,
,Fires Caused,Structure,,Total Fire,Civilian,Civilian,Civilian,Fire Service,Fire Service
Year,By Cooking,Fires,Percent,Dollar Loss,Injuries,Deaths,Deaths,Injuries,Deaths
2007,"2,398","8,365",28.7%,"$5,416,940",106,,2,2,0
2008,"2,614","8,277",31.6%,"$4,961,128",126,,3,7,0
2009,"2,700","8,186",33.0%,"$5,568,333",81,,3,2,0
2010,"2,598","8,018",32.4%,"$5,329,054",115,,4,8,0
2011,"2,631","7,784",33.8%,"$6,552,542",128,,1,13,0
2012,"2,655","7,023",37.8%,"$8,016,621",112,,1,12,0
Total,"15,596","47,653",32.7%,"$35,844,618",668,14,14,44,0
,,,,Page 21 of 32,,,,,
