Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”,Name: “Table 1 of 1 on page 20 of 32”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,
,,,Fire Prevention & Control Plan,Fire Prevention & Control Plan,Fire Prevention & Control Plan,,,,
,,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,,,
Residential Structure Fire Causes,Residential Structure Fire Causes,,,,,,,,
"Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11","Cooking was the leading known fire cause with residential structure fires, and accounted for 38 percent of the incidents. (See Table 11"
and Figure 8.),Heating made up 15% of the residential structure fire causes.,Heating made up 15% of the residential structure fire causes.,Heating made up 15% of the residential structure fire causes.,Heating made up 15% of the residential structure fire causes.,Fires that were incendiary or suspicious accounted for,Fires that were incendiary or suspicious accounted for,Fires that were incendiary or suspicious accounted for,Fires that were incendiary or suspicious accounted for,Fires that were incendiary or suspicious accounted for
5% of the total fire causes.,,,,,,,,,
"Table 11. Residential Structure Fire Causes Summary, Virginia, 2012","Table 11. Residential Structure Fire Causes Summary, Virginia, 2012","Table 11. Residential Structure Fire Causes Summary, Virginia, 2012","Table 11. Residential Structure Fire Causes Summary, Virginia, 2012","Table 11. Residential Structure Fire Causes Summary, Virginia, 2012",,,,,
,,,Total Property,Total Contents,,Civilian,Civilian,Fire Service,Fire Service
Fire Cause,Total,Percent,Loss,Loss,Total Dollar Loss,Injuries,Deaths,Injuries,Deaths
"Incendiary, Suspicious",336,4.8%,"$10,233,447","$3,004,513","$13,237,960",18,7,18,0
Children Playing,14,0.2%,"$159,500","$60,000","$219,500",3,0,0,0
Smoking,157,2.2%,"$5,177,414","$1,973,754","$7,151,168",21,4,10,0
Heating,"1,055",15.0%,"$3,643,265","$1,132,113","$4,775,378",19,2,7,0
Cooking,"2,655",37.8%,"$5,654,148","$2,362,473","$8,016,621",112,1,12,0
Electrical Distribution,303,4.3%,"$5,551,221","$1,856,687","$7,407,908",15,1,36,0
"Appliances, Air Conditioning",315,4.5%,"$7,165,914","$1,960,795","$9,126,709",24,0,15,0
"Open Flame, Ember, Torch",324,4.6%,"$4,863,791","$1,595,184","$6,458,975",15,4,4,0
"Other Heat, Flame, Spark",194,2.8%,"$5,094,318","$1,823,002","$6,917,320",9,2,7,0
Other Equipment,51,0.7%,"$833,871","$290,950","$1,124,821",4,2,0,0
Natural,123,1.8%,"$5,873,400","$1,415,101","$7,288,501",3,0,5,0
Exposure,67,1.0%,"$7,095,137","$1,925,784","$9,020,921",4,1,8,0
Unknown Cause,"1,429",20.3%,"$41,423,792","$15,655,665","$57,079,457",49,13,56,0
Total,"7,023",100.0%,"$102,769,218","$35,056,021","$137,825,239",296,37,178,0
,,,,Page 20 of 32,,,,,
