Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”,Name: “Table 1 of 1 on page 17 of 32”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,
,Fire Prevention & Control Plan,Fire Prevention & Control Plan,Fire Prevention & Control Plan,,
,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,
"Table 9. Fire Service Casualty Summary, Virginia, 2012","Table 9. Fire Service Casualty Summary, Virginia, 2012","Table 9. Fire Service Casualty Summary, Virginia, 2012",,,
,Number of,,,,Fire Service
,Incidents with,,,Total Fire Service  Casualty Rate Per,Total Fire Service  Casualty Rate Per
,Fire Service,Fire Service,Fire Service,Casualties,"100,000"
Incident Series,Casualties,Injuries,Deaths,(Injuries / Deaths),Residents
Fires,190,272,2,274,3.51
Rescue and EMS,287,323,2,325,4.17
Hazardous Condition,19,31,0,31,0.40
Service,18,18,0,18,0.23
Good Intent,6,7,0,7,0.09
False Alarm,4,4,0,4,0.05
Other Calls,31,35,0,35,0.45
Total Incidents,555,690,4,694,8.90
Fire Incidents,,,,,
"Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year.","Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year.","Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year.","Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year.","Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year.","Fire departments reported in 2012 that they responded to 25,150 fire incidents during the year."
(See Table 10.),"Structure fires (35.1%) made up the largest incident category with fire incidents,","Structure fires (35.1%) made up the largest incident category with fire incidents,","Structure fires (35.1%) made up the largest incident category with fire incidents,","Structure fires (35.1%) made up the largest incident category with fire incidents,","Structure fires (35.1%) made up the largest incident category with fire incidents,"
while natural vegetation fires accounted for 26 percent. (See Figure 6.),while natural vegetation fires accounted for 26 percent. (See Figure 6.),while natural vegetation fires accounted for 26 percent. (See Figure 6.),while natural vegetation fires accounted for 26 percent. (See Figure 6.),Mobile property vehicle,Mobile property vehicle
fires accounted for 17 percent of the total fires in 2012.,fires accounted for 17 percent of the total fires in 2012.,fires accounted for 17 percent of the total fires in 2012.,,,
"Table 10. Fire Incidents By Incident Category, Virginia, 2012","Table 10. Fire Incidents By Incident Category, Virginia, 2012","Table 10. Fire Incidents By Incident Category, Virginia, 2012","Table 10. Fire Incidents By Incident Category, Virginia, 2012",,
Incident Category,,Total,Percent,,
Structure Fire,,"8,825",35.1%,,
Fire in Mobile Property (Used as a,Fire in Mobile Property (Used as a,,,,
Fixed Structure),,215,0.9%,,
Mobile Property (Vehicle) Fire,Mobile Property (Vehicle) Fire,"4,138",16.5%,,
Natural Vegetation Fire,Natural Vegetation Fire,"6,497",25.8%,,
Outside Rubish Fire,,"3,177",12.6%,,
Special Outside Fire,,"1,141",4.5%,,
"Cultivated Vegetation, Crop Fire","Cultivated Vegetation, Crop Fire",119,0.5%,,
Other,,"1,038",4.1%,,
Grand Total,,"25,150",100.0%,,
,,Page 17 of 32,,,
