Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”,Name: “Table 1 of 1 on page 25 of 32”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,
,,2013 Fire Prevention & Control Plan,2013 Fire Prevention & Control Plan,2013 Fire Prevention & Control Plan,2013 Fire Prevention & Control Plan,,,,
,Virginia Fire Services Board and the Virginia Department of Fire Programs,Virginia Fire Services Board and the Virginia Department of Fire Programs,Virginia Fire Services Board and the Virginia Department of Fire Programs,Virginia Fire Services Board and the Virginia Department of Fire Programs,Virginia Fire Services Board and the Virginia Department of Fire Programs,Virginia Fire Services Board and the Virginia Department of Fire Programs,,,
Intentional / Incendiary Fire Incidents,Intentional / Incendiary Fire Incidents,,,,,,,,
"There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29","There were 1,318 intentional or incendiary fires in Virginia in 2012 that accounted for $10.6 million dollars of total dollar loss, 29"
"civilian casualties, and 14 fire service casualties. (See Table 16.)","civilian casualties, and 14 fire service casualties. (See Table 16.)","civilian casualties, and 14 fire service casualties. (See Table 16.)","civilian casualties, and 14 fire service casualties. (See Table 16.)",,,,,,
"Table 16. Intentional / Incendiary Fire Incidents By Property Use, Virginia, 2012","Table 16. Intentional / Incendiary Fire Incidents By Property Use, Virginia, 2012","Table 16. Intentional / Incendiary Fire Incidents By Property Use, Virginia, 2012","Table 16. Intentional / Incendiary Fire Incidents By Property Use, Virginia, 2012","Table 16. Intentional / Incendiary Fire Incidents By Property Use, Virginia, 2012",,,,,
,Number of,,,,,,,,
,Intentional /,,,,,,,,
,Incendiary Fire,,Total Property,Total Contents,Total Dollar,Civilian,Civilian,Fire Service,Fire Service
Property Series,Incidents,Percent,Loss,Loss,Loss,Injuries,Deaths,Injuries,Deaths
Assembly,42,3.2%,"$54,492","$16,311","$70,803",1,0,0,0
Educational,35,2.7%,"$103,459","$52,805","$156,264",0,0,0,0
"Health Care, Detention, and Correction",4,0.3%,"$45,005","$15,025","$60,030",1,0,0,0
Residential,433,32.9%,"$6,480,406","$1,919,498","$8,399,904",13,6,9,0
"Mercantile, Bus",35,2.7%,"$120,720","$345,782","$466,502",0,0,0,0
"Industrial, Utility, Defense, Agriculture,",,,,,,,,,
Mining,42,3.2%,"$1,000",$0,"$1,000",0,0,0,0
"Manufacturing, Processing",2,0.2%,"$8,050",$50,"$8,100",0,0,0,0
Storage,41,3.1%,"$440,700","$366,500","$807,200",0,0,2,0
Outside or Special Property,650,49.3%,"$600,164","$26,970","$627,134",8,0,3,0
Other,14,1.1%,"$1,035",$10,"$1,045",0,0,0,0
