Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”,Name: “Table 1 of 1 on page 10 of 32”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,
,,Fire Prevention & Control Plan,,
Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,Virginia Fire Services Board & Virginia Department of Fire Programs,
"Table 3. Top 10 Incident Types By Incident Series, Virginia, 2012","Table 3. Top 10 Incident Types By Incident Series, Virginia, 2012","Table 3. Top 10 Incident Types By Incident Series, Virginia, 2012",,
,Incident,,,
Incident Series,Type,Description,Total,Percent *
Fires,111,Building fires,"4,567",18.2%
,142,"Brush, or brush and grass mixture fire","3,650",14.5%
,131,Passenger vehicle fire,"3,053",12.1%
,113,"Cooking fire, confined to container","2,504",10.0%
,151,"Outside rubbish, trash or waste fire","1,317",5.2%
,140,"Natural vegetation fire, other","1,106",4.4%
,100,"Fire, other","1,038",4.1%
,154,Dumpster or other outside trash receptacle fire,951,3.8%
,143,Grass fire,936,3.7%
,150,"Outside rubbish fire, other",826,3.3%
"Overpressure Rupture,",251,"Excessive heat, scorch burns with no ignition",978,71.3%
"Explosion, Overheat (No",200,"Overpressure rupture, explosion, overheat other",85,6.2%
Ensuing Fire),221,Overpressure rupture of air or gas pipe/pipeline,66,4.8%
,240,"Explosion (no fire), other",64,4.7%
,243,Fireworks explosion (no fire),47,3.4%
,220,"Overpressure rupture from air or gas, other",29,2.1%
,210,"Overpressure rupture from steam, other",27,2.0%
,211,Overpressure rupture of steam pipe or pipeline,19,1.4%
,231,Chemical reaction rupture of process vessel,16,1.2%
,223,Air or gas rupture of pressure or process vessel,13,0.9%
Rescue and Emergency,321,"EMS call, excluding vehicle accident with injury","380,699",74.3%
Medical Service (EMS),311,"Medical assist, assist EMS crew","43,310",8.5%
Incidents,322,Vehicle accident with injuries,"30,920",6.0%
,300,"Rescue, emergency medical call (EMS) call, other","25,549",5.0%
,324,Motor vehicle accident with no injuries,"17,605",3.4%
,320,"Emergency medical service, other","6,393",1.2%
,323,Motor vehicle/pedestrian accident (MV Ped),"2,058",0.4%
,353,Removal of victim(s) from stalled elevator,"1,729",0.3%
,381,Rescue or EMS standby,"1,414",0.3%
,352,Extrication of victim(s) from vehicle,777,0.2%
Hazardous Condition (No,463,"Vehicle accident, general cleanup","6,801",21.9%
Fire),444,Power line down,"5,630",18.1%
,412,Gas leak (natural gas or LPG),"4,153",13.4%
,445,"Arcing, shorted electrical equipment","2,619",8.4%
,440,"Electrical  wiring/equipment problem, other","2,269",7.3%
,400,"Hazardous condition, other","1,671",5.4%
,411,Gasoline or other flammable liquid spill,"1,422",4.6%
,424,Carbon monoxide incident,"1,062",3.4%
,460,"Accident, potential accident, other",874,2.8%
,441,"Heat from short circuit (wiring), defective/worn",767,2.5%
Service Call,553,Public service,"14,354",31.0%
,554,Assist invalid,"6,389",13.8%
,550,"Public service assistance, other","4,855",10.5%
,500,"Service Call, other","4,680",10.1%
,531,Smoke or odor removal,"2,546",5.5%
,511,Lock-out,"2,486",5.4%
,561,Unauthorized burning,"1,948",4.2%
,551,Assist police or other governmental agency,"1,880",4.1%
,510,"Person in distress, other","1,679",3.6%
,552,Police matter,"1,500",3.2%
,,Page 10 of 32,,
