Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,
Summary By Incident Type,Summary By Incident Type,Summary By Incident Type,,,,,,,,
Report Period:,1/1/03 - 12/31/03,,,,,,,,,
Calls By Incident Type,Calls By Incident Type,,Percent Of,Mutual Aid,Mutual Aid,Mutual Aid,Other Aid,Invalid Aid,,Total
,,Frequency,Total Calls,None,Given,Received,Given,Flag,Exposures,Incidents
FIRES,,,,,,,,,,
,"Building Fires (110-118, 120-123). . . . . . . . . . . . . . . . .",9017,1.86%,7216,2813,1799,2,0,226,12056
,Vehicle Fires (130-138). . . . . . . . . . . . . . . . . . . . . . . . .,5274,1.09%,4984,392,288,1,1,131,5797
,"Others Fires (100, 140-173). . . . . . . . . . . . . . . . . . . . .",8383,1.73%,7857,747,524,2,0,87,9217
Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Fires. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,22674,4.69%,20057,3952,2611,5,1,444,27070
"Overpressure Ruptures, Explosion, Overheat (200-251). . . . .","Overpressure Ruptures, Explosion, Overheat (200-251). . . . .",2644,0.55%,2510,108,133,1,0,9,2761
RESCUE CALLS,,,,,,,,,,
,Emergency Medical Treatment (300-323). . . . . . . .,292909,60.54%,288353,7023,4491,64,0,18,299950
,All Others (331-381). . . . . . . . . . . . . . . . . . . . . . . . .,4228,0.87%,3992,318,225,11,0,0,4546
Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Total Rescue Calls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,297137,61.42%,292345,7341,4716,75,0,18,304496
Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,Hazardous Condition Calls (400-482). . . . . . . . . . . . . . . . . . . .,35295,7.30%,33829,1363,1456,10,0,9,36667
