Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,,
Report Parameters:,Report Parameters:,,,,
Report Period:,1/1/07 - 12/31/07,Version: Both,Status: All,Released: All,
Report Filters:,No Filters Applied,,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)",
State:,VA,,,,
Report FDIDs:,All,,,,
Page 1 of 2,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,5/19/08 1:55:27 PM
Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,Residential Structure Fire Causes,,,,,,,,,,
State:,VA,Report Period:,1/1/07 - 12/31/07,1/1/07 - 12/31/07,1/1/07 - 12/31/07,,,,,,,,,,,,,
CODE,,CATEGORY,FREQ,FREQ %,CIV,CIV,CIV,CIV,FF,FF DTH,FF,FF,PROP LOSS,PROP,CONT LOSS,CONT,TOTAL LOSS,TOT
,,,,,DTHS,DTHS %,INJS,INJS %,DTHS,%,INJS,INJS %,,LOSS %,,LOSS %,,LOSS %
01,"Incendiary, Suspicious","Incendiary, Suspicious",370,4.47%,14,20.90%,17,4.78%,0,0.00%,14,11.38%,"13,066,647",8.69%,"2,690,841",5.59%,"15,757,488",7.93%
02,Children Playing,Children Playing,36,0.44%,0,0.00%,4,1.12%,0,0.00%,2,1.63%,"546,746",0.36%,"51,200",0.11%,"597,946",0.30%
03,,Smoking,169,2.05%,6,8.96%,21,5.90%,0,0.00%,4,3.25%,"6,740,983",4.48%,"2,996,731",6.23%,"9,737,714",4.90%
04,,Heating,"1,370",16.58%,1,1.49%,16,4.49%,0,0.00%,7,5.69%,"5,121,100",3.40%,"1,566,066",3.26%,"6,687,166",3.36%
05,,Cooking,"2,371",28.69%,2,2.99%,106,29.78%,0,0.00%,2,1.63%,"5,073,944",3.37%,"1,213,781",2.52%,"6,287,725",3.16%
06,Electrical Distribution,Electrical Distribution,136,1.65%,0,0.00%,7,1.97%,0,0.00%,0,0.00%,"3,934,626",2.62%,"873,189",1.82%,"4,807,815",2.42%
,"Appliances, Air Conditioning","Appliances, Air Conditioning",,,,,,,,,,,,,,,,
07,,,265,3.21%,1,1.49%,17,4.78%,0,0.00%,4,3.25%,"3,818,570",2.54%,"681,142",1.42%,"4,499,712",2.26%
,"Open Flame, Ember, Torch","Open Flame, Ember, Torch",,,,,,,,,,,,,,,,
08,,,391,4.73%,1,1.49%,29,8.15%,0,0.00%,11,8.94%,"8,802,827",5.85%,"2,255,870",4.69%,"11,058,697",5.56%
,"Other Heat, Flame, Spark","Other Heat, Flame, Spark",,,,,,,,,,,,,,,,
09,,,269,3.26%,5,7.46%,17,4.78%,0,0.00%,4,3.25%,"5,936,191",3.95%,"1,421,805",2.96%,"7,357,996",3.70%
10,Other Equipment,Other Equipment,54,0.65%,0,0.00%,4,1.12%,0,0.00%,0,0.00%,"741,351",0.49%,"279,000",0.58%,"1,020,351",0.51%
11,,Natural,165,2.00%,0,0.00%,5,1.40%,0,0.00%,2,1.63%,"9,024,976",6.00%,"1,695,706",3.53%,"10,720,682",5.39%
12,,Exposure,318,0.87%,0,0.00%,5,1.40%,0,0.00%,4,3.25%,"8,444,980",5.61%,"2,094,981",4.36%,"10,539,961",5.30%
13,Unknown Cause,Unknown Cause,"2,605",31.43%,37,55.22%,108,30.34%,1,100.00%,69,56.10%,"79,416,448",52.63%,"30,312,441",62.95%,"109,728,889",55.20%
Totals,,,"8,519",100.00%,67,100.00%,356,100.00%,1,100.00%,123,100.00%,"150,669,389 100.00%","150,669,389 100.00%","48,132,753",100.00%,"198,802,142",100.00%
,Page 2 of 2,Page 2 of 2,,,,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,,,,,5/19/08 2:02:10 PM,5/19/08 2:02:10 PM,
