Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”,Name: “Table 1 of 1 on page 17 of 27”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,
,,,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,VIRGINIA CRIME TRENDS,2001–2010,
"Virginia Drug Arrest Rate, 2001–2010","Virginia Drug Arrest Rate, 2001–2010","Virginia Drug Arrest Rate, 2001–2010","Virginia Drug Arrest Rate, 2001–2010","Virginia Drug Arrest Rate, 2001–2010",,,,,,
Source: DCJS,,,,,,,,,,
,,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,Virginia Drug Arrest Rate By Year,,
560.0,,,,,,,,,,
480.0,,,,,,,,,,
400.0,,,,,,,,,,
320.0,,,,,,,,,,
240.0,,,,,,,,,,
160.0,,,,,,,,,,
80.0,,,,,,,,,,
0.0,,,,,,,,,,
2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
,,,,,% Change,% Change,% Change,,,
,,,2001 – 2010,2001 – 2010,2001 – 2010,2009 – 2010,2009 – 2010,2009 – 2010,,
Drug Arrest Rate,Drug Arrest Rate,Drug Arrest Rate,,+10.1,+10.1,,+2.7,+2.7,,
