Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”,Name: “Table 1 of 1 on page 9 of 33”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,
,,,Table 4.18-1,Table 4.18-1,,
,,,SUMMARY OF SOCIAL EFFECTS,SUMMARY OF SOCIAL EFFECTS,,
,,CBA 1,,CBA 2,,CBA3
,Impact to,,Impact to,,Change in,
,Community,Basis for Impact,Community,Basis for Impact,Community,Basis for Impact
Community,Cohesion,,Cohesion,,Cohesion,
Disputanta,Low,No negative impacts;,Low,No negative impacts;,Low,No negative impacts;
,,minimal change in land,,minimal change in land,,minimal change in land
,,use dynamics,,use dynamics,,use dynamics
Waverly,Moderate,"Displacements (12),",Low-,Potential development,Low-,Potential development
,,increased traffic on,Moderate,use at interchange,Moderate,use at interchanges
,,"Route 40, potential",,,,
,,development at,,,,
,,interchange,,,,
Wakefield,Low-,Potential development at,Low-,Increased traffic on,Low-,Increased traffic on
,Moderate,interchanges,Moderate,"Route 31, possible",Moderate,"Route 31, potential"
,,,,effects to rate/timing of,,development at
,,,,planned land use near,,interchange
,,,,interchange,,
Ivor,Low-,Possible effects to,Low-,Potential development at,Low-,Potential development at
,Moderate,rate/timing of planned,Moderate,interchange,Moderate,interchanges
,,land use near,,,,
,,interchange,,,,
Zuni,Low,No negative impacts;,Low-,"Displacements (4),",Low,No negative impacts;
,,minimal change in land,Moderate,proximity impacts,,minimal change in land
,,use dynamics,,,,use dynamics
Windsor,Low-,"Displacements (2),",Low-,"Displacements (8),",Low-,Increased traffic on
,Moderate,increased traffic on,Moderate,increased traffic on,Moderate,"Route 258, Potential"
,,Route 258; possible,,Route 258,,development at
,,effects to rate/timing of,,,,interchange
,,development near,,,,
,,interchange,,,,
Kings Fork,Low,Displacements (2-3),Low,Displacements (2-3),Low,Displacements (2-3)
Source:,Parsons Brinkerhoff and Michael Baker Jr. 2005,Parsons Brinkerhoff and Michael Baker Jr. 2005,,,,
Route 460 Location Study,Route 460 Location Study,,4-108,,,Draft Environmental Impact Statement
,,,,,,May 2005
