Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,,,,,,
communities,to,create,more,attractive,and,sustainable,sustainable,downtown,downtown,business,business,districts,districts,than,would,be
possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,possible if truck traffic remained on the existing route.,,,,,,,,,,
,,,,,,Table 4.19-5,Table 4.19-5,,,,,,,,,
,,,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,ESTIMATED ECONOMIC EFFECTS OF THE CBAS,,,,,
,,,Direct Loss,Direct Loss,,,,,,,,,,,,
,,,,,,,,,,,,Existing and Planned,Existing and Planned,Existing and Planned,Existing and Planned,
Locality,Employment,Employment,of Property,of Property,Location and Degree of Potential,Location and Degree of Potential,Location and Degree of Potential,Location and Degree of Potential,Location and Degree of Potential,Location and Degree of Potential,Location and Degree of Potential,,,,,
,,,,,,,,,,,,Industrial Areas Benefiting,Industrial Areas Benefiting,Industrial Areas Benefiting,Industrial Areas Benefiting,Industrial Areas Benefiting
Direct,,1Lost,,Tax,,Commercial Development,Commercial Development,Commercial Development,Commercial Development,Commercial Development,,,,,,
,,,,1,,,,,,,,from Improved Accessibility,from Improved Accessibility,from Improved Accessibility,from Improved Accessibility,from Improved Accessibility
,,,Revenues,Revenues,,,,,,,,,,,,
,,,,,,CBA 1,,,,,,,,,,
,,,,,No commercial development,No commercial development,No commercial development,No commercial development,No commercial development,,,,,,,
,,,,,,,,,,,,Southpoint,Southpoint,Southpoint,Industrial,Park
