Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”,Name: “Table 1 of 1 on page 35 of 82”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,
Report Period:,Report Period:,2009,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
08512,BLACK CREEK FIRE DEPT.,BLACK CREEK FIRE DEPT.,,,,,,,,,,,
Count,20,20,41,21,22,23,22,13,15,12,21,8,238
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,11,5,10,13,9,10,9,8,11,8,7,10,111
08700,HENRICO DIVISION OF FIRE,HENRICO DIVISION OF FIRE,HENRICO DIVISION OF FIRE,,,,,,,,,,
Count,"3,183","2,795","3,290","3,099","3,113","3,008","3,071","3,083","2,853","3,182","2,948","3,297","36,922"
Exposures,2,4,5,3,5,0,9,3,0,0,0,1,32
Aid Given,13,11,8,6,9,15,10,10,12,10,11,9,124
08900,Henry County Public Safety,Henry County Public Safety,,,,,,,,,,,
Count,0,0,0,0,0,0,1,0,0,0,0,0,1
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,3,2,4,4,4,1,2,2,4,3,4,0,33
08901,AXTON VOL. FIRE DEPT.,AXTON VOL. FIRE DEPT.,,,,,,,,,,,
Count,23,10,17,5,12,10,6,13,8,7,6,8,125
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,4,0,0,1,1,0,0,0,2,0,1,9
08902,BASSETT VOLUNTEER FIRE,BASSETT VOLUNTEER FIRE,BASSETT VOLUNTEER FIRE,,,,,,,,,,
Count,37,24,24,17,17,25,18,22,15,26,10,20,255
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,4,0,1,0,1,2,2,0,0,3,2,4,19
08903,COLLINSVILLE VOL. FIRE DEPT.,COLLINSVILLE VOL. FIRE DEPT.,COLLINSVILLE VOL. FIRE DEPT.,,,,,,,,,,
Count,31,25,21,17,26,22,24,16,20,17,28,26,273
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,3,3,0,3,7,0,3,3,2,4,3,3,34
Page 35 of 82,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,,3/5/10 7:50:30 AM
