Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”,Name: “Table 1 of 1 on page 5 of 11”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Highway-Related,Highway-Related,
Alternative,Alternative,Alternative,Alternative,,Impaired Waters Crossed,Impaired Waters Crossed,Impaired Waters Crossed,Impaired Waters Crossed,Impaired Waters Crossed,,Sources(s) of Impairment,Sources(s) of Impairment,Sources(s) of Impairment,Sources(s) of Impairment,Sources(s) of Impairment,Pollutant(s) Which Could,Pollutant(s) Which Could,Pollutant(s) Which Could,Pollutant(s) Which Could
,,,,,,,,,,,,,,,,Contribute to Impairment,Contribute to Impairment,Contribute to Impairment,Contribute to Impairment
,,,,Eley Swamp,Eley Swamp,Eley Swamp,,,,,pH (natural conditions),pH (natural conditions),pH (natural conditions),pH (natural conditions),,none,,,
,,,,,,,,,,,,,,,,total phosphorus & total,total phosphorus & total,total phosphorus & total,
,,,,Blackwater River between Route 620,Blackwater River between Route 620,Blackwater River between Route 620,Blackwater River between Route 620,Blackwater River between Route 620,Blackwater River between Route 620,Blackwater River between Route 620,"dissolved oxygen, fecal","dissolved oxygen, fecal","dissolved oxygen, fecal","dissolved oxygen, fecal",,,,,
,,,,,,,,,,,,,,,,nitrogen loading effects,nitrogen loading effects,nitrogen loading effects,
,,,,& Antioch Swamp,& Antioch Swamp,& Antioch Swamp,& Antioch Swamp,,,,coliform,,,,,,,,
