Name: “Table 1 of 1 on page 1 of 11”,Name: “Table 1 of 1 on page 1 of 11”,Name: “Table 1 of 1 on page 1 of 11”,Name: “Table 1 of 1 on page 1 of 11”,Name: “Table 1 of 1 on page 1 of 11”,Name: “Table 1 of 1 on page 1 of 11”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,
Tally,,,,,
Report Parameters:,Report Parameters:,,,,
Report Period:,1/1/09 - 12/31/09,Version: Both,Status: All,Released: All,
Report Filters:,No Filters Applied,,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group 2 AND Group 3 etc...)",
State:,VA,,,,
Report FDIDs:,All,,,,
Page 1 of 11,,,NFIRS 5.0 National Reporting,NFIRS 5.0 National Reporting,3/5/10 8:42:59 AM
