																														
Percent of Students Passing SOL Tests Spring 1998 - 2002, by Ethnicity																														
																														
																														
Grade 3  	English					Mathematics					History					Science														
	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002										
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%										
State Summary 	55	61	61	65	72	63	68	71	77	80	49	62	65	72	76	63	68	73	74	78										
Am Indian/Alaskan Native	63	70	57	70	78	70	77	74	79	82	61	77	69	77	82	72	78	78	80	86										
Asian/Pacific Islander	72	80	74	74	82	85	87	84	89	90	65	81	77	82	86	79	83	81	81	85										
African American	33	42	42	46	55	40	45	49	59	65	25	39	43	54	60	37	43	51	53	60										
Hispanic	50	59	49	53	59	61	67	61	70	73	42	59	51	60	67	57	65	58	61	65										
Caucasian	64	69	69	73	79	73	77	81	85	87	59	72	75	80	84	74	79	82	84	87										
Ethnicity Unknown	45	64	61	67	77	56	69	73	77	83	41	64	67	76	79	57	72	74	79	81										
																														
																														
																														
Grade 5	English: Reading					English:Writing					Mathematics					History					Science					Comp/ Tech				
	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%
State Summary	68	69	68	73	78	65	81	81	84	84	47	51	63	67	71	33	46	51	63	72	59	67	64	75	76	72	81	85	82	86
Am Indian/Alaskan Native	68	71	64	73	75	63	76	80	87	79	49	55	56	66	69	32	49	56	64	72	61	72	63	76	82	74	84	83	86	85
Asian/Pacific Islander	81	83	76	82	87	82	94	90	92	91	69	74	81	84	87	42	59	64	75	82	75	80	74	85	85	87	93	92	92	94
African American	47	48	47	55	62	45	67	67	74	72	24	27	40	46	53	13	24	27	43	54	33	41	37	54	54	50	62	70	66	74
Hispanic	64	64	57	63	68	62	80	73	78	76	41	47	54	58	61	23	36	37	48	60	55	61	51	63	64	70	79	81	75	79
Caucasian	76	78	77	80	85	72	86	86	89	89	54	59	72	75	79	40	54	62	72	80	69	77	76	83	86	80	88	91	89	91
Ethnicity Unknown	58	70	71	75	79	50	77	74	83	84	36	47	64	68	72	23	46	55	64	79	50	69	65	77	78	62	81	87	86	87
																														
																														
																														
Grade 8	English: Reading					English:Writing					Mathematics					History					Science					Comp/ Tech				
	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%
State Summary 	65	67	70	73	69	67	70	76	75	76	53	60	61	68	71	35	40	50	56	78	71	78	82	84	85	63	72	78	79	76
Am Indian/Alaskan Native	61	65	66	71	61	63	60	69	69	68	49	56	57	64	62	33	36	38	53	73	74	79	76	83	82	59	74	73	75	70
Asian/Pacific Islander	80	79	81	82	79	83	85	89	86	88	77	81	82	86	88	53	57	66	71	88	86	90	91	92	94	82	87	90	89	89
African American	45	45	49	53	51	48	52	62	59	61	27	36	36	46	51	14	19	26	34	63	47	56	62	68	70	39	50	58	61	57
Hispanic	58	61	60	64	55	62	64	69	67	66	47	57	53	59	60	27	31	37	42	68	64	75	74	77	76	55	65	67	72	66
Caucasian	72	74	78	81	77	74	76	82	82	82	61	68	70	76	78	43	47	60	65	85	80	86	89	90	91	72	80	85	86	84
Ethnicity Unknown	51	72	67	67	58	58	70	70	72	68	45	60	57	69	55	26	46	53	51	75	60	82	78	80	81	51	74	76	75	67
																														
																														
Percent of Students Passing SOL End-of-Course Tests 1998 - 2002, by Ethnicity																														
																														
																														
End of Course	English: Reading					Eng:Writing					Alg I					Geometry					Alg II									
	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002					
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%					
State Summary	72	75	78	82	86	71	81	85	84	86	40	56	65	74	78	52	62	67	73	76	31	51	58	74	77					
Am Indian/Alaskan Native	67	78	75	83	88	63	80	81	84	85	33	49	55	63	71	51	61	66	69	72	28	46	54	68	72					
Asian/Pacific Islander	78	83	82	85	88	79	90	90	87	89	61	75	82	90	91	67	76	79	83	87	50	68	71	82	84					
African American	55	59	62	70	76	54	68	74	72	75	20	36	44	59	64	25	34	40	51	53	13	29	36	58	62					
Hispanic	64	69	69	74	79	63	76	77	77	80	33	49	60	68	72	47	58	60	63	71	26	46	53	68	69					
Caucasian	77	80	84	87	90	76	85	89	89	89	46	62	72	80	83	59	70	74	80	83	34	56	62	77	80					
Ethnicity Unknown	67	75	75	73	85	65	79	80	82	84	30	47	60	50	68	49	58	66	51	70	33	51	55	52	73					
																														
																														
																														
																														
End of Course	U. S. History					World History I					World History II					Earth Science					Biology					Chemistry				
	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002	1998	1999	2000	2001	2002
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%
State Summary	30	32	39	47	72	62	68	75	83	86	41	47	60	65	79	58	65	70	73	70	72	81	79	81	83	54	64	64	74	78
Am Indian/Alaskan Native	28	31	42	48	76	64	69	76	81	83	43	49	60	66	72	58	67	68	69	73	70	86	80	84	82	47	59	56	75	77
Asian/Pacific Islander	39	41	46	54	76	77	81	86	92	93	62	69	71	75	87	68	76	75	78	74	79	88	83	86	86	62	69	66	78	82
African American	12	13	16	25	53	38	46	55	67	73	17	21	34	42	61	31	40	48	52	49	50	64	62	66	68	31	41	40	55	59
Hispanic	19	23	25	35	60	52	60	67	76	77	33	44	50	53	68	51	63	59	62	56	61	72	66	69	69	41	47	46	59	64
Caucasian	36	39	47	55	79	68	75	81	88	90	49	55	68	72	85	69	76	80	83	80	81	87	87	88	90	60	71	71	79	84
Ethnicity Unknown	33	31	37	45	71	52	63	78	83	82	39	52	61	64	65	54	67	67	53	57	68	83	79	63	76	47	64	65	57	76
																														
End of Course	World Geography																													
	1998	1999	2000	2001	2002																									
	%	%	%	%	%																									
State Summary	N/A	N/A	76	77	74																									
Am Indian/Alaskan Native	N/A	N/A	76	76	72																									
Asian/Pacific Islander	N/A	N/A	89	91	87																									
African American	N/A	N/A	59	65	57																									
Hispanic	N/A	N/A	74	81	77																									
Caucasian	N/A	N/A	82	84	82																									
Ethnicity Unknown	N/A	N/A	75	60	64																									
																														
Spring pass rates do not include summer or fall results																														
