Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”,Name: “Table 1 of 1 on page 22 of 31”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,
Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton,Table 4. Average density and standard deviation [individuals per 1 m2 ± SD (total count)] of nekton
captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.,captured at GEWA in 2010. n = number of nekton stations sampled. ‘-‘ indicates species was not present.
,,,,,Average Density,
,,,,[individuals per 1 m2 ± SD (total count)],[individuals per 1 m2 ± SD (total count)],[individuals per 1 m2 ± SD (total count)]
,,,Visit 1,,Visit 2,Visits 1 & 2
Community/Species,Community/Species,Common Name,(n =12),,(n = 12),(n = 12)
Fish,,,34.0 ± 87.7 (408),34.0 ± 87.7 (408),18.2 ± 23.7 (218),26.1 ± 63.4 (626)
Fundulus heteroclitus,Fundulus heteroclitus,Common mummichog,28.2 ± 88.2 (338),28.2 ± 88.2 (338),18.0 ± 23.7 (216),23.1 ± 63.4 (554)
Fundulus lucia,Fundulus lucia,Spotfin Killifish,5.8 ± 15.9 (70),5.8 ± 15.9 (70),-,2.9 ± 11.4 (70)
