RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,,,,,,,,,
283,MAYHUGHS 4,42687,14630 LEE HIGHWAY,AMISSVILLE,VA,20106,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/5/2012,N,11/8/2012,,,11/27/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
87,TOMMYS PLACE,75050,8910 MATHIS AVE,MANASSAS,VA,20110,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,5/11/2012,N,5/23/2012,6/19/2012,7/12/2012,8/14/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
486,5 TWELVE C STORE,63696,"7223 CENTREVILLE ROAD, SUITE 101",MANASSAS,VA,20111,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/18/2012,N,12/17/2012,,,2/22/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
20,HWANG BOO JA,47359,"13830 LEE HWY, BAY 11",CENTREVILLE,VA,20120,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2012,N,4/4/2012,5/16/2012,6/8/2012,7/11/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
628,HAMJI BAHK,53665,"13860 BRADDOCK ROAD, SUITE B",CENTREVILLE,VA,20121,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/23/2013,N,4/23/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
631,THE CLUBHOUSE LOUNGE,47129,5801 CLIFTON ROAD,CLIFTON,VA,20124,"UAB, LICENSEE FAILED TO HAVE A DESIGNATED MANAGER PRESENT AND IN CHARGE OF LICENSED BUSINESS",2,N,ALEXANDRIA,CONSENT SETTLEMENT,4/7/2013,N,5/1/2013,,,5/21/2013,25,,,,,,,,,,,,,,,,
190,IN & OUT MARKET III,51797,"21735 SHELLHORN RD, UNIT 100",ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
196,7 ELEVEN STORE 33482-B,78715,43974 PIPELINE PLAZA,ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
428,HARRIS TEETER 310,69607,"42780 CREEK VIEW PLAZA, SUITE 150",ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/21/2012,N,12/17/2012,,,1/14/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
466,UPPYS 77,65668,21880 RYAN CENTER WAY,ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/21/2012,N,12/17/2012,,,2/8/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
639,IN & OUT MARKET III,51797,"21735 SHELLHORN RD., UNIT 100",ASHBURN,VA,20147,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,11/21/2012,Y,12/17/2012,2/21/2013,4/4/2013,5/24/2013,," $ 5,000.00 ",2,,,,,,,,,,,,,,
263,ASIAN SPICE CAFÉ,52097,"42395 RYAN RD, STE 126",BRAMBLETON,VA,20148,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,6/19/2012,N,6/27/2012,9/17/2012,10/2/2012,11/6/2012,30," $ 3,000.00 ",10,,,,,,,,,,,,,,
240,CVS PHARMACY #1419,62884,3919 CENTREVILLE ROAD,CHANTILLY,VA,20151,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,10/4/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
206,7 ELEVEN STORE 2581 32176-B,57314,43251 JOHN MOSBY HWY.,CHANTILLY,VA,20152,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/10/2012,,,10/18/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
657,JIMBOS NY DELI,51047,43112 JOHN MOSBY HWY,CHANTILLY,VA,20152,UAB,1,N,ALEXANDRIA,INITIAL HEARING,9/5/2012,Y,10/11/2012,1/22/2013,2/28/2013,6/5/2013,25," $ 2,000.00 ",,,,,,,,,,,,,,,
221,OSAKA JAPANESE STEAK & SEAFOOD RESTAURANT,48525,7447 LINTON HALL ROAD,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,9/25/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
225,BONEFISH GRILL,31128,7611 SOMERSET CROSSING DRIVE,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,9/26/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
600,7 ELEVEN STORE 2554-33955 B,60877,7489 LIMESTONE DRIVE,GAINSVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/8/2013,N,3/21/2013,,,5/3/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
198,EL PASO PUPUSERIA AND MEXICAN GRILL,45116,309SOUTH STERLING BOULEVARD,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/29/2012,N,9/5/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
