Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”,Name: “Table 1 of 1 on page 7 of 41”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,
"70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28","70 percent or higher. During 2002, pass rates were 70 percent or higher on all but one of the 28",
Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,Standards of Learning tests (a high school world geography test was added in 2000).,The following
"tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-","tables show the Standards of Learning pass rates on each test and show the trends over time, 1998-",
2002.,,,,,,,
,,English: Pass Rates,English: Pass Rates,English: Pass Rates,English: Pass Rates,,
SOL Test,1998,1999,2000,2001,2002,Change: 1998-2002,
Grade 3,55%,61%,61%,65%,72%,+17,
Grade 5,68%,69%,68%,73%,78%,+10,
Grade 5 Writing,65%,81%,81%,84%,84%,+19,
Grade 8,65%,67%,70%,73%,69%,+4,
Grade 8 Writing,67%,70%,76%,75%,76%,+9,
English EOC,72%,75%,78%,82%,86%,+14,
Writing EOC,71%,81%,85%,84%,86%,+15,
,,Mathematics: Pass Rates,Mathematics: Pass Rates,Mathematics: Pass Rates,Mathematics: Pass Rates,,
SOL Test,1998,1999,2000,2001,2002,Change: 1998-2002,
Grade 3,63%,68%,71%,77%,80%,+17,
Grade 5,47%,51%,63%,67%,71%,+24,
Grade 8,53%,60%,61%,68%,71%,+18,
Algebra I,40%,56%,65%,74%,78%,+38,
Algebra II,31%,51%,58%,74%,77%,+46,
Geometry,52%,62%,67%,73%,76%,+24,
,,Science: Pass Rates,Science: Pass Rates,Science: Pass Rates,Science: Pass Rates,,
SOL Test,1998,1999,2000,2001,2002,Change: 1998-2002,
Grade 3,63%,68%,73%,74%,78%,+15,
Grade 5,59%,67%,64%,75%,76%,+17,
Grade 8,71%,78%,82%,84%,85%,+14,
Earth Science,58%,65%,70%,73%,70%,+12,
Biology,72%,81%,79%,81%,83%,+11,
Chemistry,54%,64%,64%,74%,78%,+24,
,,History & Social Science: Pass Rates,History & Social Science: Pass Rates,History & Social Science: Pass Rates,History & Social Science: Pass Rates,History & Social Science: Pass Rates,
SOL Test,1998,1999,2000,2001,2002,Change: 1998-2002,
Grade 3,49%,62%,65%,72%,76%,+27,
Grade 5,33%,46%,51%,63%,72%,+39,
Grade 8,35%,40%,50%,56%,78%,+43,
World History I,62%,68%,75%,83%,86%,+24,
World History II,41%,47%,60%,65%,79%,+38,
World Geography,n/a,n/a,76%,77%,74%,n/a,
U.S. History,30%,32%,39%,47%,72%,+42,
,,Computer/ Technology: Pass Rates,Computer/ Technology: Pass Rates,Computer/ Technology: Pass Rates,Computer/ Technology: Pass Rates,Computer/ Technology: Pass Rates,
SOL Test,1998,1999,2000,2001,2002,Change: 1998-2002,
Grade 5,72,81,85,82,86,+14,
Grade 8,63,72,78,79,76,+13,
,,,,,,,7
