End-of-Course English & Math																																													
Run on February 27, 2006																																													
Category	English Proficient 2003	English Advanced 2003	English Passed 2003	English Proficient 2004	English Advanced 2004	English Passed 2004	English Proficient 2005	English Advanced 2005	English Passed 2005	Writing Proficient 2003	Writing Advanced 2003	Writing Passed 2003	Writing Proficient 2004	Writing Advanced 2004	Writing Passed 2004	Writing Proficient 2005	Writing Advanced 2005	Writing Passed 2005	Algebra I Proficient 2003	Algebra I Advanced 2003	Algebra I Passed 2003	Algebra I Proficient 2004	Algebra I Advanced 2004	Algebra I Passed 2004	Algebra I Proficient 2005	Algebra I Advanced 2005	Algebra I Passed 2005	Geometry Proficient 2003	Geometry Advanced 2003	Geometry Passed 2003	Geometry Proficient 2004	Geometry Advanced 2004	Geometry Passed 2004	Geometry Proficient 2005	Geometry Advanced 2005	Geometry Passed 2005	Algebra II Proficient 2003	Algebra II Advanced 2003	Algebra II Passed 2003	Algebra II Proficient 2004	Algebra II Advanced 2004	Algebra II Passed 2004	Algebra II Proficient 2005	Algebra II Advanced 2005	Algebra II Passed 2005
All Students	60	34	93	58	30	89	57	28	85	66	25	91	66	21	87	55	33	88	63	15	78	63	17	80	63	21	84	56	22	79	59	23	82	58	22	81	54	27	81	55	31	86	54	32	87
Am Indian/Alaskan Native	67	26	93	60	25	85	57	32	89	67	23	89	67	17	84	58	31	89	66	8	75	63	16	79	67	14	81	61	19	80	64	17	81	64	18	83	49	22	71	53	30	83	48	27	76
Asian/Pacific Islander	58	37	95	56	36	92	57	31	88	64	29	94	65	24	89	52	40	92	60	30	90	54	37	91	53	40	93	51	37	88	53	38	90	50	40	89	47	42	89	44	47	91	43	49	93
Black	72	16	88	66	12	78	61	11	72	73	10	83	68	8	76	63	14	77	59	5	64	61	7	68	66	9	75	53	7	59	58	7	65	55	7	63	55	13	68	58	17	75	60	17	77
Hispanic	69	21	90	64	18	82	61	14	75	71	14	85	69	10	79	59	19	78	63	8	71	61	10	71	65	13	77	59	14	73	60	14	74	59	14	72	53	20	73	57	22	79	58	23	81
White	55	41	96	55	37	93	56	35	91	63	31	94	65	26	91	52	40	93	65	18	83	64	21	85	63	25	88	58	28	86	60	28	89	60	27	87	54	30	84	54	34	89	54	35	89
Native Hawaiian	.	.	.	53	39	92	61	28	89	.	.	.	61	34	94	43	46	88	.	.	.	58	18	76	66	23	89	.	.	.	73	10	83	58	27	85	.	.	.	48	33	81	53	34	87
Race Unknown	59	32	92	55	32	87	51	27	79	65	24	89	65	13	79	52	33	85	55	12	67	54	21	75	57	26	83	57	16	73	55	20	75	54	28	82	50	26	75	49	28	77	49	37	86
Female	59	36	95	58	32	90	57	30	87	63	31	94	66	25	91	53	38	91	65	15	80	65	17	82	65	21	86	57	20	77	60	21	81	58	21	79	54	27	81	56	31	86	55	32	87
Male	60	32	92	59	28	87	58	25	83	68	20	88	66	16	83	57	27	85	61	15	76	61	18	79	62	21	83	56	25	81	58	25	84	58	24	82	53	27	80	53	32	85	53	33	86
Gender Unknown	67	14	81	52	26	77	45	18	64	63	18	82	64	7	72	50	16	66	45	4	49	32	12	44	42	11	53	38	3	41	44	10	54	47	14	60	46	21	67	58	8	67	73	9	82
Students with Disabilities	63	9	72	55	9	63	50	6	57	54	4	58	50	3	52	52	8	61	44	4	48	47	4	51	53	5	58	44	7	51	50	7	57	50	7	56	47	10	57	53	14	66	55	12	67
Limited English Proficient	71	9	80	61	12	73	56	7	62	67	5	72	61	3	64	59	6	65	62	11	74	59	14	73	61	19	80	52	19	71	56	20	75	53	18	71	49	31	79	51	33	84	50	35	85
