Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”,Name: “Table 1 of 1 on page 43 of 63”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,
,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.,§ 22.1-253.13:4 – Standard 4.A.4. Student achievement and graduation requirements.
The school board awards certificates,The school board awards certificates,The school board awards certificates,,,,
of program,completion to students,completion to students,,,,
who complete a prescribed,who complete a prescribed,course,,,,
of study as defined by the school,of study as defined by the school,of study as defined by the school,,,,
,,,Prince William,,,
board,when they do not meet the,when they do not meet the,,NO,NO,YES
,,,County,,,
requirements for a,"standard,",,,,,
"advanced studies, modified","advanced studies, modified",,,,,
"standard, or",general achievement,general achievement,,,,
diploma.,,,,,,
The school board provides,The school board provides,,,,,
notification of the right to a free,notification of the right to a free,notification of the right to a free,,,,
public education for students who,public education for students who,public education for students who,,,,
have not reached 20 years of age on,have not reached 20 years of age on,have not reached 20 years of age on,,,,
or before August 1 of the school year,or before August 1 of the school year,or before August 1 of the school year,,,,
to the parent of students who fail to,to the parent of students who fail to,to the parent of students who fail to,,,,
graduate or who have failed to,graduate or who have failed to,graduate or who have failed to,,,,
achieve the number of verified units,achieve the number of verified units,achieve the number of verified units,,,,
,,,Prince William,,,
of credit required for graduation as,of credit required for graduation as,of credit required for graduation as,,YES,YES,YES
,,,County,,,
provided in the standards of,provided in the standards of,,,,,
accreditation. If such student who,accreditation. If such student who,accreditation. If such student who,,,,
does not graduate or achieve such,does not graduate or achieve such,does not graduate or achieve such,,,,
verified units of credit is a student for,verified units of credit is a student for,verified units of credit is a student for,,,,
"whom English is a second language,","whom English is a second language,","whom English is a second language,",,,,
the school board notifies the parent,the school board notifies the parent,the school board notifies the parent,,,,
of the student's opportunity for a free,of the student's opportunity for a free,of the student's opportunity for a free,,,,
public education to age 22.,public education to age 22.,,,,,
,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,§ 22.1-253.13:6 – Standard 6. Planning and Public Involvement.,
,,,,2008 - 2009,2007 - 2008,2006 - 2007
,,,,Was,Was,Was
,Requirement,,School Division,,,
,,,,Division,Division,Division
,,,,Compliant?,Compliant?,Compliant?
"The school board revises, extends,","The school board revises, extends,","The school board revises, extends,",,,,
and adopts a division-wide,and adopts a division-wide,,,,,
"comprehensive, unified, long-range","comprehensive, unified, long-range","comprehensive, unified, long-range",,,,
"plan based on data collection, an","plan based on data collection, an","plan based on data collection, an",,,,
"analysis of the data, and how the","analysis of the data, and how the","analysis of the data, and how the",,,,
data will be utilized to improve,data will be utilized to improve,data will be utilized to improve,,,,
classroom instruction and student,classroom instruction and student,classroom instruction and student,,,,
achievement.,The plan is developed,The plan is developed,Amherst County,YES,YES,YES
with staff and community,with staff and community,,,,,
"involvement and includes, or is","involvement and includes, or is","involvement and includes, or is",,,,
"consistent with, all other division-","consistent with, all other division-","consistent with, all other division-",,,,
wide plans required by state and,wide plans required by state and,wide plans required by state and,,,,
federal laws and regulations.,federal laws and regulations.,The,,,,
plan is reviewed biennially and,plan is reviewed biennially and,plan is reviewed biennially and,,,,
revised as necessary.,revised as necessary.,,,,,
,,,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools,2010 Annual Report on Condition and Needs of Public Schools
,,,,,,Page 43
