n_lon,n_lat,hosp_name,reg_name,dist_name,n_street,n_city,n_state,n_zip,n_county,n_tract,n_block,latitude,longitude
-78.985995,38.094499,Augusta Medical Center,Northwest,Central Shenandoah Health District,78 Medical Center Drive,Fishersville,VA,22939,AUGUSTA COUNTY,510150706.0,510150706.0,38.094499,-78.985995
-79.831991,37.992874,Bath County Community Hospital,Northwest,Central Shenandoah Health District,106 Park Lane,Hot Springs,VA,24445,BATH COUNTY,510179801.0,510179801.0,37.992874,-79.831991
-79.441024,37.778589,Carilion Stonewall Jackson Hospital,Northwest,Central Shenandoah Health District,1 Health Circle,Lexington,VA,24450,LEXINGTON CITY,516789905.0,516789905.0,37.778589,-79.441024
-78.870668,38.440225,Rockingham Memorial Hospital,Northwest,Central Shenandoah Health District,235 Cantrell Avenue,Harrisonburg,VA,22801,HARRISONBURG CITY,516600002.0,516600002.0,38.440225,-78.870668
-78.468579,38.662336,Page Memorial Hospital,Northwest,Lord Fairfax Health District,200 Memorial Drive,Luray,VA,22835,PAGE COUNTY,511390302.0,511390302.0,38.662336,-78.468579
-78.512425,38.8703,Shenandoah Memorial Hospital,Northwest,Lord Fairfax Health District,759 South Main Street,Woodstock,VA,22664,SHENANDOAH COUNTY,511710405.0,511710405.0,38.8703,-78.512425
-78.193747,39.193347,Surgi-Center of Winchester Inc.,Northwest,Lord Fairfax Health District,1860 Amherst Street,Winchester,VA,22601,WINCHESTER CITY,518400002.0,518400002.0,39.193347,-78.193747
-78.198271,38.930883,Warren Memorial Hospital,Northwest,Lord Fairfax Health District,1000 Shenandoah Avenue,Front Royal,VA,22630,WARREN COUNTY,511870204.0,511870204.0,38.930883,-78.198271
-78.193201,39.194421,Winchester Medical Center,Northwest,Lord Fairfax Health District,1840 Amherst Street,Winchester,VA,22601,WINCHESTER CITY,518400002.0,518400002.0,39.194421,-78.193201
-77.484698,38.3096,Fredericksburg Ambulatory Surgery Center L.L.C.,Northwest,Rappahannock Health District,1201 Sam Perry Boulevard,Fredericksburg,VA,22401,FREDERICKSBURG CITY,516300002.0,516300002.0,38.3096,-77.484698
-77.486097,38.313678,Healthsouth Rehabilitation Hospital of Fredericksburg,Northwest,Rappahannock Health District,300 Park Hill Drive,Fredericksburg,VA,22401,FREDERICKSBURG CITY,516300002.0,516300002.0,38.313678,-77.486097
-77.483793,38.311057,Mary Washington Hospital,Northwest,Rappahannock Health District,1001 Sam Perry Boulevard,Fredericksburg,VA,22401,FREDERICKSBURG CITY,516300002.0,516300002.0,38.311057,-77.483793
-77.496714,38.239624,Spotsylvania Regional Medical Center,Northwest,Rappahannock Health District,4600 Spotsylvania Parkway,Fredericksburg,VA,22408,SPOTSYLVANIA COUNTY,511770202.0,511770202.0,38.239624,-77.496714
-77.400118,38.449338,Stafford Hospital,Northwest,Rappahannock Health District,101 Hospital Center Boulevard,Stafford,VA,22554,STAFFORD COUNTY,511790101.0,511790101.0,38.449338,-77.400118
-77.451754,38.306063,Surgi-Center of Central Virginia Inc.,Northwest,Rappahannock Health District,12 Chatham Heights Road,Fredericksburg,VA,22405,STAFFORD COUNTY,511790104.1,511790104.1,38.306063,-77.451754
-78.012944,38.455168,Culpeper Regional Hospital,Northwest,Rappahannock-Rapidian Health District,501 Sunset Lane,Culpeper,VA,22701,CULPEPER COUNTY,510479905.0,510479905.0,38.455168,-78.012944
-78.01237,38.455652,Culpeper Surgery Center,Northwest,Rappahannock-Rapidian Health District,541 Sunset Lane,Culpeper,VA,22701,CULPEPER COUNTY,510479905.0,510479905.0,38.455652,-78.01237
-77.808915,38.71231,Fauquier Hospital,Northwest,Rappahannock-Rapidian Health District,500 Hospital Drive,Warrenton,VA,20186,FAUQUIER COUNTY,510619903.0,510619903.0,38.71231,-77.808915
