Table 5. Per capita energy-related carbon dioxide emissions by state (2000 - 2010)													
metric tons carbon dioxide per person													
												Change	
												2000 to 2010	
State	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	Percent	Absolute
Alabama	31.5	29.6	30.6	30.6	31.0	31.1	31.3	31.5	29.8	25.4	28.1	-11.0%	-3.5
Alaska	70.6	68.5	67.9	67.2	70.9	72.0	67.8	64.9	57.6	54.6	54.6	-22.6%	-16.0
Arizona	16.6	16.7	16.1	16.0	16.8	16.2	16.2	16.1	15.9	14.4	14.4	-13.7%	-2.3
Arkansas	23.6	23.2	22.5	22.5	22.6	21.5	21.9	22.2	22.2	21.3	22.7	-3.7%	-0.9
California	11.2	11.2	11.0	11.1	11.0	10.9	11.1	11.2	10.7	10.2	9.9	-11.5%	-1.3
Colorado	19.6	20.9	20.2	19.8	20.3	20.5	20.3	20.5	19.8	18.7	18.9	-3.2%	-0.6
Connecticut	12.5	12.1	11.6	12.2	12.8	12.6	11.7	11.6	10.9	10.4	10.5	-16.5%	-2.1
Delaware	20.7	19.8	19.3	19.7	19.5	20.2	18.5	19.3	18.2	13.4	13.1	-36.4%	-7.5
District of Columbia	7.5	7.1	7.2	6.8	6.9	6.7	5.5	5.8	5.3	5.3	5.4	-28.5%	-2.1
Florida	14.9	14.6	14.5	14.4	14.8	14.7	14.4	14.1	13.0	12.2	13.2	-11.7%	-1.7
Georgia	20.4	19.0	19.2	19.2	19.5	20.2	19.5	19.4	17.9	16.6	17.5	-14.1%	-2.9
Hawaii	15.5	15.8	16.7	17.5	18.1	18.4	18.5	19.2	15.4	14.7	14.5	-6.1%	-0.9
Idaho	12.0	11.7	11.1	10.4	11.2	11.0	10.8	10.9	10.3	9.9	10.4	-13.3%	-1.6
Illinois	18.7	17.8	17.9	18.1	18.6	19.1	18.4	19.0	18.8	17.5	17.8	-4.6%	-0.9
Indiana	39.1	37.3	37.7	38.3	38.3	37.9	37.3	37.0	36.2	32.5	34.0	-13.1%	-5.1
Iowa	26.6	26.1	26.3	26.0	26.8	26.7	27.1	28.7	29.5	27.8	29.4	10.6%	2.8
Kansas	28.2	26.6	28.2	28.8	27.8	26.3	26.2	28.9	27.5	26.6	26.4	-6.5%	-1.8
Kentucky	35.7	36.4	36.3	34.9	36.4	36.6	37.0	36.8	35.8	33.3	34.7	-2.8%	-1.0
