Name,Description
Lake Witten,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Tazewell</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lake Witten</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>80%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>20%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Lincolnshire Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Tazewell</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lincolnshire Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>80%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>20%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Beartree Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Washington</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Beartree Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>100%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Bark Camp Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Scott</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Bark Camp Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Hales Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Grayson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Hales Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>90%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>10%</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Mint Springs Lake (Upper),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Albemarle</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Mint Springs Lake (Upper)</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Mint Springs Lake (Middle),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Albemarle</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Mint Springs Lake (Middle)</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Sugar Hollow Reservoir,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Albemarle</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Sugar Hollow Reservoir</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Cook Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Alexandria City</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Cook Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Northwest River Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Chesapeake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Northwest River Park</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
