Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”,Name: “Table 1 of 1 on page 2 of 2”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,
,"Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters","Fires involving Lighters, Cigarette Lighters, Cigar Lighters",
,National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),,
,,,Frequency,Civilian,Civilian,Fire Fighter,,
,Types of Fires,Frequency,,,,,,Total Loss
,,,%,Inj,Death,Inj,Death,
Structure,,"3,825",37.2%,354,46,98,0,"$66,150,895"
Vehicle,,636,6.2%,17,4,0,0,"$2,849,071"
Grass/Brush/Forest/Wildland,Grass/Brush/Forest/Wildland,"3,610",35.1%,7,0,9,0,"$449,210"
Outside Rubbish,,"1,223",11.9%,3,0,2,0,"$41,255"
Special Outside,,620,6.0%,15,0,0,0,"$221,220"
"Cultivated vegetation, Crops","Cultivated vegetation, Crops",153,1.5%,0,0,0,0,"$13,705"
Other,,229,2.2%,8,0,0,0,"$208,506"
Total,,"10,296",100.0%,404,50,109,0,"$69,933,862"
,National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),,
,,,Frequency,Civilian,Civilian,Fire Fighter,,
,Property Use,Frequency,,,,,,Total Loss
,,,%,Inj,Death,Inj,Death,
Assembly,,245,2.4%,1,1,0,0,"$1,162,271"
Educational,,332,3.2%,0,0,0,0,"$3,346,497"
Health Care/Detention,Health Care/Detention,86,0.8%,8,2,0,0,"$659,803"
Residential,,"4,235",41.1%,346,40,86,0,"$51,535,249"
"Mercantile, Business","Mercantile, Business",259,2.5%,10,1,7,0,"$6,180,555"
Industrial/Defense/Agriculture,Industrial/Defense/Agriculture,166,1.6%,0,0,4,0,"$282,625"
Manufacturing,,20,0.2%,2,0,0,0,"$127,725"
Storage,,327,3.2%,7,2,6,0,"$2,998,312"
Outside/Special,,"4,261",41.4%,27,4,6,0,"$2,776,796"
Other,,90,0.9%,3,0,0,0,"$149,916"
None,,129,1.3%,0,0,0,0,"$383,202"
Undetermined,,145,1.4%,0,0,0,0,"$330,911"
Total,,"10,295",100.0%,404,50,109,0,"$69,933,862"
,National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),National Statistics - Calendar Year 2006 (Fires involving lighters),,
,,,Frequency,Civilian,Civilian,Fire Fighter,,
,Contributing Factors,Frequency,,,,,,Total Loss
,,,%,Inj,Death,Inj,Death,
Playing with heat source,Playing with heat source,"2,556",24.8%,165,14,45,0,"$27,559,114"
Other Misuse of Material or,Other Misuse of Material or,,,,,,,
Product,,"1,854",18.0%,104,13,21,0,"$13,670,484"
Total Misuse of Material or,Total Misuse of Material or,,,,,,,
Product,,"4,410",42.8%,269,27,66,0,"$41,229,598"
Source:,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006,Virginia Fire Incident Reporting System 2007 data and United States Fire Administration (NFIRS) 2006
data as of 08/28/08; NFIRS 2007 data was not available.,data as of 08/28/08; NFIRS 2007 data was not available.,data as of 08/28/08; NFIRS 2007 data was not available.,data as of 08/28/08; NFIRS 2007 data was not available.,,,,,
