Name: “Table 1 of 1 on page 57 of 97”,Name: “Table 1 of 1 on page 57 of 97”,Name: “Table 1 of 1 on page 57 of 97”
Table: 57,Table: 57,Table: 57
,,
THIRTEEN ACRES,"Accredited with Warning in English,","Accredited with Warning in English,"
,"Mathematics, History, and Science",
ROANOKE CITY,,
BLUE RIDGE TECHNICAL,Accredited with Warning in Science,Accredited with Warning in Science
ACADEMY,,
NOEL C. TAYLOR LRNG.,"Accredited with Warning in English,","Accredited with Warning in English,"
ACADEMY,"Mathematics, and Science",
WESTSIDE ELEM.,Accredited with Warning in,
,Mathematics and Science,
SUSSEX,,
ANNIE B. JACKSON ELEM.,Accredited with Warning in,
,Mathematics and Science,
ELLEN W. CHAMBLISS ELEM.,Accredited with Warning in,
,Mathematics and Science,
JEFFERSON ELEM.,Accredited with Warning in,
,Mathematics,
TAZEWELL,,
POCAHONTAS HIGH,Accredited with Warning in,
,Mathematics,
VIRGINIA BEACH,,
CITY,,
CENTER EFFECTIVE LEARNING Accredited with Warning in English,CENTER EFFECTIVE LEARNING Accredited with Warning in English,
,and Mathematics,
OPEN CAMPUS,Accredited with Warning in,
,Mathematics,
WESTMORELAND,,
WASHINGTON AND LEE HIGH,Accredited with Warning in,
,Mathematics,
YORK,,
YORK RIVER ACADEMY,Accredited with Warning in English,
,and Mathematics,
2003 Report on the Condition and Needs of the Public Schools in Virginia,2003 Report on the Condition and Needs of the Public Schools in Virginia,Page 47
