Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”,Name: “Table 1 of 1 on page 28 of 38”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
17306,Saltville Vol. Fire Dept.,Smyth Co.,2006,88,0,3,91,12,12
17307,Sugar Grove VFD,Smyth Co.,2006,29,0,0,29,12,12
,Smyth Co.,7,,"1,426",0,43,"1,469",,
17501,"Boykins VFD & Rescue Sqd., Inc.",Southampton Co.,2006,105,0,23,128,9,9
17502,Branchville Vol. Fire Dept.,Southampton Co.,2006,24,2,24,50,11,11
17504,Courtland Vol. Fire Dept.,Southampton Co.,2006,124,0,30,154,12,12
17507,Newsoms Vol. Fire Dept.,Southampton Co.,2006,66,9,12,87,12,12
17508,Sedley Vol. Fire Dept.,Southampton Co.,2006,97,0,26,123,12,12
,Southampton Co.,5,,416,11,115,542,,
17700,Spotsylvania Fire & Rescue,Spotsylvania Co.,2006,"5,799",16,63,"5,878",12,12
,Spotsylvania Co.,1,,"5,799",16,63,"5,878",,
17900,Stafford Co. Fire & Rescue,Stafford Co.,2006,933,0,0,933,1,1
17908,Rockhill VFD,Stafford Co.,2006,296,0,3,299,7,7
,Stafford Co.,2,,"1,229",0,3,"1,232",,
18103,Surry Vol. Fire Dept.,Surry Co.,2006,76,0,3,79,12,12
,Surry Co.,1,,76,0,3,79,,
As of 04/18/2007,,,,,,,,,Page 28 of 38
