Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”,Name: “Table 1 of 1 on page 8 of 38”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Chesterfield Co.,1,,"27,300",7,111,"27,418",,
04301,John H. Enders VFD,Clarke Co.,2006,181,0,87,268,12,12
04304,"Boyce Vol. Fire Co., Inc.",Clarke Co.,2006,195,0,118,313,9,9
04306,Shenandoah Farms VFD,Clarke Co.,2006,149,0,49,198,12,12
04308,Blue Ridge Vol. Fire/Rescue Co.,Clarke Co.,2006,34,0,42,76,6,6
,Clarke Co.,4,,559,0,296,855,,
04502,Paint Bank Vol. Fire Dept.,Craig Co.,2006,31,0,11,42,12,12
04503,Simmonsville VFD,Craig Co.,2006,25,0,1,26,10,12
04504,New Castle Vol. Fire Dept.,Craig Co.,2006,84,0,1,85,12,12
,Craig Co.,3,,140,0,13,153,,
04701,Brandy Station VFD,Culpeper Co.,2006,146,0,68,214,7,7
04702,Culpeper Co. VFD,Culpeper Co.,2006,774,0,52,826,12,12
04703,Richardsville VFD,Culpeper Co.,2006,48,0,7,55,12,12
04704,Salem Vol. Fire/Rescue,Culpeper Co.,2006,134,0,122,256,12,12
04706,Little Fork VFD & Rescue Co.,Culpeper Co.,2006,250,0,25,275,12,12
04707,Reva Vol. Fire & Rescue Dept.,Culpeper Co.,2006,8,0,7,15,1,1
,Culpeper Co.,6,,"1,360",0,281,"1,641",,
As of 04/18/2007,,,,,,,,,Page 8 of 38
