Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,,,,,,
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00101,New Church Vol Fire/Rescue,Accomack Co.,2006,106,0,19,125,12,12
00102,Greenbackville VFD,Accomack Co.,2006,10,1,10,21,7,7
00104,Atlantic VFD,Accomack Co.,2006,111,0,76,187,12,12
00105,Saxis Vol. Fire Co.,Accomack Co.,2006,41,0,29,70,12,12
00106,"Bloxom Vol. Fire Co., Inc.",Accomack Co.,2006,58,0,39,97,12,12
00107,Parksley Vol. Fire Dept.,Accomack Co.,2006,167,0,74,241,12,12
00108,Tasley VFD,Accomack Co.,2006,76,0,67,143,12,12
00109,Onancock VFD,Accomack Co.,2006,58,0,56,114,11,11
00110,Melfa Vol. Fire/Rescue,Accomack Co.,2006,60,0,38,98,12,12
00111,Wachapreague VFD,Accomack Co.,2006,24,0,30,54,12,12
00112,Painter VFD,Accomack Co.,2006,82,0,38,120,12,12
00121,Tangier Vol. Fire Dept.,Accomack Co.,2006,54,0,0,54,11,12
,Accomack Co.,12,,847,1,476,"1,324",,
00300,Albemarle Co. Fire Dept.,Albemarle Co.,2006,"6,196",0,225,"6,421",12,12
00320,East Rivanna VFD,Albemarle Co.,2006,27,0,3,30,6,6
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 1 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
00350,Crozet VFD,Albemarle Co.,2006,602,0,21,623,12,12
00370,Scottsville VFD,Albemarle Co.,2006,120,0,35,155,12,12
,Albemarle Co.,4,,"6,945",0,284,"7,229",,
00501,Boiling Springs VFD,Alleghany Co.,2006,117,0,5,122,12,12
00504,Iron Gate Vol. Fire Dept.,Alleghany Co.,2006,26,0,13,39,12,12
00505,Selma VFD,Alleghany Co.,2006,48,1,58,107,11,11
00506,Sharon VFD,Alleghany Co.,2006,55,0,17,72,12,12
,Alleghany Co.,4,,246,1,93,340,,
00701,Amelia Co. VFD,Amelia Co.,2006,104,0,1,105,9,9
00702,Mannboro VFD,Amelia Co.,2006,90,0,25,115,12,12
00704,Mattoax VFD,Amelia Co.,2006,79,0,26,105,12,12
00705,Painville VFD,Amelia Co.,2006,8,0,0,8,3,3
,Amelia Co.,4,,281,0,52,333,,
00901,Amherst Vol. Fire Dept.,Amherst Co.,2006,135,0,60,195,12,12
00902,Monelison VFD,Amherst Co.,2006,295,2,49,346,12,12
,Amherst Co.,2,,430,2,109,541,,
As of 04/18/2007,,,,,,,,,Page 2 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
01101,Appomattox Vol. Fire Dept.,Appomattox Co.,2006,142,2,9,153,12,12
,Appomattox Co.,1,,142,2,9,153,,
01300,Arlington Co. Fire Dept.,Arlington Co.,2006,"23,245",0,"2,215","25,460",12,12
,Arlington Co.,1,,"23,245",0,"2,215","25,460",,
01502,Deerfield Valley Val. Fire Dept.,Augusta Co.,2006,111,0,3,114,12,12
01503,Middlebrook VFD,Augusta Co.,2006,234,0,34,268,12,12
01504,Churchville Vol. Fire Dept.,Augusta Co.,2006,453,0,79,532,12,12
01505,Weyers Cave Vol. Fire Dept.,Augusta Co.,2006,403,0,51,454,12,12
01506,Verona VFD,Augusta Co.,2006,829,0,77,906,12,12
01507,Stuarts Draft Vol. Fire Co.,Augusta Co.,2006,874,0,129,"1,003",12,12
01508,Craigsville Vol. Fire Dept.,Augusta Co.,2006,96,0,6,102,12,12
01509,Dooms Vol. Fire Dept.,Augusta Co.,2006,629,0,30,659,12,12
01510,Augusta Co. Fire Dept.,Augusta Co.,2006,"1,262",3,230,"1,495",12,12
01511,Preston L. Yancey Vol. Fire Dept.,Augusta Co.,2006,753,0,125,878,12,12
01514,Swoope Vol. Fire Dept.,Augusta Co.,2006,117,0,97,214,12,12
01518,New Hope Vol. Fire Dept.,Augusta Co.,2006,133,0,93,226,12,12
01519,Wilson Vol. Fire Dept.,Augusta Co.,2006,190,0,16,206,12,12
01521,Mt. Solon Vol. Fire & Rescue,Augusta Co.,2006,230,0,38,268,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 3 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Augusta Co.,14,,"6,314",3,"1,008","7,325",,
01901,"Boonsboro Vol. Fire & Rescue Co., Inc.",Bedford Co.,2006,68,0,34,102,12,12
01902,Forest Vol. Fire Dept.,Bedford Co.,2006,403,0,130,533,12,12
01903,Hardy Vol. Fire Dept.,Bedford Co.,2006,77,0,31,108,12,12
01904,Huddleston Vol. Fire Dept. Inc.,Bedford Co.,2006,86,0,16,102,12,12
01905,Moneta Vol. Fire Dept.,Bedford Co.,2006,73,0,9,82,8,8
