Name: “Table 1 of 1 on page 25 of 34”,Name: “Table 1 of 1 on page 25 of 34”,Name: “Table 1 of 1 on page 25 of 34”,Name: “Table 1 of 1 on page 25 of 34”
Table: 19,Table: 19,Table: 19,Table: 19
,,,
Table 9.,Average percent cover (Average % Cover ± SD) and relative percent prevalence of each plant species and non-,Average percent cover (Average % Cover ± SD) and relative percent prevalence of each plant species and non-,Average percent cover (Average % Cover ± SD) and relative percent prevalence of each plant species and non-
vegetation cover type at GEWA in 2008.,Data were summarized over all 44 plots. Percent cover was estimated using the,Data were summarized over all 44 plots. Percent cover was estimated using the,Data were summarized over all 44 plots. Percent cover was estimated using the
midpoint values of Braun-Blanquet percent ranges (Table 3).,midpoint values of Braun-Blanquet percent ranges (Table 3).,(NL) indicates standing non-living vegetation.,(NL) indicates standing non-living vegetation.
Species/Cover Type,Common Name,Average Cover % ± SD,Relative Prevalence %
Spartina cynosuroides,Big Cordgrass,44.4 ± 36.1,23.3
S. cynosuroides (NL),Big Cordgrass (NL),0.4 ± 1.0,1.5
Amaranthus cannabinus,Tidalmarsh Amaranth,18.1 ± 24.7,12.3
Kosteletzkya virginica,Saltmarsh Mallow,17.8 ± 28.8,10.3
K. virginica (NL),Saltmarsh Mallow (NL),1.1 ± 3.3,2.7
Wrack/Litter,,10.1 ± 21.6,7.4
Water,,7.8 ± 19.9,5.7
Typha angustifolia,Narrowleaf Cattail,4.6 ± 16.1,2.5
T. angustifolia (NL),Narrowleaf Cattail (NL),3.0 ± 11.3,2.0
Atriplex patula,Spear Saltbush,3.8 ± 6.5,4.5
Spartina patens,Salt Meadow Cordgrass,3.4 ± 11.5,2.3
Schoenoplectus robustus,Saltmarsh Bulrush,3.0 ± 8.7,2.9
S. robustus (NL),Saltmarsh Bulrush (NL),0.8 ± 3.3,1.0
Bare Ground,,2.5 ± 7.1,2.7
Zizania aquatica,Annual Wildrice,2.3 ± 11.0,1.3
Myrica cerifera,Southern Wax Myrtle,2.0 ± 13.3,0.9
Quercus phellos,Willow Oak,2.0 ± 13.3,0.9
Lythrum lineare,Saltmarsh Loosestrife,1.6 ± 6.5,1.5
Polygonum punctatum,Dotted Smartweed,1.4 ± 6.1,1.6
Boehmeria cylindrica,False Nettle,1.2 ± 6.1,0.9
Impatiens capensis,Jewelweed,1.2 ± 6.1,0.9
Saururus cernuus,Lizard's Tail,1.2 ± 6.1,0.9
Rumex species,Dock Species,1.1 ± 4.0,1.3
Unidentified Plant,,0.9 ± 3.3,1.5
Ilex opaca,American Holly,0.9 ± 5.7,0.5
Iva frutescens,Marsh Elder,0.9 ± 5.7,0.5
Juncus effusus,Common Rush,0.9 ± 5.7,0.5
Polygonum sagittatum,Arrowleaf Tearthumb,0.9 ± 5.7,0.5
Distichlis spicata,Spikegrass,0.5 ± 2.4,0.9
Alnus serrulata,Smooth Alder,0.4 ± 2.3,0.4
Brasenia schreberi,Watershield,0.4 ± 2.3,0.4
Decodon verticillatus,Swamp Loosestrife,0.4 ± 2.3,0.4
Elymus virginicus,Virginia Rye Grass,0.4 ± 2.3,0.4
Hibiscus moscheutos,Rose Mallow,0.4 ± 2.3,0.4
H. moscheutos (NL),Rose Mallow (NL),0.1 ± 0.5,0.3
Mikania Scandens,Climbing Hempvine,0.4 ± 2.3,0.4
Panicum virgatum,Switchgrass,0.4 ± 2.3,0.4
Peltandra virginica,Green Arrow Arum,0.4 ± 2.3,0.4
Gallium species,Bedstraw species,0.1 ± 0.5,0.3
Lamiacea species.,Mint Family,0.1 ± 0.5,0.3
Onoclea sensibilis,Sensitive Fern,0.1 ± 0.5,0.3
Phalaris arundinacea,Reed Canary Grass,0.1 ± 0.5,0.3
Ptilimnium capillaceum,Mock Bishopweed,0.1 ± 0.5,0.3
Smilax rotundifolia,Roundleaf Greenbriar,0.1 ± 0.5,0.3
,,13,
