Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”,Name: “Table 1 of 1 on page 60 of 128”
Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60,Table: 60
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2012,Report Period: 2012,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
10501,JONESVILLE VOL. FIRE,JONESVILLE VOL. FIRE,,,,,,,,,,,
Count,6,0,0,0,0,3,0,0,0,1,1,4,15
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,0,0,0,0,0,0,0,0,0,1
,Thomas Walker Vol Fire Dept,Thomas Walker Vol Fire Dept,Thomas Walker Vol Fire Dept,,,,,,,,,,
10504,,,,,,,,,,,,,
,#1,,,,,,,,,,,,
Count,2,5,8,4,3,4,4,5,4,4,9,0,52
Exposures,0,0,0,0,0,1,0,0,0,0,0,0,1
No Activity,0,0,0,0,0,0,0,0,0,0,0,1,1
Aid Given,0,0,1,1,0,2,0,0,1,1,0,0,6
10506,ST. CHARLES VOL. FIRE,ST. CHARLES VOL. FIRE,,,,,,,,,,,
Count,3,3,6,2,5,6,1,2,1,2,9,6,46
Exposures,1,0,0,0,0,0,0,0,0,0,0,0,1
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,0,0,0,0,0,0,0
,Thomas Walker Vol Fire Dept,Thomas Walker Vol Fire Dept,Thomas Walker Vol Fire Dept,,,,,,,,,,
10508,,,,,,,,,,,,,
,#2,,,,,,,,,,,,
Count,0,0,1,1,1,2,0,0,2,2,0,0,9
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,1,0,0,0,0,0,0,1,0,0,0,1,3
Aid Given,0,2,1,0,0,3,2,0,0,0,2,0,10
Page 60 of 128,Page 60 of 128,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Thu Mar 14 07:32:19 EDT 2013,Thu Mar 14 07:32:19 EDT 2013
