	STATEWIDE SPRING PASSING RATES NON-DISABLED AND DISABLED 2000-2002						
	SOL TEST	Non-disabled	Disabled	Non-disabled	Disabled	Non-disabled	Disabled
		2000	2000	2001	2001	2002	2002
	GRADE 3						
	ENGLISH	63	33	68	35	74	48
	MATHEMATICS	74	48	80	52	83	58
	HISTORY & SOCIAL SCIENCE	67	44	75	48	79	55
	SCIENCE	74	55	76	56	81	60
							
	GRADE 5						
	ENGLISH: READING	72	41	76	45	81	54
	ENGLISH: WRITING	84	49	88	55	87	56
	MATHEMATICS	67	33	71	36	75	42
	HISTORY & SOCIAL SCIENCE	54	29	66	38	76	48
	SCIENCE	67	42	78	52	79	56
	COMPUTER/TECHNOLOGY	87	67	85	60	89	66
							
	GRADE 8						
	ENGLISH: READING	74	34	78	36	76	31
	ENGLISH: WRITING	81	39	81	34	81	37
	MATHEMATICS	65	27	73	29	77	30
	HISTORY & SOCIAL SCIENCE	54	23	60	28	82	51
	SCIENCE	85	55	88	57	89	59
	COMPUTER/TECHNOLOGY	82	46	83	47	81	43
							
	HIGH SCHOOL						
	ENGLISH: READING	81	40	85	43	89	54
	ENGLISH: WRITING	88	47	88	43	89	47
	ALGEBRA I	68	33	77	40	81	49
	ALGEBRA II	58	38	74	50	78	52
	GEOMETRY	68	43	75	42	78	47
	U. S. HISTORY	41	17	50	20	74	43
	WORLD HISTORY I	78	46	86	56	89	64
	WORLD HISTORY II	62	30	68	33	81	52
	WORLD GEOGRAPHY	79	43	80	49	77	46
	EARTH SCIENCE	73	42	76	46	73	45
	BIOLOGY	82	49	84	53	86	56
	CHEMISTRY	65	30	75	49	80	52
							
							
	Spring pass rates do not include summer or fall results						
