"Run on 04JAN2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Div No.","Division Name","Sch No.","School Name","Low Grade","High Grade","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Algebra 1 Pass","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Geometry Pass","Geometry Pass","Geometry Proficient","Geometry Advanced","Geometry Pass","Geometry Proficient","Geometry Advanced","Algebra 2 Pass","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","Civics and","Civics and","Civics and","Civics and","Civics and","Civics and","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","World History","World History","World History","World History","World History","World History","World History","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World History","World History","World History","World History","World History","World History","World History","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Biology Pass","Biology Pass","Biology Proficient","Biology Advanced","Biology Pass","Biology Proficient","Biology Advanced","Chemistry Pass","Chemistry Pass","Chemistry Proficient","Chemistry Advanced","Chemistry Pass","Chemistry Proficient","Chemistry Advanced"
,,,,,,"Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005",2003,2004,2004,2004,2005,2005,2005,2003,2004,2004,2004,2005,2005,2005,2003,2004,2004,2004,2005,2005,2005,"Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","to 1877 Pass","to 1877 Proficient","to 1877 Advanced","to 1877 Pass","to 1877 Proficient","to 1877 Advanced","from 1877 Pass","from 1877 Proficient","from 1877 Advanced","from 1877 Pass","from 1877 Proficient","from 1877 Advanced","Economics Pass","Economics Proficient","Economics Advanced","Economics Pass","Economics Proficient","Economics Advanced","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","1 Pass 2003","1 Pass 2004","1 Proficient","1 Advanced","1 Pass 2005","1 Proficient","1 Advanced","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","2 Pass 2003","2 Pass 2004","2 Proficient","2 Advanced","2 Pass 2005","2 Proficient","2 Advanced","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005","Pass 2003","Pass 2004","Proficient","Advanced 2004","Pass 2005","Proficient","Advanced 2005",2003,2004,2004,2004,2005,2005,2005,2003,2004,2004,2004,2005,2005,2005
,,,,,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,2004,2004,2004,2005,2005,2005,2004,2004,2004,2005,2005,2005,2004,2004,2004,2005,2005,2005,,,2004,,,2005,,,,2004,2004,,2005,2005,,,2004,,,2005,,,,2004,2004,,2005,2005,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,2004,,,2005,,,,,,,,,,,,,,,
".","STATE SUMMARY",".",,,,72.17,71.44,57.78,13.66,76.8,58.12,18.68,82.41,84.67,53.12,31.55,85.44,55.85,29.58,84.71,88.49,62.95,25.54,91.48,54.37,37.1,67.66,72.13,49.43,22.7,76.25,52.63,23.62,74.15,77.07,66.56,10.51,74.1,67.31,6.79,93.54,88.72,58.46,30.26,85.03,57.43,27.59,90.92,86.8,66.24,20.57,87.87,55.13,32.74,83.08,86.97,38.4,48.57,87.48,35.65,51.83,73.82,77.88,58.3,19.57,80.25,55.25,25,72.97,78.23,56.68,21.55,78.85,57.91,20.94,78.23,80.38,62.86,17.52,84.64,63.35,21.29,78.89,82.36,59.28,23.07,80.64,58.22,22.43,80.99,85.8,54.55,31.26,86.57,54.12,32.45,82.14,87.15,36.92,50.23,89.08,37.63,51.46,78.88,86.53,48.3,38.23,84.74,40.98,43.76,80.15,83.616,53.74,29.88,81.576,54.52,27.05,58.52,48.77,9.75,63.11,46.73,16.38,76.26,50.63,25.63,83.89,47.89,36,81.02,57.63,23.39,83.77,55.74,28.03,74.86,85.3,53.16,32.14,88.03,53.7,34.32,86.5,82.05,55.21,26.84,82.31,53.53,28.77,76.01,70.2,50.46,19.74,70.32,48.78,21.54,82.02,81.46,58.03,23.43,86.19,55.42,30.77,81.9,85.54,47.73,37.81,88.63,46.67,41.95,79.3,84.21,62.48,21.73,81.07,66.28,14.79,83.75,88.31,60.11,28.2,87.19,59.31,27.88,73.47,71.03,59.62,11.4,75.43,60.93,14.5,82.19,80.33,70.96,9.37,78.85,66.69,12.16,84.29,86.01,73.65,12.36,85.95,71.14,14.82
1,"Accomack County Public Schools",0,"DIVISION SUMMARY",,,59.25,65.5,52.08,13.42,70.8,59.88,10.91,72.21,79.23,57.18,22.05,79.69,60.31,19.38,62.7,75.68,58.11,17.57,85.05,58.8,26.25,51.5,58,45.5,12.5,63.85,53.99,9.86,47.45,54.48,50.5,3.98,58.17,57.45,0.72,97.16,72.9,63.87,9.03,75.51,61.22,14.29,83.43,76.74,71.51,5.23,80.68,56.82,23.86,76.22,83.99,41.69,42.3,88.45,39.44,49.01,66.33,78.16,60.19,17.96,76.44,53.74,22.7,57.96,74.75,61.87,12.88,75.95,66.43,9.52,74.89,82.66,77.02,5.65,83.22,67.81,15.41,68.06,69.43,62.26,7.17,76.52,67.05,9.47,95.35,96.64,56.3,40.34,93.58,49.54,44.04,63.82,79.03,39.68,39.35,87.92,45.62,42.3,75.91,86.75,51.1,35.65,85.94,43.75,42.19,56.23,".",".",".",".",".",".",52.73,44.68,8.05,45.57,35.44,10.13,59.67,50.58,9.09,78.61,53.48,25.12,83.38,66.21,17.17,82.66,70.46,12.2,55.08,69.36,59.15,10.21,76.47,65.78,10.7,73.03,72.34,47.34,25,51.69,36.16,15.54,76.08,44.01,36.53,7.49,48.94,35.64,13.3,62,100,57.14,42.86,100,71.05,28.95,61.89,80.19,54.63,25.56,86.02,53.5,32.52,60.2,81.91,67.02,14.89,69.35,59.13,10.22,60.43,82.48,65.77,16.71,83.82,66.05,17.77,72.69,69.79,63.54,6.25,64.69,45.31,19.38,73.84,69.86,63.64,6.22,75.17,67.59,7.59,90.77,88.46,80.77,7.69,85.19,69.14,16.05
1,"Accomack County Public Schools",70,"NANDUA HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",98.36,72.46,56.52,15.94,78.65,67.42,11.24,83.05,81.82,75.32,6.49,86.08,67.09,18.99,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",60,82.67,80,2.67,79.61,71.84,7.77,65.29,79.13,68.7,10.43,86.24,72.48,13.76,95,93.75,52.08,41.67,100,50,50,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",69.66,66.67,60.71,5.95,89.71,80.88,8.82,87.1,89.66,54.02,35.63,76.56,44.53,32.03,76.92,54.12,48.24,5.88,50,38.37,11.63,".",100,57.14,42.86,100,41.67,58.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.27,78.95,75.79,3.16,57.97,38.41,19.57,82.46,96,78.67,17.33,91.23,82.46,8.77,100,100,84,16,96.97,69.7,27.27
1,"Accomack County Public Schools",80,"CHINCOTEAGUE ELEM.","PK",5,77.42,84.09,61.36,22.73,82.35,67.65,14.71,86.67,92.86,55.36,37.5,90.63,53.13,37.5,88.64,83.64,65.45,18.18,90.63,53.13,37.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.32,86.67,40,46.67,97.06,50,47.06,82.98,87.72,64.91,22.81,93.75,65.63,28.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.32,91.11,33.33,57.78,91.18,47.06,44.12,75.47,96.97,60.61,36.36,92.86,23.81,69.05,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.42,91.11,55.56,35.56,100,52.94,47.06,85.11,89.29,69.64,19.64,93.75,68.75,25,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",180,"PARKSLEY MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",50.41,58.39,44.53,13.87,".",".",".",46.34,51.06,48.23,2.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.96,71.63,61.7,9.93,".",".",".",100,100,86.36,13.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",58.96,".",".",".",".",".",".",43.2,39.2,4,".",".",".",63.95,53.06,10.88,".",".",".",81.88,62.32,19.57,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.12,81.29,66.19,15.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",430,"CENTRAL MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",49.38,56.58,44.74,11.84,".",".",".",46.25,54.79,50.68,4.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",46.43,69.41,62.35,7.06,".",".",".",89.47,100,92.31,7.69,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.79,".",".",".",".",".",".",43.02,40.7,2.33,".",".",".",61.7,59.57,2.13,".",".",".",81.93,74.7,7.23,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",53.57,82.28,70.89,11.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
1,"Accomack County Public Schools",530,"TANGIER COMB.","KG",12,50,88.89,77.78,11.11,75,62.5,12.5,100,100,50,50,75,50,25,60,100,50,50,100,100,".",33.33,44.44,33.33,11.11,62.5,37.5,25,".",44.44,44.44,".",77.78,77.78,".",100,".",".",".",".",".",".",100,".",".",".",".",".",".",66.67,80,50,30,100,44.44,55.56,83.33,100,75,25,100,100,".",83.33,100,77.78,22.22,90,70,20,".",".",".",".",".",".",".",100,100,92.31,7.69,".",".",".",".",".",".",".",64.71,58.82,5.88,66.67,66.67,44.44,22.22,75,37.5,37.5,100,75,50,25,87.5,50,37.5,66.67,".",".",".",".",".",".",20,20,".",75,75,".",66.67,66.67,".",80,80,".",".",".",".",".",".",".",14.29,60,60,".",84.62,69.23,15.38,".",".",".",".",9.09,9.09,".",80,8.33,8.33,".",21.05,15.79,5.26,".",".",".",".",".",".",".",50,88.89,88.89,".",87.5,75,12.5,60,100,100,".",75,75,".",40,75,62.5,12.5,100,75,25,".",".",".",".",".",".",".",".",".",".",".",".",".",".",28.57,66.67,66.67,".",".",".","."
1,"Accomack County Public Schools",540,"ARCADIA HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",20,50,50,".",".",".",".",".",".",".",".",".",".",".",98.51,65.57,60.66,4.92,71.05,53.95,17.11,80.77,67.16,62.69,4.48,75.76,45.45,30.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",20,".",".",".",".",".",".",75,73.03,71.91,1.12,74.03,64.94,9.09,60,50.56,47.19,3.37,67.5,63.33,4.17,96.15,98.04,70.59,27.45,100,62.5,37.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",53.66,71.2,58.4,12.8,69.01,60.56,8.45,12.5,53.57,36.9,16.67,34.43,29.51,4.92,68.75,38.15,31.79,6.36,56.9,39.66,17.24,62,".",".",".",100,84.62,15.38,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",70,67.14,55.71,11.43,68,50.67,17.33,66.3,55.24,55.24,".",76,72,4,100,96.15,92.31,3.85,93.1,79.31,13.79
