1998-2005 Statewide Standards of Learning Spring Assessment Results									
Shown in Percent Passing; Updated on 12/8/2005									
SOL Test	1998 Pass Rate	1999 Pass Rate	2000 Pass Rate	2001 Pass Rate	2002 Pass Rate	2003 Pass Rate	2004 Pass Rate	2005 Pass Rate	Change from 1998 to 2005
Grade 3									
English: Reading	55	61	61	65	72	72	71	77	22
Mathematics	63	68	71	77	80	83	87	87	24
History & Social Science	49	62	65	72	76	82	87	89	40
Science	63	68	73	74	78	82	85	89	26
Grade 5									
English: Reading	68	69	68	73	78	82	85	85	17
English: Writing	65	81	81	84	84	85	88	91	26
Mathematics	47	51	63	67	71	74	78	80	33
History & Social Science	33	46	51	63	72	79	86	85	52
Science	59	67	64	75	76	79	84	81	22
Grade 8									
English: Reading	65	67	70	73	69	68	72	76	11
English: Writing	67	70	76	75	76	74	77	74	7
Mathematics	53	60	61	68	71	73	78	78	25
History & Social Science	35	40	50	56	78	80	83	81	46
Science	71	78	82	84	85	84	88	87	16
Content Specific 									
US History to 1877*	N/A	N/A	N/A	N/A	N/A	N/A	58	63	N/A
US History from 1877 to Present*	N/A	N/A	N/A	N/A	N/A	N/A	76	84	N/A
Civics & Economics*	N/A	N/A	N/A	N/A	N/A	N/A	81	84	N/A
High School									
English: Reading	72	75	78	82	86	93	89	85	13
English: Writing	71	81	85	84	86	91	87	88	17
Algebra I	40	56	65	74	78	78	80	84	44
Algebra II	31	51	58	74	77	81	86	87	56
Geometry	52	62	67	73	76	79	82	81	29
Virginia & US History	30	32	39	48	72	75	87	88	N/A
World History & Geography to 1500**	62	68	75	83	86	86	83	82	N/A
World History & Geography 1500 to Present**	41	47	60	65	79	82	83	86	N/A
World Geography	N/A	N/A	76	77	74	76	71	70	N/A
Earth Science	58	65	70	73	70	73	71	75	17
Biology	72	81	79	81	83	82	80	79	7
Chemistry	54	64	64	74	78	84	86	86	32
* Content Specific tests first administered in 2004 for US History to 1877, US History from 1877 to Present, and Civics & Economics									
** 2004 end-of-course tests for Virginia & US History, World History & Geography to 1500, World History & Geography 1500 to Present, and World Geography based on 2001 revision of History/Social Science Standards of Learning. World Geography end-of-course test first administered in 2000.									
N/A -- Not available, Not applicable, or No longer given									
NOTE: Spring Pass rates do not include summer or fall results, but do include expedited retake results.									
