Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”,Name: “Table 1 of 1 on page 1 of 2”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,,,
,,,,Insurance Plans Available in Virginia,Insurance Plans Available in Virginia,Insurance Plans Available in Virginia,Insurance Plans Available in Virginia,
,,,,Insurable Crops,Insured Acres,Insured Acres,Total Acres,Percent Insured
,,,Apples,,,"8,297","11,800",70%
,,,Barley,,,"33,235","75,000",44%
,,,Cabbage,,,46,600,8%
,,,Corn – APH,,,"70,612",,14%
,,,Corn – CRC,,,"204,613","490,000",42%
,,,Corn –RA,,,"61,012",,12%
,,,Cotton – APH,,,"7,125",,9%
,,,,,,,"83,000",
,,,Cotton – CRC,,,"68,168",,82%
,,,Fresh Market Sweet Corn - DO,Fresh Market Sweet Corn - DO,,2,"3,500",.05%
,,,Fresh Market Tomatoes,Fresh Market Tomatoes,,"3,200","4,800",67%
,,,Grain Sorghum – APH,Grain Sorghum – APH,,397,,NA
,,,,,,,NA,
,,,Grain Sorghum – CRC,Grain Sorghum – CRC,,289,,NA
,2010,2010,Oats,,,319,"12,000",3%
,,,Peaches,,,"1,015","1,000",100%
,Virginia,Virginia,Peanuts – APH,,,"15,198",,84%
,,,,,,,"18,000",
,,,Peanuts – CRC,,,0,,0%
,,,Potatoes,,,"3,854","5,800",66%
,Crop,Crop,,,,,,
,,,Processing Beans,,,"2,368",NA,NA
,,,Processing Tomatoes,Processing Tomatoes,,0,NA,0%
Insurance,Insurance,Insurance,Soybeans – APH,,,"65,071",,12%
,,,Soybeans – CRC,,,"186,531",,33%
,,,,,,,"560,000",
,Profile,Profile,Soybeans - RA,,,"221,045",,39%
,,,Tobacco – Burley,,,"1,351","1,600",84%
,,,Tobacco – Dark-air,Tobacco – Dark-air,,0,NA,0%
,,,Tobacco – Fire-cured,Tobacco – Fire-cured,,565,650,87%
,,,Tobacco – Flue-cured,Tobacco – Flue-cured,,"17,426","17,500",99%
,,,Wheat – APH,,,"54,920",,31%
,,,,,,,"180,000",
,,,Wheat - CRC,,,"106,478",,59%
,,,,Dollar Liability Program,Dollar Liability Program,,Total Dollar Liability,
,,,Adjusted Gross Revenue,Adjusted Gross Revenue,,,,0
,,,Adjusted Gross Revenue – Lite,Adjusted Gross Revenue – Lite,,,,0
,,,Clams,,,,,"20,499,628"
,,,Livestock Risk Protection,Livestock Risk Protection,,,,
,,,,,,,,"1,015,269"
,,,Fed Cattle,Feeder Cattle,Lamb,Swine,,
,,,Nursery,,,,,"35,123,974"
,,,"Pasture, Rangeland, Forage - RI","Pasture, Rangeland, Forage - RI",,,,"1,666,633"
Raleigh Regional Office,Raleigh Regional Office,Raleigh Regional Office,Crop Pilot Programs,Crop Pilot Programs,,,,
Contact:,"Larry Atkinson, Director","Larry Atkinson, Director",,Program,,County Availability,County Availability,
Address:,4405 Bland Road,4405 Bland Road,Apiculture – RI,,All Counties,,,
,Suite 160,,Adjusted Gross Revenue (AGR),Adjusted Gross Revenue (AGR),26 counties and 14 independent cities in Eastern Virginia,26 counties and 14 independent cities in Eastern Virginia,26 counties and 14 independent cities in Eastern Virginia,26 counties and 14 independent cities in Eastern Virginia
,"Raleigh, NC",27609,Cabbage,,Carroll,,,
Phone:,(919) 875-4880,(919) 875-4880,Clams,,"Accomack, Northampton","Accomack, Northampton","Accomack, Northampton",
Fax:,(919) 875-4915,(919) 875-4915,"Pasture, Rangeland, Forage – RI","Pasture, Rangeland, Forage – RI",All Counties,,,
E-Mail:,,,,,,,,
larry.atkinson@rma.usda.gov,larry.atkinson@rma.usda.gov,larry.atkinson@rma.usda.gov,,,,,,
Eastern Regional,Eastern Regional,,,,,,,
Compliance Office,Compliance Office,Compliance Office,,,,,,
,,,APH – Actual Production History,APH – Actual Production History,,,,
Contact:,"Scott Lucas, Director","Scott Lucas, Director",CRC – Crop Revenue Coverage,CRC – Crop Revenue Coverage,,,,
Address:,4405,Bland Road,DO - Dollar,,,,,
,Suite 165,,GRP – Group Risk Plan,GRP – Group Risk Plan,,,,
,"Raleigh, NC",27609,GRIP – Group Risk Income Plan,GRIP – Group Risk Income Plan,,,,
Phone:,(919) 875-4930,(919) 875-4930,RA – Revenue Assurance,RA – Revenue Assurance,,,,
Fax:,(919) 875-4928,(919) 875-4928,RI – Rainfall Index,,,,,
E-Mail:,scott.lucas@rma.usda.gov,scott.lucas@rma.usda.gov,,,,,,
,,,NA – Not Available,,,,,
"Data current as of January 24, 2011","Data current as of January 24, 2011","Data current as of January 24, 2011",,,,,,
,,,,Risk Management Agency/USDA,Risk Management Agency/USDA,,,
