Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”,Name: “Table 1 of 1 on page 38 of 69”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,
Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in,Total Number of Home-Schooled Students in
,Virginia: 2002-2009,Virginia: 2002-2009,Virginia: 2002-2009,Virginia: 2002-2009,,
"25,000",,,,,,
,,,,,,"22,621"
,,,,"20,240","20,694",
"20,000",,,"18,693",,,
,"18,102",,,,,
"16,542",,,,,,
"15,000",,,,,,
"10,000",,,,,,
"5,000",,,,,,
0,,,,,,
2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09
Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and,Number and Percent of Students Eligible for Free and
,Reduced-Price Lunch Program,Reduced-Price Lunch Program,Reduced-Price Lunch Program,Reduced-Price Lunch Program,Reduced-Price Lunch Program,
Year,Eligible Students,Eligible Students,Eligible Students,Percent of Statewide,Percent of Statewide,Percent of Statewide
,,,,Enrollment,Enrollment,
2001-2002,,"348,880","348,880",31.30 percent,31.30 percent,31.30 percent
2002-2003,,"362,477","362,477",31.81 percent,31.81 percent,31.81 percent
2003-2004,,"374,437","374,437",32.63 percent,32.63 percent,32.63 percent
2004-2005,,"387,554","387,554",33.48 percent,33.48 percent,33.48 percent
2005-2006,,"387,847","387,847",33.11 percent,33.11 percent,33.11 percent
2006-2007,,"394,860","394,860",33.49 percent,33.49 percent,33.49 percent
2008-2009,,"418,343","418,343",34.63 percent,34.63 percent,34.63 percent
,,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools,2009 Annual Report on Condition and Needs of Public Schools
,,,,,,Page 38
